member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
5	bitmap	ACH_palette image	0			bitmaps/00005_ACH_palette_image.png
5	bitmap	ACH_palette image	0	51	BITD	raw_chunks/00005_ACH_palette_image_51_BITD.bin
6	bitmap	badge ACH_AvatarLooks1	0			bitmaps/00006_badge_ACH_AvatarLooks1.png
6	bitmap	badge ACH_AvatarLooks1	0	54	BITD	raw_chunks/00006_badge_ACH_AvatarLooks1_54_BITD.bin
7	bitmap	badge ACH_EmailVerification1	0			bitmaps/00007_badge_ACH_EmailVerification1.png
7	bitmap	badge ACH_EmailVerification1	0	57	BITD	raw_chunks/00007_badge_ACH_EmailVerification1_57_BITD.bin
8	bitmap	badge ACH_GamePlayed1	0			bitmaps/00008_badge_ACH_GamePlayed1.png
8	bitmap	badge ACH_GamePlayed1	0	60	BITD	raw_chunks/00008_badge_ACH_GamePlayed1_60_BITD.bin
9	bitmap	badge ACH_GamePlayed2	0			bitmaps/00009_badge_ACH_GamePlayed2.png
9	bitmap	badge ACH_GamePlayed2	0	63	BITD	raw_chunks/00009_badge_ACH_GamePlayed2_63_BITD.bin
10	bitmap	badge ACH_GamePlayed3	0			bitmaps/00010_badge_ACH_GamePlayed3.png
10	bitmap	badge ACH_GamePlayed3	0	66	BITD	raw_chunks/00010_badge_ACH_GamePlayed3_66_BITD.bin
11	bitmap	badge ACH_GamePlayed4	0			bitmaps/00011_badge_ACH_GamePlayed4.png
11	bitmap	badge ACH_GamePlayed4	0	69	BITD	raw_chunks/00011_badge_ACH_GamePlayed4_69_BITD.bin
12	bitmap	badge ACH_GamePlayed5	0			bitmaps/00012_badge_ACH_GamePlayed5.png
12	bitmap	badge ACH_GamePlayed5	0	72	BITD	raw_chunks/00012_badge_ACH_GamePlayed5_72_BITD.bin
13	bitmap	badge ACH_Graduate1	0			bitmaps/00013_badge_ACH_Graduate1.png
13	bitmap	badge ACH_Graduate1	0	75	BITD	raw_chunks/00013_badge_ACH_Graduate1_75_BITD.bin
14	bitmap	badge ACH_HappyHour1	0			bitmaps/00014_badge_ACH_HappyHour1.png
14	bitmap	badge ACH_HappyHour1	0	78	BITD	raw_chunks/00014_badge_ACH_HappyHour1_78_BITD.bin
15	bitmap	badge ACH_Login1	0			bitmaps/00015_badge_ACH_Login1.png
15	bitmap	badge ACH_Login1	0	81	BITD	raw_chunks/00015_badge_ACH_Login1_81_BITD.bin
16	bitmap	badge ACH_Login2	0			bitmaps/00016_badge_ACH_Login2.png
16	bitmap	badge ACH_Login2	0	84	BITD	raw_chunks/00016_badge_ACH_Login2_84_BITD.bin
17	bitmap	badge ACH_Login3	0			bitmaps/00017_badge_ACH_Login3.png
17	bitmap	badge ACH_Login3	0	87	BITD	raw_chunks/00017_badge_ACH_Login3_87_BITD.bin
18	bitmap	badge ACH_Login4	0			bitmaps/00018_badge_ACH_Login4.png
18	bitmap	badge ACH_Login4	0	90	BITD	raw_chunks/00018_badge_ACH_Login4_90_BITD.bin
19	bitmap	badge ACH_Login5	0			bitmaps/00019_badge_ACH_Login5.png
19	bitmap	badge ACH_Login5	0	93	BITD	raw_chunks/00019_badge_ACH_Login5_93_BITD.bin
20	bitmap	badge ACH_Motto1	0			bitmaps/00020_badge_ACH_Motto1.png
20	bitmap	badge ACH_Motto1	0	96	BITD	raw_chunks/00020_badge_ACH_Motto1_96_BITD.bin
21	bitmap	badge ACH_RegistrationDuration1	0			bitmaps/00021_badge_ACH_RegistrationDuration1.png
21	bitmap	badge ACH_RegistrationDuration1	0	99	BITD	raw_chunks/00021_badge_ACH_RegistrationDuration1_99_BITD.bin
22	bitmap	badge ACH_RegistrationDuration2	0			bitmaps/00022_badge_ACH_RegistrationDuration2.png
22	bitmap	badge ACH_RegistrationDuration2	0	102	BITD	raw_chunks/00022_badge_ACH_RegistrationDuration2_102_BITD.bin
23	bitmap	badge ACH_RegistrationDuration3	0			bitmaps/00023_badge_ACH_RegistrationDuration3.png
23	bitmap	badge ACH_RegistrationDuration3	0	105	BITD	raw_chunks/00023_badge_ACH_RegistrationDuration3_105_BITD.bin
