index	r	g	b	hex
0	255	255	255	#FFFFFF
1	200	5	161	#C805A1
2	255	192	245	#FFC0F5
3	230	28	219	#E61CDB
4	242	135	239	#F287EF
5	225	16	233	#E110E9
6	143	114	242	#8F72F2
7	55	70	169	#3746A9
8	151	160	229	#97A0E5
9	49	75	178	#314BB2
10	17	71	132	#114784
11	19	72	131	#134883
12	227	236	246	#E3ECF6
13	14	140	206	#0E8CCE
14	13	142	204	#0D8ECC
15	170	217	239	#AAD9EF
16	242	251	255	#F2FBFF
17	0	178	250	#00B2FA
18	50	182	234	#32B6EA
19	140	211	242	#8CD3F2
20	46	188	235	#2EBCEB
21	100	216	255	#64D8FF
22	163	225	245	#A3E1F5
23	100	219	255	#64DBFF
24	100	220	255	#64DCFF
25	225	240	243	#E1F0F3
26	36	185	189	#24B9BD
27	132	167	164	#84A7A4
28	202	224	221	#CAE0DD
29	31	252	131	#1FFC83
30	1	183	78	#01B74E
31	21	65	21	#154115
32	68	69	68	#444544
33	40	109	31	#286D1F
34	72	144	50	#489032
35	23	25	22	#171916
36	103	108	83	#676C53
37	185	226	0	#B9E200
38	135	165	0	#87A500
39	84	103	0	#546700
40	139	157	0	#8B9D00
41	241	255	114	#F1FF72
42	242	255	115	#F2FF73
43	243	255	116	#F3FF74
44	253	254	205	#FDFECD
45	253	250	0	#FDFA00
46	255	254	152	#FFFE98
47	255	255	152	#FFFF98
48	255	254	153	#FFFE99
49	254	254	205	#FEFECD
50	255	253	152	#FFFD98
51	254	253	205	#FEFDCD
52	110	101	1	#6E6501
53	109	101	1	#6D6501
54	195	174	0	#C3AE00
55	255	234	70	#FFEA46
56	254	233	71	#FEE947
57	245	207	0	#F5CF00
58	255	218	13	#FFDA0D
59	221	192	12	#DDC00C
60	244	206	1	#F4CE01
61	255	204	0	#FFCC00
62	253	205	0	#FDCD00
63	220	196	106	#DCC46A
64	195	147	0	#C39300
65	207	173	59	#CFAD3B
66	239	189	50	#EFBD32
67	242	159	0	#F29F00
68	232	156	10	#E89C0A
69	242	158	0	#F29E00
70	249	197	107	#F9C56B
71	255	152	0	#FF9800
72	254	153	0	#FE9900
73	232	136	0	#E88800
74	225	148	28	#E1941C
75	225	148	29	#E1941D
76	255	191	99	#FFBF63
77	250	211	152	#FAD398
78	242	139	0	#F28B00
79	205	116	1	#CD7401
80	203	116	1	#CB7401
81	100	58	1	#643A01
82	255	190	99	#FFBE63
83	203	113	0	#CB7100
84	158	91	6	#9E5B06
85	157	90	6	#9D5A06
86	237	147	38	#ED9326
87	159	99	26	#9F631A
88	158	100	27	#9E641B
89	161	111	50	#A16F32
