member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
5	text	thread.index	0	284	STXT	text/00005_thread.index_stxt_0.txt
5	text	thread.index	0	284	STXT	raw_chunks/00005_thread.index_284_STXT.bin
6	text	variable.index	0	286	STXT	text/00006_variable.index_stxt_0.txt
6	text	variable.index	0	286	STXT	raw_chunks/00006_variable.index_286_STXT.bin
7	text	s_item_placeholder.props	0	369	STXT	text/00007_s_item_placeholder.props_stxt_0.txt
7	text	s_item_placeholder.props	0	369	STXT	raw_chunks/00007_s_item_placeholder.props_369_STXT.bin
53	bitmap	s_active_placeholder_a_0_1_1_0_4	0			bitmaps/00053_s_active_placeholder_a_0_1_1_0_4.png
53	bitmap	s_active_placeholder_a_0_1_1_0_4	0	327	BITD	raw_chunks/00053_s_active_placeholder_a_0_1_1_0_4_327_BITD.bin
57	bitmap	s_active_placeholder_a_0_1_1_0_0	0			bitmaps/00057_s_active_placeholder_a_0_1_1_0_0.png
57	bitmap	s_active_placeholder_a_0_1_1_0_0	0	319	BITD	raw_chunks/00057_s_active_placeholder_a_0_1_1_0_0_319_BITD.bin
61	bitmap	s_leftwall item_placeholder_a_3	0			bitmaps/00061_s_leftwall_item_placeholder_a_3.png
61	bitmap	s_leftwall item_placeholder_a_3	0	355	BITD	raw_chunks/00061_s_leftwall_item_placeholder_a_3_355_BITD.bin
79	bitmap	active_placeholder_a_0_1_1_0_1	0			bitmaps/00079_active_placeholder_a_0_1_1_0_1.png
79	bitmap	active_placeholder_a_0_1_1_0_1	0	294	BITD	raw_chunks/00079_active_placeholder_a_0_1_1_0_1_294_BITD.bin
103	text	active_placeholder.props	0	314	STXT	text/00103_active_placeholder.props_stxt_0.txt
103	text	active_placeholder.props	0	314	STXT	raw_chunks/00103_active_placeholder.props_314_STXT.bin
107	bitmap	active_placeholder_a_0_1_1_0_2	0			bitmaps/00107_active_placeholder_a_0_1_1_0_2.png
107	bitmap	active_placeholder_a_0_1_1_0_2	0	296	BITD	raw_chunks/00107_active_placeholder_a_0_1_1_0_2_296_BITD.bin
114	bitmap	active_placeholder_a_0_1_1_0_3	0			bitmaps/00114_active_placeholder_a_0_1_1_0_3.png
114	bitmap	active_placeholder_a_0_1_1_0_3	0	298	BITD	raw_chunks/00114_active_placeholder_a_0_1_1_0_3_298_BITD.bin
115	bitmap	s_active_placeholder_a_0_1_1_0_1	0			bitmaps/00115_s_active_placeholder_a_0_1_1_0_1.png
115	bitmap	s_active_placeholder_a_0_1_1_0_1	0	321	BITD	raw_chunks/00115_s_active_placeholder_a_0_1_1_0_1_321_BITD.bin
118	bitmap	leftwall item_placeholder_a_4	0			bitmaps/00118_leftwall_item_placeholder_a_4.png
118	bitmap	leftwall item_placeholder_a_4	0	339	BITD	raw_chunks/00118_leftwall_item_placeholder_a_4_339_BITD.bin
121	bitmap	s_active_placeholder_a_0_1_1_0_3	0			bitmaps/00121_s_active_placeholder_a_0_1_1_0_3.png
121	bitmap	s_active_placeholder_a_0_1_1_0_3	0	325	BITD	raw_chunks/00121_s_active_placeholder_a_0_1_1_0_3_325_BITD.bin
133	text	item_placeholder.data	0	365	STXT	text/00133_item_placeholder.data_stxt_0.txt
