member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
4	bitmap	ctlg.pagelist.left	0			bitmaps/00004_ctlg.pagelist.left.png
4	bitmap	ctlg.pagelist.left	0	2209	BITD	raw_chunks/00004_ctlg.pagelist.left_2209_BITD.bin
5	bitmap	ctlg.pagelist.left.active	0			bitmaps/00005_ctlg.pagelist.left.active.png
5	bitmap	ctlg.pagelist.left.active	0	2212	BITD	raw_chunks/00005_ctlg.pagelist.left.active_2212_BITD.bin
6	bitmap	catalog_plasto_bg_line	0			bitmaps/00006_catalog_plasto_bg_line.png
6	bitmap	catalog_plasto_bg_line	0	2065	BITD	raw_chunks/00006_catalog_plasto_bg_line_2065_BITD.bin
8	bitmap	catalog_spaces_arrow_rect	0			bitmaps/00008_catalog_spaces_arrow_rect.png
8	bitmap	catalog_spaces_arrow_rect	0	2073	BITD	raw_chunks/00008_catalog_spaces_arrow_rect_2073_BITD.bin
12	bitmap	catalog_spaces_floor0_pattern	0			bitmaps/00012_catalog_spaces_floor0_pattern.png
12	bitmap	catalog_spaces_floor0_pattern	0	2099	BITD	raw_chunks/00012_catalog_spaces_floor0_pattern_2099_BITD.bin
21	bitmap	clubcat_pic	0			bitmaps/00021_clubcat_pic.png
21	bitmap	clubcat_pic	0	2262	BITD	raw_chunks/00021_clubcat_pic_2262_BITD.bin
26	bitmap	catal_fp_pic2	0			bitmaps/00026_catal_fp_pic2.png
26	bitmap	catal_fp_pic2	0	2266	BITD	raw_chunks/00026_catal_fp_pic2_2266_BITD.bin
27	bitmap	catal_fp_pic1	0			bitmaps/00027_catal_fp_pic1.png
27	bitmap	catal_fp_pic1	0	2268	BITD	raw_chunks/00027_catal_fp_pic1_2268_BITD.bin
28	bitmap	catal_fp_pic3	0			bitmaps/00028_catal_fp_pic3.png
28	bitmap	catal_fp_pic3	0	2270	BITD	raw_chunks/00028_catal_fp_pic3_2270_BITD.bin
33	bitmap	catalog_plasto_bg_bar	0			bitmaps/00033_catalog_plasto_bg_bar.png
33	bitmap	catalog_plasto_bg_bar	0	2063	BITD	raw_chunks/00033_catalog_plasto_bg_bar_2063_BITD.bin
34	bitmap	catalog_door_c	0			bitmaps/00034_catalog_door_c.png
34	bitmap	catalog_door_c	0	2290	BITD	raw_chunks/00034_catalog_door_c_2290_BITD.bin
43	bitmap	catalog_plasto_bg_left	0			bitmaps/00043_catalog_plasto_bg_left.png
43	bitmap	catalog_plasto_bg_left	0	2057	BITD	raw_chunks/00043_catalog_plasto_bg_left_2057_BITD.bin
44	bitmap	catalog_plasto_bg_right	0			bitmaps/00044_catalog_plasto_bg_right.png
44	bitmap	catalog_plasto_bg_right	0	2061	BITD	raw_chunks/00044_catalog_plasto_bg_right_2061_BITD.bin
47	bitmap	catalog_spaces_wallpaper	0			bitmaps/00047_catalog_spaces_wallpaper.png
47	bitmap	catalog_spaces_wallpaper	0	2053	BITD	raw_chunks/00047_catalog_spaces_wallpaper_2053_BITD.bin
48	bitmap	catalog_spaces_floor	0			bitmaps/00048_catalog_spaces_floor.png
48	bitmap	catalog_spaces_floor	0	2055	BITD	raw_chunks/00048_catalog_spaces_floor_2055_BITD.bin
50	bitmap	ctlg_pic_deal02	0			bitmaps/00050_ctlg_pic_deal02.png
50	bitmap	ctlg_pic_deal02	0	2369	BITD	raw_chunks/00050_ctlg_pic_deal02_2369_BITD.bin
55	bitmap	catalog_spaces_wall0_pattern	0			bitmaps/00055_catalog_spaces_wall0_pattern.png
55	bitmap	catalog_spaces_wall0_pattern	0	2095	BITD	raw_chunks/00055_catalog_spaces_wall0_pattern_2095_BITD.bin
56	bitmap	catalog_spaces_wall1_pattern	0			bitmaps/00056_catalog_spaces_wall1_pattern.png
56	bitmap	catalog_spaces_wall1_pattern	0	2097	BITD	raw_chunks/00056_catalog_spaces_wall1_pattern_2097_BITD.bin
57	bitmap	catalog_spaces_floor2_pattern	0			bitmaps/00057_catalog_spaces_floor2_pattern.png
57	bitmap	catalog_spaces_floor2_pattern	0	2103	BITD	raw_chunks/00057_catalog_spaces_floor2_pattern_2103_BITD.bin
