index	r	g	b	hex
0	255	255	255	#FFFFFF
1	255	255	255	#FFFFFF
2	226	0	14	#E2000E
3	60	82	125	#3C527D
4	57	78	119	#394E77
5	49	67	102	#314366
6	41	56	86	#293856
7	36	49	75	#24314B
8	35	48	73	#233049
9	108	147	223	#6C93DF
10	88	120	182	#5878B6
11	75	102	155	#4B669B
12	71	97	147	#476193
13	67	91	139	#435B8B
14	62	84	128	#3E5480
15	39	53	81	#273551
16	38	52	79	#26344F
17	30	41	62	#1E293E
18	92	125	189	#5C7DBD
19	70	95	144	#465F90
20	66	90	136	#425A88
21	63	85	130	#3F5582
22	55	74	113	#374A71
23	47	64	97	#2F4061
24	52	70	106	#34466A
25	79	108	163	#4F6CA3
26	75	135	42	#4B872A
27	73	132	41	#498429
28	73	131	41	#498329
29	55	99	31	#37631F
30	127	127	84	#7F7F54
31	127	114	43	#7F722B
32	213	189	74	#D5BD4A
33	205	182	71	#CDB647
34	196	174	68	#C4AE44
35	187	166	65	#BBA641
36	153	137	53	#998935
37	243	215	85	#F3D755
38	228	202	80	#E4CA50
39	217	194	76	#D9C24C
40	201	178	70	#C9B246
41	167	150	59	#A7963B
42	179	159	64	#B39F40
43	255	235	140	#FFEB8C
44	216	209	177	#D8D1B1
45	116	102	39	#746627
46	123	108	42	#7B6C2A
47	232	204	81	#E8CC51
48	160	141	56	#A08D38
49	135	119	47	#87772F
50	115	101	40	#736528
51	97	85	34	#615522
52	255	225	90	#FFE15A
53	80	71	32	#504720
54	90	80	37	#5A5025
55	135	130	110	#87826E
56	131	115	53	#837335
57	111	97	45	#6F612D
58	100	88	41	#645829
59	255	231	165	#FFE7A5
60	170	145	82	#AA9152
61	162	138	78	#A28A4E
62	159	136	77	#9F884D
63	135	115	65	#877341
64	112	95	54	#705F36
65	89	76	43	#594C2B
66	85	72	41	#554829
67	81	69	39	#514527
68	165	141	80	#A58D50
69	146	125	71	#927D47
70	138	118	67	#8A7643
71	136	116	66	#887442
72	127	108	62	#7F6C3E
73	113	96	55	#716037
74	107	91	52	#6B5B34
75	105	90	51	#695A33
76	99	84	48	#635430
77	78	67	38	#4E4326
78	76	65	37	#4C4125
79	68	58	33	#443A21
80	104	89	51	#685933
81	100	85	49	#645531
82	69	59	34	#453B22
83	50	43	25	#322B19
84	182	159	103	#B69F67
85	184	162	108	#B8A26C
86	189	169	119	#BDA977
87	255	230	166	#FFE6A6
88	197	179	134	#C5B386
89	58	49	28	#3A311C
90	157	102	6	#9D6606
91	198	130	9	#C68209
92	246	165	23	#F6A517
93	65	46	12	#412E0C
94	122	87	23	#7A5717
95	98	70	19	#624613
96	168	106	20	#A86A14
97	210	137	34	#D28922
98	135	99	58	#87633A
99	223	168	104	#DFA868
100	237	206	171	#EDCEAB
101	181	88	0	#B55800
102	158	73	0	#9E4900
103	133	57	0	#853900
104	95	41	0	#5F2900
105	57	25	0	#391900
106	107	51	9	#6B3309
107	81	33	0	#512100
108	49	20	0	#311400
109	89	67	51	#594333
110	191	84	28	#BF541C
111	179	79	26	#B34F1A
112	103	45	15	#672D0F
113	114	50	17	#723211
114	39	17	6	#271106
115	163	78	36	#A34E24
116	228	120	63	#E4783F
117	233	148	103	#E99467
118	234	153	110	#EA996E
119	110	52	24	#6E3418
120	55	26	12	#371A0C
121	145	69	32	#914520
122	231	110	52	#E76E34
123	220	105	49	#DC6931
124	206	98	46	#CE622E
125	166	79	37	#A64F25
126	107	51	24	#6B3318
127	84	40	19	#542813
128	78	22	7	#4E1607
129	46	13	4	#2E0D04
130	128	35	11	#80230B
131	137	38	12	#89260C
132	100	28	9	#641C09
133	32	5	0	#200500
134	209	104	84	#D16854
135	209	0	0	#D10000
136	245	245	245	#F5F5F5
137	224	224	224	#E0E0E0
138	204	204	204	#CCCCCC
139	176	176	176	#B0B0B0
140	128	128	128	#808080
141	55	89	40	#375928
142	121	166	77	#79A64D
143	182	219	145	#B6DB91
144	212	255	169	#D4FFA9
145	135	99	58	#87633A
146	204	162	121	#CCA279
147	255	203	152	#FFCB98
148	157	102	6	#9D6606
149	198	130	9	#C68209
150	246	165	23	#F6A517
151	96	52	67	#603443
152	130	71	91	#82475B
153	165	93	116	#A55D74
154	186	106	130	#BA6A82
155	193	109	135	#C16D87
156	226	130	160	#E282A0
157	239	162	171	#EFA2AB
158	239	162	171	#EFA2AB
159	238	156	169	#EE9CA9
160	41	83	93	#29535D
161	67	123	137	#437B89
162	85	156	173	#559CAD
163	137	186	198	#89BAC6
164	186	78	87	#BA4E57
165	236	107	118	#EC6B76
166	139	0	0	#8B0000
167	81	112	149	#517095
168	90	126	168	#5A7EA8
169	101	141	187	#658DBB
170	111	155	205	#6F9BCD
171	132	183	243	#84B7F3
172	129	105	75	#81694B
173	172	140	100	#AC8C64
174	215	175	125	#D7AF7D
175	82	62	24	#523E18
176	110	82	32	#6E5220
177	140	105	41	#8C6929
178	163	122	48	#A37A30
179	186	139	54	#BA8B36
180	201	154	68	#C99A44
181	219	188	130	#DBBC82
182	234	216	183	#EAD8B7
183	183	137	53	#B78935
184	97	54	54	#613636
185	140	79	80	#8C4F50
186	183	103	105	#B76769
187	242	137	138	#F2898A
188	255	172	173	#FFACAD
189	0	0	0	#000000
190	0	0	0	#000000
191	0	0	0	#000000
192	0	0	0	#000000
193	0	0	0	#000000
194	0	0	0	#000000
195	0	0	0	#000000
196	0	0	0	#000000
197	0	0	0	#000000
198	0	0	0	#000000
199	0	0	0	#000000
200	0	0	0	#000000
201	0	0	0	#000000
202	0	0	0	#000000
203	0	0	0	#000000
204	0	0	0	#000000
205	0	0	0	#000000
206	0	0	0	#000000
207	0	0	0	#000000
208	0	0	0	#000000
209	0	0	0	#000000
210	0	0	0	#000000
211	0	0	0	#000000
212	0	0	0	#000000
213	0	0	0	#000000
214	0	0	0	#000000
215	0	0	0	#000000
216	0	0	0	#000000
217	0	0	0	#000000
218	0	0	0	#000000
219	0	0	0	#000000
220	0	0	0	#000000
221	0	0	0	#000000
222	0	0	0	#000000
223	0	0	0	#000000
224	0	0	0	#000000
225	0	0	0	#000000
226	0	0	0	#000000
227	0	0	0	#000000
228	0	0	0	#000000
229	0	0	0	#000000
230	0	0	0	#000000
