member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
15	bitmap	car1_down	0			bitmaps/00015_car1_down.png
15	bitmap	car1_down	0	306	BITD	raw_chunks/00015_car1_down_306_BITD.bin
16	bitmap	car1_up	0			bitmaps/00016_car1_up.png
16	bitmap	car1_up	0	308	BITD	raw_chunks/00016_car1_up_308_BITD.bin
17	bitmap	car2_down	0			bitmaps/00017_car2_down.png
17	bitmap	car2_down	0	310	BITD	raw_chunks/00017_car2_down_310_BITD.bin
18	bitmap	car2_up	0			bitmaps/00018_car2_up.png
18	bitmap	car2_up	0	312	BITD	raw_chunks/00018_car2_up_312_BITD.bin
21	bitmap	cloud_1_left	0			bitmaps/00021_cloud_1_left.png
21	bitmap	cloud_1_left	0	318	BITD	raw_chunks/00021_cloud_1_left_318_BITD.bin
22	bitmap	cloud_1_right	0			bitmaps/00022_cloud_1_right.png
22	bitmap	cloud_1_right	0	320	BITD	raw_chunks/00022_cloud_1_right_320_BITD.bin
23	bitmap	cloud_2_left	0			bitmaps/00023_cloud_2_left.png
23	bitmap	cloud_2_left	0	322	BITD	raw_chunks/00023_cloud_2_left_322_BITD.bin
24	bitmap	cloud_2_right	0			bitmaps/00024_cloud_2_right.png
24	bitmap	cloud_2_right	0	324	BITD	raw_chunks/00024_cloud_2_right_324_BITD.bin
25	bitmap	cloud_3_left	0			bitmaps/00025_cloud_3_left.png
25	bitmap	cloud_3_left	0	326	BITD	raw_chunks/00025_cloud_3_left_326_BITD.bin
26	bitmap	cloud_3_right	0			bitmaps/00026_cloud_3_right.png
26	bitmap	cloud_3_right	0	328	BITD	raw_chunks/00026_cloud_3_right_328_BITD.bin
27	bitmap	light1	0			bitmaps/00027_light1.png
27	bitmap	light1	0	330	BITD	raw_chunks/00027_light1_330_BITD.bin
72	text	entry.visual	0	300	STXT	text/00072_entry.visual_stxt_0.txt
72	text	entry.visual	0	300	STXT	raw_chunks/00072_entry.visual_300_STXT.bin
149	bitmap	waterfall.2	0			bitmaps/00149_waterfall.2.png
149	bitmap	waterfall.2	0	347	BITD	raw_chunks/00149_waterfall.2_347_BITD.bin
184	bitmap	austria_frontmask	0			bitmaps/00184_austria_frontmask.png
184	bitmap	austria_frontmask	0	343	BITD	raw_chunks/00184_austria_frontmask_343_BITD.bin
188	bitmap	corner_element_shadow	0			bitmaps/00188_corner_element_shadow.png
188	bitmap	corner_element_shadow	0	298	BITD	raw_chunks/00188_corner_element_shadow_298_BITD.bin
196	bitmap	waterfall.3	0			bitmaps/00196_waterfall.3.png
196	bitmap	waterfall.3	0	353	BITD	raw_chunks/00196_waterfall.3_353_BITD.bin
213	bitmap	cloud_0_right	0			bitmaps/00213_cloud_0_right.png
213	bitmap	cloud_0_right	0	316	BITD	raw_chunks/00213_cloud_0_right_316_BITD.bin
214	bitmap	cloud_0_left	0			bitmaps/00214_cloud_0_left.png
214	bitmap	cloud_0_left	0	314	BITD	raw_chunks/00214_cloud_0_left_314_BITD.bin
215	bitmap	waterfall.1	0			bitmaps/00215_waterfall.1.png
215	bitmap	waterfall.1	0	345	BITD	raw_chunks/00215_waterfall.1_345_BITD.bin
218	bitmap	austria_middle	0			bitmaps/00218_austria_middle.png
218	bitmap	austria_middle	0	341	BITD	raw_chunks/00218_austria_middle_341_BITD.bin
228	bitmap	corner_element	0			bitmaps/00228_corner_element.png
228	bitmap	corner_element	0	296	BITD	raw_chunks/00228_corner_element_296_BITD.bin
244	bitmap	austria_back	0			bitmaps/00244_austria_back.png
244	bitmap	austria_back	0	335	BITD	raw_chunks/00244_austria_back_335_BITD.bin
283	bitmap	twinkle_small	0			bitmaps/00283_twinkle_small.png
283	bitmap	twinkle_small	0	350	BITD	raw_chunks/00283_twinkle_small_350_BITD.bin
