member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
95	bitmap	cloud_3_right	0			bitmaps/00095_cloud_3_right.png
95	bitmap	cloud_3_right	0	383	BITD	raw_chunks/00095_cloud_3_right_383_BITD.bin
96	bitmap	cloud_1_left	0			bitmaps/00096_cloud_1_left.png
96	bitmap	cloud_1_left	0	373	BITD	raw_chunks/00096_cloud_1_left_373_BITD.bin
174	bitmap	cloud_2_left	0			bitmaps/00174_cloud_2_left.png
174	bitmap	cloud_2_left	0	377	BITD	raw_chunks/00174_cloud_2_left_377_BITD.bin
177	bitmap	hh_au_fountain2	0			bitmaps/00177_hh_au_fountain2.png
177	bitmap	hh_au_fountain2	0	392	BITD	raw_chunks/00177_hh_au_fountain2_392_BITD.bin
179	bitmap	car2	0			bitmaps/00179_car2.png
179	bitmap	car2	0	359	BITD	raw_chunks/00179_car2_359_BITD.bin
182	bitmap	light1	0			bitmaps/00182_light1.png
182	bitmap	light1	0	385	BITD	raw_chunks/00182_light1_385_BITD.bin
212	bitmap	hh_au_fountain1	0			bitmaps/00212_hh_au_fountain1.png
212	bitmap	hh_au_fountain1	0	390	BITD	raw_chunks/00212_hh_au_fountain1_390_BITD.bin
226	bitmap	car_c2	0			bitmaps/00226_car_c2.png
226	bitmap	car_c2	0	367	BITD	raw_chunks/00226_car_c2_367_BITD.bin
228	bitmap	car1	0			bitmaps/00228_car1.png
228	bitmap	car1	0	357	BITD	raw_chunks/00228_car1_357_BITD.bin
230	bitmap	car_b1	0			bitmaps/00230_car_b1.png
230	bitmap	car_b1	0	361	BITD	raw_chunks/00230_car_b1_361_BITD.bin
233	bitmap	car_b2	0			bitmaps/00233_car_b2.png
233	bitmap	car_b2	0	363	BITD	raw_chunks/00233_car_b2_363_BITD.bin
234	bitmap	car_c1	0			bitmaps/00234_car_c1.png
234	bitmap	car_c1	0	365	BITD	raw_chunks/00234_car_c1_365_BITD.bin
235	text	entry.visual	0	353	STXT	text/00235_entry.visual_stxt_0.txt
235	text	entry.visual	0	353	STXT	raw_chunks/00235_entry.visual_353_STXT.bin
238	bitmap	cloud_1_right	0			bitmaps/00238_cloud_1_right.png
238	bitmap	cloud_1_right	0	375	BITD	raw_chunks/00238_cloud_1_right_375_BITD.bin
241	bitmap	cloud_3_left	0			bitmaps/00241_cloud_3_left.png
241	bitmap	cloud_3_left	0	381	BITD	raw_chunks/00241_cloud_3_left_381_BITD.bin
248	bitmap	cloud_2_right	0			bitmaps/00248_cloud_2_right.png
248	bitmap	cloud_2_right	0	379	BITD	raw_chunks/00248_cloud_2_right_379_BITD.bin
260	bitmap	hh_au_foregnd	0			bitmaps/00260_hh_au_foregnd.png
260	bitmap	hh_au_foregnd	0	396	BITD	raw_chunks/00260_hh_au_foregnd_396_BITD.bin
277	bitmap	hh_au_hotel	0			bitmaps/00277_hh_au_hotel.png
277	bitmap	hh_au_hotel	0	404	BITD	raw_chunks/00277_hh_au_hotel_404_BITD.bin
286	bitmap	corner_element	0			bitmaps/00286_corner_element.png
286	bitmap	corner_element	0	349	BITD	raw_chunks/00286_corner_element_349_BITD.bin
318	bitmap	hh_au_tausta	0			bitmaps/00318_hh_au_tausta.png
318	bitmap	hh_au_tausta	0	402	BITD	raw_chunks/00318_hh_au_tausta_402_BITD.bin
322	bitmap	cloud_0_right	0			bitmaps/00322_cloud_0_right.png
322	bitmap	cloud_0_right	0	371	BITD	raw_chunks/00322_cloud_0_right_371_BITD.bin
323	bitmap	cloud_0_left	0			bitmaps/00323_cloud_0_left.png
323	bitmap	cloud_0_left	0	369	BITD	raw_chunks/00323_cloud_0_left_369_BITD.bin
337	bitmap	corner_element_shadow	0			bitmaps/00337_corner_element_shadow.png
337	bitmap	corner_element_shadow	0	351	BITD	raw_chunks/00337_corner_element_shadow_351_BITD.bin
