member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
15	bitmap	car1	0			bitmaps/00015_car1.png
15	bitmap	car1	0	296	BITD	raw_chunks/00015_car1_296_BITD.bin
16	bitmap	car2	0			bitmaps/00016_car2.png
16	bitmap	car2	0	298	BITD	raw_chunks/00016_car2_298_BITD.bin
17	bitmap	car_b1	0			bitmaps/00017_car_b1.png
17	bitmap	car_b1	0	300	BITD	raw_chunks/00017_car_b1_300_BITD.bin
18	bitmap	car_b2	0			bitmaps/00018_car_b2.png
18	bitmap	car_b2	0	302	BITD	raw_chunks/00018_car_b2_302_BITD.bin
19	bitmap	car_c1	0			bitmaps/00019_car_c1.png
19	bitmap	car_c1	0	304	BITD	raw_chunks/00019_car_c1_304_BITD.bin
23	bitmap	cloud_1_left	0			bitmaps/00023_cloud_1_left.png
23	bitmap	cloud_1_left	0	312	BITD	raw_chunks/00023_cloud_1_left_312_BITD.bin
24	bitmap	cloud_1_right	0			bitmaps/00024_cloud_1_right.png
24	bitmap	cloud_1_right	0	314	BITD	raw_chunks/00024_cloud_1_right_314_BITD.bin
25	bitmap	cloud_2_left	0			bitmaps/00025_cloud_2_left.png
25	bitmap	cloud_2_left	0	316	BITD	raw_chunks/00025_cloud_2_left_316_BITD.bin
26	bitmap	cloud_2_right	0			bitmaps/00026_cloud_2_right.png
26	bitmap	cloud_2_right	0	318	BITD	raw_chunks/00026_cloud_2_right_318_BITD.bin
27	bitmap	cloud_3_left	0			bitmaps/00027_cloud_3_left.png
27	bitmap	cloud_3_left	0	320	BITD	raw_chunks/00027_cloud_3_left_320_BITD.bin
28	bitmap	cloud_3_right	0			bitmaps/00028_cloud_3_right.png
28	bitmap	cloud_3_right	0	322	BITD	raw_chunks/00028_cloud_3_right_322_BITD.bin
29	bitmap	light1	0			bitmaps/00029_light1.png
29	bitmap	light1	0	324	BITD	raw_chunks/00029_light1_324_BITD.bin
55	text	entry.visual	0	286	STXT	text/00055_entry.visual_stxt_0.txt
55	text	entry.visual	0	286	STXT	raw_chunks/00055_entry.visual_286_STXT.bin
57	bitmap	right_naturalfence	0			bitmaps/00057_right_naturalfence.png
57	bitmap	right_naturalfence	0	357	BITD	raw_chunks/00057_right_naturalfence_357_BITD.bin
58	bitmap	habbo ES fountain6	0			bitmaps/00058_habbo_ES_fountain6.png
58	bitmap	habbo ES fountain6	0	341	BITD	raw_chunks/00058_habbo_ES_fountain6_341_BITD.bin
60	bitmap	habbo ES fountain4	0			bitmaps/00060_habbo_ES_fountain4.png
60	bitmap	habbo ES fountain4	0	337	BITD	raw_chunks/00060_habbo_ES_fountain4_337_BITD.bin
61	bitmap	habbo ES fountain1	0			bitmaps/00061_habbo_ES_fountain1.png
61	bitmap	habbo ES fountain1	0	331	BITD	raw_chunks/00061_habbo_ES_fountain1_331_BITD.bin
71	bitmap	brassivesiputousb	0			bitmaps/00071_brassivesiputousb.png
71	bitmap	brassivesiputousb	0	361	BITD	raw_chunks/00071_brassivesiputousb_361_BITD.bin
74	bitmap	corner_element_shadow	0			bitmaps/00074_corner_element_shadow.png
74	bitmap	corner_element_shadow	0	294	BITD	raw_chunks/00074_corner_element_shadow_294_BITD.bin
75	bitmap	corner_element	0			bitmaps/00075_corner_element.png
75	bitmap	corner_element	0	292	BITD	raw_chunks/00075_corner_element_292_BITD.bin
76	bitmap	cloud_0_right	0			bitmaps/00076_cloud_0_right.png
76	bitmap	cloud_0_right	0	310	BITD	raw_chunks/00076_cloud_0_right_310_BITD.bin
77	bitmap	cloud_0_left	0			bitmaps/00077_cloud_0_left.png
77	bitmap	cloud_0_left	0	308	BITD	raw_chunks/00077_cloud_0_left_308_BITD.bin
78	bitmap	car_c2	0			bitmaps/00078_car_c2.png
78	bitmap	car_c2	0	306	BITD	raw_chunks/00078_car_c2_306_BITD.bin
105	bitmap	habbo ES fountain5	0			bitmaps/00105_habbo_ES_fountain5.png
105	bitmap	habbo ES fountain5	0	339	BITD	raw_chunks/00105_habbo_ES_fountain5_339_BITD.bin
150	bitmap	left_plants	0			bitmaps/00150_left_plants.png
150	bitmap	left_plants	0	351	BITD	raw_chunks/00150_left_plants_351_BITD.bin
165	bitmap	waterfall_darken	0			bitmaps/00165_waterfall_darken.png
165	bitmap	waterfall_darken	0	359	BITD	raw_chunks/00165_waterfall_darken_359_BITD.bin
184	bitmap	habbo ES fountain3	0			bitmaps/00184_habbo_ES_fountain3.png
184	bitmap	habbo ES fountain3	0	335	BITD	raw_chunks/00184_habbo_ES_fountain3_335_BITD.bin
188	bitmap	left_naturalfence	0			bitmaps/00188_left_naturalfence.png
188	bitmap	left_naturalfence	0	355	BITD	raw_chunks/00188_left_naturalfence_355_BITD.bin
191	bitmap	hotel	0			bitmaps/00191_hotel.png
191	bitmap	hotel	0	347	BITD	raw_chunks/00191_hotel_347_BITD.bin
213	bitmap	hotelbcgrnd	0			bitmaps/00213_hotelbcgrnd.png
213	bitmap	hotelbcgrnd	0	345	BITD	raw_chunks/00213_hotelbcgrnd_345_BITD.bin
230	bitmap	right_plants	0			bitmaps/00230_right_plants.png
230	bitmap	right_plants	0	353	BITD	raw_chunks/00230_right_plants_353_BITD.bin
231	bitmap	front_thing	0			bitmaps/00231_front_thing.png
231	bitmap	front_thing	0	349	BITD	raw_chunks/00231_front_thing_349_BITD.bin
239	bitmap	habbo ES fountain2	0			bitmaps/00239_habbo_ES_fountain2.png
239	bitmap	habbo ES fountain2	0	333	BITD	raw_chunks/00239_habbo_ES_fountain2_333_BITD.bin
