index	r	g	b	hex
0	255	255	255	#FFFFFF
1	0	0	0	#000000
2	255	182	0	#FFB600
3	214	125	0	#D67D00
4	155	163	148	#9BA394
5	139	216	242	#8BD8F2
6	113	183	210	#71B7D2
7	52	68	50	#344432
8	110	136	194	#6E88C2
9	130	160	218	#82A0DA
10	245	246	247	#F5F6F7
11	94	169	207	#5EA9CF
12	23	151	212	#1797D4
13	87	169	206	#57A9CE
14	68	128	157	#44809D
15	64	116	140	#40748C
16	113	186	221	#71BADD
17	98	137	155	#62899B
18	88	180	219	#58B4DB
19	103	154	176	#679AB0
20	242	247	249	#F2F7F9
21	133	216	246	#85D8F6
22	139	221	250	#8BDDFA
23	118	184	207	#76B8CF
24	117	183	206	#75B7CE
25	119	185	208	#77B9D0
26	147	226	255	#93E2FF
27	122	188	211	#7ABCD3
28	132	201	225	#84C9E1
29	102	170	192	#66AAC0
30	130	214	243	#82D6F3
31	127	178	192	#7FB2C0
32	121	185	202	#79B9CA
33	112	161	173	#70A1AD
34	139	166	173	#8BA6AD
35	3	101	120	#036578
36	0	67	73	#004349
37	93	215	224	#5DD7E0
38	76	108	110	#4C6C6E
39	0	25	25	#001919
40	11	255	255	#0BFFFF
41	97	241	242	#61F1F2
42	253	255	255	#FDFFFF
43	7	150	149	#079695
44	114	159	158	#729F9E
45	41	194	189	#29C2BD
46	198	232	231	#C6E8E7
47	210	236	235	#D2ECEB
48	26	175	165	#1AAFA5
49	186	229	226	#BAE5E2
50	93	136	132	#5D8884
51	169	224	220	#A9E0DC
52	162	215	209	#A2D7D1
53	149	187	181	#95BBB5
54	249	253	252	#F9FDFC
55	144	191	164	#90BFA4
56	160	211	182	#A0D3B6
57	2	203	81	#02CB51
58	0	10	0	#000A00
59	1	111	0	#016F00
60	31	65	30	#1F411E
61	132	190	131	#84BE83
62	6	134	0	#068600
63	84	95	83	#545F53
64	48	60	46	#303C2E
65	26	78	14	#1A4E0E
66	35	84	23	#235417
67	76	152	55	#4C9837
68	101	113	98	#657162
69	45	105	27	#2D691B
70	51	99	36	#336324
71	64	123	45	#407B2D
72	144	157	139	#909D8B
73	53	180	0	#35B400
74	36	118	0	#247600
75	20	26	16	#141A10
76	36	82	0	#245200
77	85	181	0	#55B500
78	66	116	24	#427418
79	94	143	53	#5E8F35
80	76	133	22	#4C8516
81	61	97	25	#3D6119
82	70	80	60	#46503C
83	207	215	199	#CFD7C7
84	113	221	0	#71DD00
85	42	75	6	#2A4B06
86	57	108	0	#396C00
87	50	92	0	#325C00
88	38	65	4	#264104
89	67	106	16	#436A10
90	32	50	10	#20320A
91	121	169	58	#79A93A
92	189	234	130	#BDEA82
93	91	102	77	#5B664D
94	141	151	128	#8D9780
95	158	218	74	#9EDA4A
96	84	115	42	#54732A
97	40	43	36	#282B24
98	120	128	109	#78806D
99	107	180	0	#6BB400
100	75	115	11	#4B730B
101	100	156	16	#649C10
102	84	128	16	#548010
103	42	65	2	#2A4102
104	51	77	5	#334D05
105	64	95	11	#405F0B
106	58	81	20	#3A5114
107	18	22	11	#12160B
108	94	145	0	#5E9100
109	121	186	1	#79BA01
110	136	197	17	#88C511
111	105	150	18	#699612
112	89	128	17	#598011
113	45	60	16	#2D3C10
114	114	170	0	#72AA00
115	113	169	0	#71A900
116	109	160	0	#6DA000
117	98	146	0	#629200
118	97	144	0	#619000
119	96	143	0	#608F00
120	91	135	0	#5B8700
121	85	124	1	#557C01
122	99	146	2	#639202
123	84	123	2	#547B02
124	79	115	2	#4F7302
125	74	109	2	#4A6D02
126	71	104	2	#476802
127	94	131	20	#5E8314
128	80	111	18	#506F12
129	84	110	23	#546E17
130	72	94	22	#485E16
131	10	14	0	#0A0E00
132	141	146	128	#8D9280
133	91	115	16	#5B7310
134	177	181	161	#B1B5A1
135	174	184	131	#AEB883
136	149	152	135	#959887
137	198	201	185	#C6C9B9
138	165	194	19	#A5C213
139	139	163	18	#8BA312
140	190	210	92	#BED25C
141	134	143	88	#868F58
142	131	133	121	#838579
143	215	217	205	#D7D9CD
144	116	117	111	#74756F
145	222	223	217	#DEDFD9
146	141	148	99	#8D9463
147	163	170	113	#A3AA71
148	205	212	154	#CDD49A
149	147	148	138	#93948A
150	150	151	141	#96978D
151	119	121	89	#777959
152	176	177	164	#B0B1A4
153	200	205	94	#C8CD5E
154	138	140	102	#8A8C66
155	249	250	219	#F9FADB
156	246	249	19	#F6F913
157	213	215	28	#D5D71C
158	22	22	20	#161614
159	125	125	116	#7D7D74
160	141	141	132	#8D8D84
161	214	214	208	#D6D6D0
162	254	253	227	#FEFDE3
163	234	215	74	#EAD74A
164	221	201	70	#DDC946
165	182	181	174	#B6B5AE
166	215	195	68	#D7C344
167	201	180	63	#C9B43F
168	83	75	31	#534B1F
169	186	185	179	#BAB9B3
170	255	213	6	#FFD506
171	173	151	45	#AD972D
172	78	67	17	#4E4311
173	101	87	25	#655719
174	245	214	75	#F5D64B
175	152	151	147	#989793
176	146	145	141	#92918D
177	143	142	138	#8F8E8A
178	127	109	44	#7F6D2C
179	177	173	159	#B1AD9F
180	214	161	0	#D6A100
181	147	111	2	#936F02
182	133	113	46	#85712E
183	224	193	89	#E0C159
184	108	107	104	#6C6B68
185	182	135	0	#B68700
186	154	150	139	#9A968B
187	254	225	163	#FEE1A3
188	183	180	173	#B7B4AD
189	225	196	140	#E1C48C
190	120	77	0	#784D00
191	168	136	75	#A8884B
192	220	189	135	#DCBD87
193	255	161	0	#FFA100
194	155	92	0	#9B5C00
195	178	149	105	#B29569
196	199	167	119	#C7A777
197	239	146	37	#EF9225
198	210	137	46	#D2892E
199	169	116	53	#A97435
200	194	111	16	#C26F10
201	161	92	17	#A15C11
202	224	113	0	#E07100
203	214	108	0	#D66C00
204	174	87	0	#AE5700
205	107	49	0	#6B3100
206	82	38	0	#522600
207	161	80	20	#A15014
208	205	116	47	#CD742F
209	161	57	0	#A13900
210	137	50	0	#893200
211	224	136	89	#E08859
212	150	60	18	#963C12
213	174	79	33	#AE4F21
214	63	24	8	#3F1808
215	153	92	66	#995C42
216	126	75	57	#7E4B39
217	161	39	0	#A12700
218	249	74	22	#F94A16
219	151	61	35	#973D23
220	225	47	0	#E12F00
221	112	62	51	#703E33
222	137	0	0	#890000
223	224	92	89	#E05C59
224	21	20	20	#151414
225	23	22	22	#171616
226	250	250	250	#FAFAFA
227	249	249	249	#F9F9F9
228	234	234	234	#EAEAEA
229	18	18	18	#121212
230	11	11	11	#0B0B0B
231	6	6	6	#060606
232	2	2	2	#020202
233	0	0	0	#000000
234	0	0	0	#000000
