index	r	g	b	hex
0	255	255	255	#FFFFFF
1	0	0	0	#000000
2	128	142	149	#808E95
3	72	121	143	#48798F
4	89	146	171	#5992AB
5	87	98	103	#576267
6	164	174	178	#A4AEB2
7	38	141	173	#268DAD
8	33	117	146	#217592
9	19	68	84	#134454
10	111	177	199	#6FB1C7
11	94	151	169	#5E97A9
12	120	155	167	#789BA7
13	162	202	215	#A2CAD7
14	157	188	198	#9DBCC6
15	171	199	208	#ABC7D0
16	155	180	188	#9BB4BC
17	127	166	177	#7FA6B1
18	136	177	189	#88B1BD
19	135	165	174	#87A5AE
20	146	178	187	#92B2BB
21	179	214	224	#B3D6E0
22	203	227	234	#CBE3EA
23	64	132	146	#408492
24	92	153	167	#5C99A7
25	113	164	175	#71A4AF
26	131	174	181	#83AEB5
27	125	166	169	#7DA6A9
28	159	186	188	#9FBABC
29	43	253	255	#2BFDFF
30	20	116	117	#147475
31	102	153	153	#669999
32	153	204	204	#99CCCC
33	217	255	255	#D9FFFF
34	155	183	181	#9BB7B5
35	182	197	192	#B6C5C0
36	156	166	160	#9CA6A0
37	48	99	66	#306342
38	78	89	82	#4E5952
39	119	131	123	#77837B
40	141	166	149	#8DA695
41	175	195	178	#AFC3B2
42	146	177	149	#92B195
43	0	102	0	#006600
44	90	98	90	#5A625A
45	123	135	122	#7B877A
46	76	83	75	#4C534B
47	34	112	22	#227016
48	51	56	50	#333832
49	146	160	143	#92A08F
50	124	135	121	#7C8779
51	160	171	157	#A0AB9D
52	49	81	40	#315128
53	141	150	138	#8D968A
54	69	179	26	#45B31A
55	34	86	14	#22560E
56	102	255	43	#66FF2B
57	47	117	20	#2F7514
58	160	165	158	#A0A59E
59	122	134	117	#7A8675
60	123	130	120	#7B8278
61	67	95	54	#435F36
62	122	144	111	#7A906F
63	105	122	97	#697A61
64	114	130	106	#72826A
65	130	136	127	#82887F
66	88	92	86	#585C56
67	165	169	163	#A5A9A3
68	193	195	192	#C1C3C0
69	102	127	89	#667F59
70	96	119	84	#607754
71	130	151	119	#829777
72	130	149	117	#829575
73	74	77	72	#4A4D48
74	28	66	0	#1C4200
75	133	155	117	#859B75
76	200	208	194	#C8D0C2
77	42	97	0	#2A6100
78	135	154	120	#879A78
79	177	194	163	#B1C2A3
80	171	186	159	#ABBA9F
81	114	146	85	#729255
82	101	125	80	#657D50
83	144	167	124	#90A77C
84	203	214	193	#CBD6C1
85	56	115	0	#387300
86	51	102	0	#336600
87	43	87	0	#2B5700
88	38	79	0	#264F00
89	56	112	1	#387001
90	33	65	1	#214101
91	54	106	2	#366A02
92	57	112	3	#397003
93	41	79	3	#294F03
94	50	95	6	#325F06
95	74	134	14	#4A860E
96	47	85	9	#2F5509
97	67	119	15	#43770F
98	53	94	12	#355E0C
99	58	98	18	#3A6212
100	53	89	17	#355911
101	34	57	12	#22390C
102	36	71	0	#244700
103	31	60	0	#1F3C00
104	40	78	1	#284E01
105	53	103	2	#356702
106	38	72	2	#264802
107	33	59	6	#213B06
108	49	86	11	#31560B
109	75	130	18	#4B8212
110	38	65	10	#26410A
111	49	81	16	#315110
112	85	138	30	#558A1E
113	94	149	34	#5E9522
114	48	91	0	#305B00
115	34	62	1	#223E01
116	42	74	4	#2A4A04
117	97	152	35	#619823
118	58	104	2	#3A6802
119	38	66	2	#264202
120	36	59	6	#243B06
121	52	85	9	#345509
122	32	55	0	#203700
123	55	93	1	#375D01
124	59	94	12	#3B5E0C
125	54	86	11	#36560B
126	54	85	11	#36550B
127	43	68	9	#2B4409
128	38	60	8	#263C08
129	56	86	13	#38560D
130	215	218	211	#D7DAD3
131	84	141	0	#548D00
132	94	155	3	#5E9B03
133	61	100	3	#3D6403
134	43	71	2	#2B4702
135	58	93	6	#3A5D06
136	53	83	6	#355306
137	42	66	5	#2A4205
138	40	63	5	#283F05
139	37	57	5	#253905
140	64	99	10	#40630A
141	95	148	16	#5F9410
142	87	138	0	#578A00
143	38	60	0	#263C00
144	102	153	0	#669900
145	4	6	0	#040600
146	134	136	130	#868882
147	130	132	126	#82847E
148	139	141	135	#8B8D87
149	167	169	162	#A7A9A2
150	48	49	44	#30312C
151	153	159	120	#999F78
152	100	102	66	#646642
153	116	118	83	#747653
154	34	34	33	#222221
155	117	111	20	#756F14
156	72	70	38	#484626
157	75	74	59	#4B4A3B
158	86	81	14	#56510E
159	169	166	135	#A9A687
160	194	171	44	#C2AB2C
161	51	46	16	#332E10
162	55	52	35	#373423
163	255	210	2	#FFD202
164	162	154	117	#A29A75
165	117	111	84	#756F54
166	81	74	49	#514A31
167	113	104	71	#716847
168	89	80	50	#595032
169	96	93	83	#605D53
170	158	120	18	#9E7812
171	125	112	74	#7D704A
172	134	129	115	#868173
173	78	75	67	#4E4B43
174	81	69	39	#514527
175	80	72	52	#504834
176	122	92	28	#7A5C1C
177	162	130	55	#A28237
178	137	109	49	#896D31
179	120	96	44	#78602C
180	135	117	78	#87754E
181	97	85	58	#61553A
182	88	84	75	#58544B
183	123	83	0	#7B5300
184	170	123	33	#AA7B21
185	128	97	32	#806120
186	98	78	38	#624E26
187	160	130	72	#A08248
188	87	76	54	#574C36
189	59	56	50	#3B3832
190	101	64	0	#654000
191	153	109	31	#996D1F
192	183	142	65	#B78E41
193	255	153	0	#FF9900
194	255	182	72	#FFB648
195	143	113	67	#8F7143
196	178	144	94	#B2905E
197	145	127	99	#917F63
198	57	53	47	#39352F
199	167	111	37	#A76F25
200	197	138	57	#C58A39
201	65	47	23	#412F17
202	158	117	62	#9E753E
203	107	80	43	#6B502B
204	188	144	82	#BC9052
205	161	130	88	#A18258
206	224	124	6	#E07C06
207	126	76	14	#7E4C0E
208	223	120	0	#DF7800
209	151	122	91	#977A5B
210	107	97	86	#6B6156
211	100	91	81	#645B51
212	226	113	0	#E27100
213	204	102	0	#CC6600
214	174	89	0	#AE5900
215	40	30	20	#281E14
216	247	232	217	#F7E8D9
217	138	94	55	#8A5E37
218	72	54	37	#483625
219	158	75	5	#9E4B05
220	180	85	7	#B45507
221	171	122	81	#AB7A51
222	139	110	86	#8B6E56
223	90	54	26	#5A361A
224	103	62	32	#673E20
225	130	100	78	#82644E
226	134	104	82	#866852
227	125	100	80	#7D6450
228	112	85	66	#705542
229	125	95	75	#7D5F4B
230	202	77	0	#CA4D00
231	119	90	71	#775A47
232	153	51	0	#993300
233	149	42	0	#952A00
234	35	7	0	#230700
235	217	217	217	#D9D9D9
236	130	130	130	#828282
237	114	114	114	#727272
238	91	91	91	#5B5B5B
239	86	86	86	#565656
240	78	78	78	#4E4E4E
