index	r	g	b	hex
0	255	255	255	#FFFFFF
1	255	255	255	#FFFFFF
2	51	102	204	#3366CC
3	102	153	255	#6699FF
4	0	102	153	#006699
5	33	109	145	#216D91
6	111	174	202	#6FAECA
7	132	204	232	#84CCE8
8	156	190	200	#9CBEC8
9	105	135	143	#69878F
10	100	129	136	#648188
11	132	168	177	#84A8B1
12	159	189	197	#9FBDC5
13	87	114	120	#577278
14	118	148	154	#76949A
15	114	134	138	#72868A
16	102	128	133	#668085
17	83	104	108	#53686C
18	114	137	141	#72898D
19	0	162	162	#00A2A2
20	0	149	149	#009595
21	0	121	121	#007979
22	0	81	81	#005151
23	0	40	40	#002828
24	0	13	13	#000D0D
25	82	124	124	#527C7C
26	102	153	153	#669999
27	153	204	204	#99CCCC
28	144	193	193	#90C1C1
29	131	175	175	#83AFAF
30	118	157	157	#769D9D
31	107	144	140	#6B908C
32	148	185	181	#94B9B5
33	114	150	145	#729691
34	155	191	186	#9BBFBA
35	0	136	0	#008800
36	0	119	0	#007700
37	0	102	0	#006600
38	0	85	0	#005500
39	102	153	0	#669900
40	91	137	0	#5B8900
41	82	122	0	#527A00
42	255	255	51	#FFFF33
43	153	102	0	#996600
44	255	179	27	#FFB31B
45	229	165	40	#E5A528
46	255	153	0	#FF9900
47	236	150	23	#EC9617
48	172	86	0	#AC5600
49	102	51	0	#663300
50	26	22	18	#1A1612
51	33	28	23	#211C17
52	76	65	54	#4C4136
53	216	185	154	#D8B99A
54	164	141	117	#A48D75
55	136	117	97	#887561
56	129	111	92	#816F5C
57	128	123	118	#807B76
58	228	118	22	#E47616
59	254	132	25	#FE8419
60	195	94	25	#C35E19
61	229	99	25	#E56319
62	210	93	25	#D25D19
63	208	93	25	#D05D19
64	186	84	25	#BA5419
65	153	73	26	#99491A
66	136	66	26	#88421A
67	116	59	26	#743B1A
68	153	51	0	#993300
69	148	63	18	#943F12
70	155	69	23	#9B4517
71	119	38	0	#772600
72	68	22	0	#441600
73	34	11	0	#220B00
74	221	71	1	#DD4701
75	204	66	1	#CC4201
76	170	55	1	#AA3701
77	255	66	0	#FF4200
78	204	51	0	#CC3300
79	99	24	0	#631800
80	153	0	0	#990000
81	222	222	222	#DEDEDE
82	221	221	221	#DDDDDD
83	204	204	204	#CCCCCC
84	189	189	189	#BDBDBD
85	177	177	177	#B1B1B1
86	170	170	170	#AAAAAA
87	140	140	140	#8C8C8C
88	136	136	136	#888888
89	119	119	119	#777777
90	109	109	109	#6D6D6D
91	68	68	68	#444444
92	52	52	52	#343434
93	0	0	0	#000000
94	0	0	0	#000000
95	0	0	0	#000000
96	0	0	0	#000000
97	0	0	0	#000000
98	0	0	0	#000000
99	0	0	0	#000000
100	0	0	0	#000000
101	0	0	0	#000000
102	0	0	0	#000000
103	0	0	0	#000000
104	0	0	0	#000000
105	0	0	0	#000000
106	0	0	0	#000000
107	0	0	0	#000000
108	0	0	0	#000000
109	0	0	0	#000000
110	0	0	0	#000000
111	0	0	0	#000000
112	0	0	0	#000000
113	0	0	0	#000000
114	0	0	0	#000000
115	0	0	0	#000000
116	0	0	0	#000000
117	0	0	0	#000000
118	0	0	0	#000000
119	0	0	0	#000000
120	0	0	0	#000000
121	0	0	0	#000000
122	0	0	0	#000000
123	0	0	0	#000000
124	0	0	0	#000000
125	0	0	0	#000000
126	0	0	0	#000000
127	0	0	0	#000000
128	0	0	0	#000000
129	0	0	0	#000000
130	0	0	0	#000000
131	0	0	0	#000000
132	0	0	0	#000000
133	0	0	0	#000000
134	0	0	0	#000000
135	0	0	0	#000000
136	0	0	0	#000000
137	0	0	0	#000000
138	0	0	0	#000000
139	0	0	0	#000000
140	0	0	0	#000000
141	0	0	0	#000000
142	0	0	0	#000000
143	0	0	0	#000000
144	0	0	0	#000000
145	0	0	0	#000000
146	0	0	0	#000000
147	0	0	0	#000000
148	0	0	0	#000000
149	0	0	0	#000000
150	0	0	0	#000000
151	0	0	0	#000000
152	0	0	0	#000000
153	0	0	0	#000000
154	0	0	0	#000000
155	0	0	0	#000000
156	0	0	0	#000000
157	0	0	0	#000000
158	0	0	0	#000000
159	0	0	0	#000000
160	0	0	0	#000000
161	0	0	0	#000000
162	0	0	0	#000000
163	0	0	0	#000000
164	0	0	0	#000000
165	0	0	0	#000000
166	0	0	0	#000000
167	0	0	0	#000000
168	0	0	0	#000000
169	0	0	0	#000000
170	0	0	0	#000000
171	0	0	0	#000000
172	0	0	0	#000000
173	0	0	0	#000000
174	0	0	0	#000000
175	0	0	0	#000000
176	0	0	0	#000000
177	0	0	0	#000000
178	0	0	0	#000000
179	0	0	0	#000000
180	0	0	0	#000000
181	0	0	0	#000000
182	0	0	0	#000000
183	0	0	0	#000000
184	0	0	0	#000000
185	0	0	0	#000000
186	0	0	0	#000000
187	0	0	0	#000000
188	0	0	0	#000000
189	0	0	0	#000000
190	0	0	0	#000000
191	0	0	0	#000000
192	0	0	0	#000000
193	0	0	0	#000000
194	0	0	0	#000000
195	0	0	0	#000000
196	0	0	0	#000000
197	0	0	0	#000000
198	0	0	0	#000000
199	0	0	0	#000000
200	0	0	0	#000000
201	0	0	0	#000000
202	0	0	0	#000000
203	0	0	0	#000000
204	0	0	0	#000000
205	0	0	0	#000000
206	0	0	0	#000000
207	0	0	0	#000000
208	0	0	0	#000000
209	0	0	0	#000000
210	0	0	0	#000000
211	0	0	0	#000000
212	0	0	0	#000000
213	0	0	0	#000000
214	0	0	0	#000000
215	0	0	0	#000000
216	0	0	0	#000000
217	0	0	0	#000000
218	0	0	0	#000000
219	0	0	0	#000000
220	0	0	0	#000000
221	0	0	0	#000000
222	0	0	0	#000000
223	0	0	0	#000000
224	0	0	0	#000000
225	0	0	0	#000000
226	0	0	0	#000000
227	0	0	0	#000000
228	0	0	0	#000000
229	0	0	0	#000000
230	0	0	0	#000000
231	0	0	0	#000000
232	0	0	0	#000000
233	0	0	0	#000000
234	0	0	0	#000000
235	0	0	0	#000000
236	0	0	0	#000000
237	0	0	0	#000000
238	0	0	0	#000000
239	0	0	0	#000000
240	0	0	0	#000000
241	0	0	0	#000000
242	0	0	0	#000000
243	0	0	0	#000000
244	0	0	0	#000000
245	0	0	0	#000000
