index	r	g	b	hex
0	255	255	255	#FFFFFF
1	0	0	0	#000000
2	253	129	130	#FD8182
3	19	128	162	#1380A2
4	19	123	157	#137B9D
5	37	169	210	#25A9D2
6	16	133	168	#1085A8
7	23	135	166	#1787A6
8	30	142	173	#1E8EAD
9	17	147	179	#1193B3
10	18	142	175	#128EAF
11	27	153	185	#1B99B9
12	23	129	154	#17819A
13	55	210	248	#37D2F8
14	112	177	192	#70B1C0
15	122	189	205	#7ABDCD
16	11	120	144	#0B7890
17	109	162	174	#6DA2AE
18	101	151	161	#6597A1
19	12	145	169	#0C91A9
20	13	141	163	#0D8DA3
21	11	58	66	#0B3A42
22	21	93	107	#155D6B
23	103	168	179	#67A8B3
24	142	195	205	#8EC3CD
25	20	144	162	#1490A2
26	39	156	172	#279CAC
27	53	169	186	#35A9BA
28	109	153	159	#6D999F
29	124	173	180	#7CADB4
30	12	44	48	#0C2C30
31	60	94	98	#3C5E62
32	69	105	109	#45696D
33	57	85	88	#395558
34	114	168	175	#72A8AF
35	113	167	174	#71A7AE
36	54	93	97	#365D61
37	9	168	176	#09A8B0
38	23	120	127	#17787F
39	35	162	167	#23A2A7
40	37	168	174	#25A8AE
41	35	129	132	#238184
42	41	197	198	#29C5C6
43	86	165	165	#56A5A5
44	127	230	230	#7FE6E6
45	148	218	218	#94DADA
46	248	251	251	#F8FBFB
47	252	254	254	#FCFEFE
48	254	255	255	#FEFFFF
49	45	127	124	#2D7F7C
50	24	136	130	#188882
51	113	173	168	#71ADA8
52	238	248	247	#EEF8F7
53	242	249	248	#F2F9F8
54	29	153	130	#1D9982
55	245	250	249	#F5FAF9
56	16	164	130	#10A482
57	25	167	134	#19A786
58	21	155	123	#159B7B
59	24	107	86	#186B56
60	248	252	251	#F8FCFB
61	0	208	153	#00D099
62	38	155	124	#269B7C
63	17	151	113	#119771
64	21	143	108	#158F6C
65	20	89	68	#145944
66	32	121	92	#20795C
67	37	124	96	#257C60
68	42	130	102	#2A8266
69	52	142	114	#348E72
70	62	148	121	#3E9479
71	71	152	126	#47987E
72	33	130	98	#218262
73	27	70	55	#1B4637
74	23	101	73	#176549
75	52	111	90	#346F5A
76	87	151	119	#579777
77	251	253	252	#FBFDFC
78	17	129	58	#11813A
79	16	64	30	#10401E
80	0	106	28	#006A1C
81	129	188	142	#81BC8E
82	13	76	23	#0D4C17
83	21	59	27	#153B1B
84	1	44	7	#012C07
85	61	112	68	#3D7044
86	3	109	15	#036D0F
87	26	120	37	#1A7825
88	7	61	10	#073D0A
89	26	164	32	#1AA420
90	10	93	12	#0A5D0C
91	35	163	34	#23A322
92	27	106	27	#1B6A1B
93	64	181	62	#40B53E
94	17	71	13	#11470D
95	38	157	30	#269D1E
96	19	74	15	#134A0F
97	15	69	9	#0F4509
98	35	138	21	#238A15
99	26	108	14	#1A6C0E
100	32	131	12	#20830C
101	121	126	120	#797E78
102	28	120	8	#1C7808
103	217	226	215	#D9E2D7
104	17	83	0	#115300
105	27	74	15	#1B4A0F
106	40	109	23	#286D17
107	52	171	16	#34AB10
108	46	151	12	#2E970C
109	39	111	15	#276F0F
110	31	55	22	#1F3716
111	43	109	14	#2B6D0E
112	47	112	19	#2F7013
113	30	68	12	#1E440C
114	59	132	25	#3B8419
115	36	72	18	#244812
116	41	93	13	#295D0D
117	27	59	10	#1B3B0A
118	35	74	15	#234A0F
119	75	152	33	#4B9821
120	75	171	17	#4BAB11
121	45	89	18	#2D5912
122	37	74	15	#254A0F
123	33	63	15	#213F0F
124	52	119	9	#347709
125	59	125	12	#3B7D0C
126	42	86	9	#2A5609
127	66	137	15	#42890F
128	57	107	22	#396B16
129	74	158	9	#4A9E09
130	61	123	12	#3D7B0C
131	64	129	13	#40810D
132	159	164	155	#9FA49B
133	75	149	9	#4B9509
134	63	122	11	#3F7A0B
135	54	102	11	#36660B
136	54	96	16	#366010
137	34	53	17	#223511
138	31	48	16	#1F3010
139	55	113	2	#377102
140	59	116	6	#3B7406
141	39	75	6	#274B06
142	65	118	14	#41760E
143	72	129	19	#488113
144	64	67	61	#40433D
145	97	168	20	#61A814
146	91	152	24	#5B9818
147	100	165	24	#64A518
148	85	137	23	#558917
149	74	87	59	#4A573B
150	119	180	43	#77B42B
151	104	152	11	#68980B
152	120	171	18	#78AB12
153	148	168	93	#94A85D
154	118	138	61	#768A3D
155	129	139	96	#818B60
156	244	249	228	#F4F9E4
157	46	56	9	#2E3809
158	187	191	168	#BBBFA8
159	49	56	12	#31380C
160	144	162	23	#90A217
161	157	172	44	#9DAC2C
162	195	201	136	#C3C988
163	156	160	115	#9CA073
164	227	230	193	#E3E6C1
165	141	148	18	#8D9412
166	165	171	41	#A5AB29
167	170	176	60	#AAB03C
168	82	82	37	#525225
169	101	101	56	#656538
170	8	8	6	#080806
171	34	34	28	#22221C
172	24	24	22	#181816
173	146	144	49	#929031
174	118	115	41	#767329
175	114	107	26	#726B1A
176	216	198	76	#D8C64C
177	61	56	23	#3D3817
178	190	171	49	#BEAB31
179	38	34	12	#26220C
180	169	152	56	#A99838
181	244	220	85	#F4DC55
182	64	62	51	#403E33
183	74	65	18	#4A4112
184	189	169	76	#BDA94C
185	220	215	191	#DCD7BF
186	51	50	45	#33322D
187	179	148	21	#B39415
188	255	215	37	#FFD725
189	198	178	87	#C6B257
190	150	135	74	#96874A
191	178	165	114	#B2A572
192	107	89	27	#6B591B
193	221	181	54	#DDB536
194	118	110	86	#766E56
195	197	150	16	#C59610
196	252	211	93	#FCD35D
197	218	183	82	#DAB752
198	65	49	8	#413108
199	147	112	22	#937016
200	174	123	8	#AE7B08
201	210	169	79	#D2A94F
202	180	126	12	#B47E0C
203	52	37	7	#342507
204	241	175	46	#F1AF2E
205	227	165	44	#E3A52C
206	211	155	41	#D39B29
207	161	122	47	#A17A2F
208	152	117	47	#98752F
209	174	157	122	#AE9D7A
210	238	156	10	#EE9C0A
211	165	110	12	#A56E0C
212	206	188	155	#CEBC9B
213	239	151	9	#EF9709
214	202	123	13	#CA7B0D
215	179	121	45	#B3792D
216	175	111	35	#AF6F23
217	144	93	30	#905D1E
218	188	102	10	#BC660A
219	152	83	8	#985308
220	122	80	34	#7A5022
221	189	98	11	#BD620B
222	35	24	16	#231810
223	15	12	10	#0F0C0A
224	17	14	12	#110E0C
225	178	75	12	#B24B0C
226	207	106	44	#CF6A2C
227	251	132	54	#FB8436
228	165	90	45	#A55A2D
229	30	19	12	#1E130C
230	227	115	49	#E37331
231	252	100	18	#FC6412
232	203	79	16	#CB4F10
233	114	51	17	#723311
234	147	69	30	#93451E
