member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
25	bitmap	cloud_1_left	0			bitmaps/00025_cloud_1_left.png
25	bitmap	cloud_1_left	0	381	BITD	raw_chunks/00025_cloud_1_left_381_BITD.bin
63	bitmap	car1_2	0			bitmaps/00063_car1_2.png
63	bitmap	car1_2	0	367	BITD	raw_chunks/00063_car1_2_367_BITD.bin
64	bitmap	car2_2	0			bitmaps/00064_car2_2.png
64	bitmap	car2_2	0	373	BITD	raw_chunks/00064_car2_2_373_BITD.bin
66	bitmap	cloud_2_right	0			bitmaps/00066_cloud_2_right.png
66	bitmap	cloud_2_right	0	387	BITD	raw_chunks/00066_cloud_2_right_387_BITD.bin
157	bitmap	Fountain_dk_3	0			bitmaps/00157_Fountain_dk_3.png
157	bitmap	Fountain_dk_3	0	352	BITD	raw_chunks/00157_Fountain_dk_3_352_BITD.bin
160	bitmap	main_building	0			bitmaps/00160_main_building.png
160	bitmap	main_building	0	344	BITD	raw_chunks/00160_main_building_344_BITD.bin
167	text	entry.visual	0	336	STXT	text/00167_entry.visual_stxt_0.txt
167	text	entry.visual	0	336	STXT	raw_chunks/00167_entry.visual_336_STXT.bin
179	bitmap	cloud_0_right	0			bitmaps/00179_cloud_0_right.png
179	bitmap	cloud_0_right	0	379	BITD	raw_chunks/00179_cloud_0_right_379_BITD.bin
198	bitmap	bg_mask1	0			bitmaps/00198_bg_mask1.png
198	bitmap	bg_mask1	0	354	BITD	raw_chunks/00198_bg_mask1_354_BITD.bin
199	bitmap	Fountain_dk_2	0			bitmaps/00199_Fountain_dk_2.png
199	bitmap	Fountain_dk_2	0	350	BITD	raw_chunks/00199_Fountain_dk_2_350_BITD.bin
202	bitmap	bg_scene	0			bitmaps/00202_bg_scene.png
202	bitmap	bg_scene	0	342	BITD	raw_chunks/00202_bg_scene_342_BITD.bin
204	bitmap	Water_dk	0			bitmaps/00204_Water_dk.png
204	bitmap	Water_dk	0	395	BITD	raw_chunks/00204_Water_dk_395_BITD.bin
229	bitmap	cloud_0_left	0			bitmaps/00229_cloud_0_left.png
229	bitmap	cloud_0_left	0	377	BITD	raw_chunks/00229_cloud_0_left_377_BITD.bin
237	bitmap	bg_city	0			bitmaps/00237_bg_city.png
237	bitmap	bg_city	0	346	BITD	raw_chunks/00237_bg_city_346_BITD.bin
241	bitmap	corner_element_shadow	0			bitmaps/00241_corner_element_shadow.png
241	bitmap	corner_element_shadow	0	334	BITD	raw_chunks/00241_corner_element_shadow_334_BITD.bin
243	bitmap	Fountain_it_3	0			bitmaps/00243_Fountain_it_3.png
243	bitmap	Fountain_it_3	0	360	BITD	raw_chunks/00243_Fountain_it_3_360_BITD.bin
244	bitmap	bus1_1	0			bitmaps/00244_bus1_1.png
244	bitmap	bus1_1	0	369	BITD	raw_chunks/00244_bus1_1_369_BITD.bin
245	bitmap	corner_element	0			bitmaps/00245_corner_element.png
245	bitmap	corner_element	0	332	BITD	raw_chunks/00245_corner_element_332_BITD.bin
247	bitmap	Fountain_it_2	0			bitmaps/00247_Fountain_it_2.png
247	bitmap	Fountain_it_2	0	358	BITD	raw_chunks/00247_Fountain_it_2_358_BITD.bin
253	bitmap	bus1_2	0			bitmaps/00253_bus1_2.png
253	bitmap	bus1_2	0	371	BITD	raw_chunks/00253_bus1_2_371_BITD.bin
254	bitmap	car2_1	0			bitmaps/00254_car2_1.png
254	bitmap	car2_1	0	375	BITD	raw_chunks/00254_car2_1_375_BITD.bin
257	bitmap	Fountain_dk_1	0			bitmaps/00257_Fountain_dk_1.png
257	bitmap	Fountain_dk_1	0	348	BITD	raw_chunks/00257_Fountain_dk_1_348_BITD.bin
258	bitmap	cloud_1_right	0			bitmaps/00258_cloud_1_right.png
258	bitmap	cloud_1_right	0	383	BITD	raw_chunks/00258_cloud_1_right_383_BITD.bin
259	bitmap	cloud_2_left	0			bitmaps/00259_cloud_2_left.png
259	bitmap	cloud_2_left	0	385	BITD	raw_chunks/00259_cloud_2_left_385_BITD.bin
260	bitmap	cloud_3_left	0			bitmaps/00260_cloud_3_left.png
260	bitmap	cloud_3_left	0	389	BITD	raw_chunks/00260_cloud_3_left_389_BITD.bin
261	bitmap	light1	0			bitmaps/00261_light1.png
261	bitmap	light1	0	393	BITD	raw_chunks/00261_light1_393_BITD.bin
263	bitmap	Fountain_it_1	0			bitmaps/00263_Fountain_it_1.png
263	bitmap	Fountain_it_1	0	356	BITD	raw_chunks/00263_Fountain_it_1_356_BITD.bin
269	bitmap	cloud_3_right	0			bitmaps/00269_cloud_3_right.png
269	bitmap	cloud_3_right	0	391	BITD	raw_chunks/00269_cloud_3_right_391_BITD.bin
320	bitmap	car1_1	0			bitmaps/00320_car1_1.png
320	bitmap	car1_1	0	365	BITD	raw_chunks/00320_car1_1_365_BITD.bin
