index	r	g	b	hex
0	255	255	255	#FFFFFF
1	255	255	255	#FFFFFF
2	254	51	54	#FE3336
3	102	131	194	#6683C2
4	102	116	146	#667492
5	54	77	121	#364D79
6	123	152	213	#7B98D5
7	111	134	176	#6F86B0
8	24	97	187	#1861BB
9	43	126	202	#2B7ECA
10	151	199	226	#97C7E2
11	78	174	222	#4EAEDE
12	73	156	197	#499CC5
13	102	204	255	#66CCFF
14	143	215	251	#8FD7FB
15	103	145	167	#6791A7
16	93	131	151	#5D8397
17	107	146	167	#6B92A7
18	197	229	245	#C5E5F5
19	111	174	202	#6FAECA
20	132	204	232	#84CCE8
21	138	186	203	#8ABACB
22	132	189	204	#84BDCC
23	104	133	140	#68858C
24	104	125	130	#687D82
25	58	80	85	#3A5055
26	104	134	140	#68868C
27	118	173	182	#76ADB6
28	91	119	124	#5B777C
29	81	133	140	#51858C
30	98	158	167	#629EA7
31	108	178	187	#6CB2BB
32	54	89	93	#36595D
33	78	113	117	#4E7175
34	0	152	153	#009899
35	0	72	73	#004849
36	0	42	43	#002A2B
37	2	113	114	#027172
38	3	36	36	#032424
39	35	184	185	#23B8B9
40	66	117	117	#427575
41	102	153	153	#669999
42	72	107	107	#486B6B
43	153	204	204	#99CCCC
44	97	141	139	#618D8B
45	122	178	175	#7AB2AF
46	120	149	142	#78958E
47	85	114	106	#55726A
48	69	131	112	#458370
49	37	69	58	#25453A
50	61	93	82	#3D5D52
51	74	139	116	#4A8B74
52	104	158	139	#689E8B
53	80	152	122	#50987A
54	119	169	148	#77A994
55	88	164	129	#58A481
56	44	82	64	#2C5240
57	68	106	88	#446A58
58	12	74	34	#0C4A22
59	50	102	69	#326645
60	62	112	79	#3E704F
61	95	131	102	#5F8366
62	70	135	65	#468741
63	67	120	62	#43783E
64	59	91	56	#3B5B38
65	121	166	98	#79A662
66	52	136	0	#348800
67	39	102	0	#276600
68	46	119	0	#2E7700
69	68	86	55	#445637
70	137	173	111	#89AD6F
71	92	110	79	#5C6E4F
72	46	50	43	#2E322B
73	42	94	0	#2A5E00
74	43	94	0	#2B5E00
75	51	102	0	#336600
76	42	84	0	#2A5400
77	36	70	2	#244602
78	36	71	0	#244700
79	60	63	56	#3C3F38
80	215	218	211	#D7DAD3
81	92	94	89	#5C5E59
82	25	28	20	#191C14
83	102	153	0	#669900
84	82	122	0	#527A00
85	51	76	0	#334C00
86	4	6	0	#040600
87	138	188	36	#8ABC24
88	97	99	93	#61635D
89	134	136	130	#868882
90	143	145	139	#8F918B
91	124	125	122	#7C7D7A
92	167	169	162	#A7A9A2
93	150	151	146	#969792
94	132	138	107	#848A6B
95	148	153	123	#94997B
96	149	165	26	#95A51A
97	255	255	51	#FFFF33
98	148	134	0	#948600
99	97	88	25	#615819
100	195	176	51	#C3B033
101	189	173	68	#BDAD44
102	175	167	106	#AFA76A
103	255	204	0	#FFCC00
104	192	159	57	#C09F39
105	153	102	0	#996600
106	255	179	27	#FFB31B
107	136	106	48	#886A30
108	255	204	102	#FFCC66
109	160	130	72	#A08248
110	18	16	12	#12100C
111	71	67	59	#47433B
112	139	114	67	#8B7243
113	38	34	27	#26221B
114	255	153	0	#FF9900
115	255	182	72	#FFB648
116	208	108	0	#D06C00
117	226	113	0	#E27100
118	204	102	0	#CC6600
119	174	89	0	#AE5900
120	172	86	0	#AC5600
121	102	51	0	#663300
122	76	46	15	#4C2E0F
123	255	153	51	#FF9933
124	76	65	54	#4C4136
125	164	141	117	#A48D75
126	184	165	146	#B8A592
127	185	173	161	#B9ADA1
128	61	30	0	#3D1E00
129	108	96	85	#6C6055
130	209	200	192	#D1C8C0
131	254	132	25	#FE8419
132	102	60	26	#663C1A
133	84	56	33	#543821
134	153	72	16	#994810
135	195	94	25	#C35E19
136	116	59	26	#743B1A
137	153	51	0	#993300
138	173	64	9	#AD4009
139	230	55	4	#E63704
140	255	70	15	#FF460F
141	217	60	13	#D93C0D
142	202	20	0	#CA1400
143	172	17	0	#AC1100
144	204	0	0	#CC0000
145	153	0	0	#990000
146	46	0	0	#2E0000
147	104	4	4	#680404
148	81	72	72	#514848
149	117	107	107	#756B6B
150	144	134	134	#908686
151	248	248	248	#F8F8F8
152	238	238	238	#EEEEEE
153	229	229	229	#E5E5E5
154	217	217	217	#D9D9D9
155	211	211	211	#D3D3D3
156	204	204	204	#CCCCCC
157	192	192	192	#C0C0C0
158	170	170	170	#AAAAAA
159	119	119	119	#777777
160	51	51	51	#333333
161	24	24	24	#181818
162	0	0	0	#000000
163	0	0	0	#000000
164	0	0	0	#000000
165	0	0	0	#000000
166	0	0	0	#000000
167	0	0	0	#000000
168	0	0	0	#000000
169	0	0	0	#000000
170	0	0	0	#000000
171	0	0	0	#000000
172	0	0	0	#000000
173	0	0	0	#000000
174	0	0	0	#000000
175	0	0	0	#000000
176	0	0	0	#000000
177	0	0	0	#000000
178	0	0	0	#000000
179	0	0	0	#000000
180	0	0	0	#000000
181	0	0	0	#000000
182	0	0	0	#000000
183	0	0	0	#000000
184	0	0	0	#000000
185	0	0	0	#000000
186	0	0	0	#000000
187	0	0	0	#000000
188	0	0	0	#000000
189	0	0	0	#000000
190	0	0	0	#000000
191	0	0	0	#000000
192	0	0	0	#000000
193	0	0	0	#000000
194	0	0	0	#000000
195	0	0	0	#000000
196	0	0	0	#000000
197	0	0	0	#000000
198	0	0	0	#000000
199	0	0	0	#000000
200	0	0	0	#000000
201	0	0	0	#000000
202	0	0	0	#000000
203	0	0	0	#000000
204	0	0	0	#000000
205	0	0	0	#000000
206	0	0	0	#000000
207	0	0	0	#000000
208	0	0	0	#000000
209	0	0	0	#000000
210	0	0	0	#000000
211	0	0	0	#000000
212	0	0	0	#000000
213	0	0	0	#000000
214	0	0	0	#000000
215	0	0	0	#000000
216	0	0	0	#000000
217	0	0	0	#000000
218	0	0	0	#000000
219	0	0	0	#000000
220	0	0	0	#000000
221	0	0	0	#000000
222	0	0	0	#000000
223	0	0	0	#000000
224	0	0	0	#000000
225	0	0	0	#000000
226	0	0	0	#000000
227	0	0	0	#000000
228	0	0	0	#000000
229	0	0	0	#000000
230	0	0	0	#000000
231	0	0	0	#000000
232	0	0	0	#000000
233	0	0	0	#000000
