index	r	g	b	hex
0	255	255	255	#FFFFFF
1	252	250	245	#FCFAF5
2	238	238	238	#EEEEEE
3	217	217	217	#D9D9D9
4	186	230	230	#BAE6E6
5	215	218	211	#D7DAD3
6	184	221	221	#B8DDDD
7	165	222	235	#A5DEEB
8	206	206	206	#CECECE
9	170	223	223	#AADFDF
10	155	220	232	#9BDCE8
11	132	207	239	#84CFEF
12	135	212	222	#87D4DE
13	222	200	141	#DEC88D
14	187	189	186	#BBBDBA
15	153	204	204	#99CCCC
16	43	253	255	#2BFDFF
17	168	205	167	#A8CDA7
18	255	240	43	#FFF02B
19	250	201	84	#FAC954
20	123	190	222	#7BBEDE
21	202	165	165	#CAA5A5
22	173	173	173	#ADADAD
23	144	183	192	#90B7C0
24	77	212	225	#4DD4E1
25	170	170	170	#AAAAAA
26	167	169	162	#A7A9A2
27	166	193	130	#A6C182
28	107	174	206	#6BAECE
29	103	184	200	#67B8C8
30	111	174	201	#6FAEC9
31	226	229	26	#E2E51A
32	74	192	207	#4AC0CF
33	41	215	216	#29D7D8
34	133	165	172	#85A5AC
35	162	172	135	#A2AC87
36	132	164	171	#84A4AB
37	130	165	172	#82A5AC
38	148	175	143	#94AF8F
39	255	207	0	#FFCF00
40	250	191	18	#FABF12
41	255	203	0	#FFCB00
42	72	184	198	#48B8C6
43	104	160	187	#68A0BB
44	203	169	77	#CBA94D
45	132	155	159	#849B9F
46	121	255	69	#79FF45
47	129	154	160	#819AA0
48	147	147	147	#939393
49	107	158	173	#6B9EAD
50	194	159	84	#C29F54
51	123	153	159	#7B999F
52	208	176	49	#D0B031
53	109	167	154	#6DA79A
54	150	177	96	#96B160
55	140	140	140	#8C8C8C
56	118	148	154	#76949A
57	69	167	181	#45A7B5
58	84	161	171	#54A1AB
59	44	218	154	#2CDA9A
60	188	156	70	#BC9C46
61	185	134	95	#B9865F
62	203	157	53	#CB9D35
63	116	144	150	#749096
64	136	136	136	#888888
65	102	153	153	#669999
66	51	153	204	#3399CC
67	255	152	0	#FF9800
68	115	143	149	#738F95
69	93	158	155	#5D9E9B
70	114	142	148	#728E94
71	114	142	147	#728E93
72	114	141	148	#728D94
73	113	142	148	#718E94
74	35	183	185	#23B7B9
75	113	141	148	#718D94
76	137	152	111	#89986F
77	134	136	130	#868882
78	113	140	146	#718C92
79	112	139	148	#708B94
80	111	141	146	#6F8D92
81	167	182	43	#A7B62B
82	189	192	9	#BDC009
83	180	116	90	#B4745A
84	114	134	138	#72868A
85	114	134	137	#728689
86	114	133	138	#72858A
87	113	134	138	#71868A
88	114	133	137	#728589
89	113	134	137	#718689
90	113	133	138	#71858A
91	125	129	129	#7D8181
92	113	133	137	#718589
93	128	123	131	#807B83
94	65	152	165	#4198A5
95	120	143	116	#788F74
96	194	142	42	#C28E2A
97	182	153	43	#B6992B
98	247	128	1	#F78001
99	106	132	137	#6A8489
100	33	170	172	#21AAAC
101	118	141	114	#768D72
102	167	139	63	#A78B3F
103	104	130	135	#688287
104	90	133	146	#5A8592
105	33	170	166	#21AAA6
106	27	170	172	#1BAAAC
107	178	168	21	#B2A815
108	174	141	52	#AE8D34
109	160	131	73	#A08349
110	101	127	132	#657F84
111	95	135	126	#5F877E
112	157	131	61	#9D833D
113	130	159	53	#829F35
114	27	155	157	#1B9B9D
115	255	69	14	#FF450E
116	29	154	155	#1D9A9B
117	158	135	40	#9E8728
118	111	111	111	#6F6F6F
119	34	173	122	#22AD7A
120	25	151	153	#199799
121	8	130	191	#0882BF
122	121	159	48	#799F30
123	155	94	75	#9B5E4B
124	139	114	61	#8B723D
125	0	125	188	#007DBC
126	130	145	37	#829125
127	139	127	45	#8B7F2D
128	27	141	142	#1B8D8E
129	150	127	31	#967F1F
130	104	175	29	#68AF1D
131	131	142	34	#838E22
132	203	102	0	#CB6600
133	144	126	35	#907E23
134	24	140	141	#188C8D
135	206	97	0	#CE6100
136	74	171	56	#4AAB38
137	108	137	53	#6C8935
138	76	190	32	#4CBE20
139	148	115	34	#947322
140	166	111	19	#A66F13
141	138	112	46	#8A702E
142	153	113	29	#99711D
143	88	167	36	#58A724
144	136	106	48	#886A30
145	230	55	4	#E63704
146	97	99	93	#61635D
147	22	131	132	#168384
148	143	85	56	#8F5538
149	140	141	1	#8C8D01
150	162	64	50	#A24032
151	135	113	28	#87711C
152	96	124	54	#607C36
153	11	131	131	#0B8383
154	102	128	36	#668024
155	22	120	122	#16787A
156	197	54	12	#C5360C
157	59	143	59	#3B8F3B
158	23	119	119	#177777
159	71	92	96	#475C60
160	103	155	0	#679B00
161	139	98	17	#8B6211
162	21	115	116	#157374
163	137	55	55	#893737
164	99	117	25	#637519
165	160	80	0	#A05000
166	65	91	84	#415B54
167	113	98	28	#71621C
168	105	86	46	#69562E
169	85	86	62	#55563E
170	68	90	74	#445A4A
171	78	78	74	#4E4E4A
172	24	121	85	#187955
173	44	89	96	#2C5960
174	112	87	29	#70571D
175	108	94	26	#6C5E1A
176	98	105	25	#626919
177	72	137	19	#488913
178	65	113	47	#41712F
179	206	16	0	#CE1000
180	202	20	0	#CA1400
181	172	46	2	#AC2E02
182	108	112	0	#6C7000
183	115	59	43	#733B2B
184	49	77	89	#314D59
185	109	103	0	#6D6700
186	115	81	15	#73510F
187	84	126	1	#547E01
188	85	125	0	#557D00
189	101	84	24	#655418
190	78	130	1	#4E8201
191	111	82	13	#6F520D
192	82	123	0	#527B00
193	71	132	2	#478402
194	153	51	0	#993300
195	52	124	24	#347C18
196	81	114	0	#517200
197	65	65	65	#414141
198	81	87	21	#515715
199	88	89	10	#58590A
200	52	72	61	#34483D
201	87	75	22	#574B16
202	78	60	46	#4E3C2E
203	153	29	0	#991D00
204	86	81	14	#56510E
205	89	90	0	#595A00
206	77	70	24	#4D4618
207	77	78	15	#4D4E0F
208	63	106	1	#3F6A01
209	85	84	0	#555400
210	84	83	0	#545300
211	54	106	2	#366A02
212	11	74	75	#0B4A4B
213	54	55	40	#363728
214	63	68	16	#3F4410
215	96	50	0	#603200
216	38	91	17	#265B11
217	77	55	10	#4D370A
218	55	86	0	#375600
219	63	64	13	#3F400D
220	55	84	0	#375400
221	70	68	0	#464400
222	47	90	1	#2F5A01
223	5	128	5	#058005
224	14	69	49	#0E4531
225	110	21	0	#6E1500
226	56	75	0	#384B00
227	82	47	0	#522F00
228	43	85	1	#2B5501
229	75	47	0	#4B2F00
230	42	79	1	#2A4F01
231	5	110	5	#056E05
232	55	64	0	#374000
233	27	65	27	#1B411B
234	43	71	1	#2B4701
235	51	46	16	#332E10
236	38	74	1	#264A01
237	61	47	0	#3D2F00
238	49	50	9	#313209
239	44	61	0	#2C3D00
240	56	22	20	#381614
241	18	54	23	#123617
242	29	55	1	#1D3701
243	38	39	0	#262700
244	6	34	27	#06221B
245	34	27	0	#221B00
246	27	26	0	#1B1A00
247	4	6	0	#040600
248	170	170	170	#AAAAAA
249	136	136	136	#888888
250	119	119	119	#777777
251	85	85	85	#555555
252	68	68	68	#444444
253	34	34	34	#222222
254	17	17	17	#111111
255	0	0	0	#000000
