member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
21	bitmap	habbo_jp_entry_hotelmask	0			bitmaps/00021_habbo_jp_entry_hotelmask.png
21	bitmap	habbo_jp_entry_hotelmask	0	310	BITD	raw_chunks/00021_habbo_jp_entry_hotelmask_310_BITD.bin
24	bitmap	corner_element_jp_shadow	0			bitmaps/00024_corner_element_jp_shadow.png
24	bitmap	corner_element_jp_shadow	0	320	BITD	raw_chunks/00024_corner_element_jp_shadow_320_BITD.bin
28	bitmap	light1	0			bitmaps/00028_light1.png
28	bitmap	light1	0	325	BITD	raw_chunks/00028_light1_325_BITD.bin
32	bitmap	jp_train_gfx	0			bitmaps/00032_jp_train_gfx.png
32	bitmap	jp_train_gfx	0	327	BITD	raw_chunks/00032_jp_train_gfx_327_BITD.bin
33	bitmap	jp_train_canvas	0			bitmaps/00033_jp_train_canvas.png
33	bitmap	jp_train_canvas	0	329	BITD	raw_chunks/00033_jp_train_canvas_329_BITD.bin
35	bitmap	bubble1	0			bitmaps/00035_bubble1.png
35	bitmap	bubble1	0	331	BITD	raw_chunks/00035_bubble1_331_BITD.bin
36	bitmap	bubble2	0			bitmaps/00036_bubble2.png
36	bitmap	bubble2	0	333	BITD	raw_chunks/00036_bubble2_333_BITD.bin
37	bitmap	bubble3	0			bitmaps/00037_bubble3.png
37	bitmap	bubble3	0	335	BITD	raw_chunks/00037_bubble3_335_BITD.bin
38	bitmap	bubbles_canvas	0			bitmaps/00038_bubbles_canvas.png
38	bitmap	bubbles_canvas	0	337	BITD	raw_chunks/00038_bubbles_canvas_337_BITD.bin
40	bitmap	car1	0			bitmaps/00040_car1.png
40	bitmap	car1	0	341	BITD	raw_chunks/00040_car1_341_BITD.bin
41	bitmap	car2	0			bitmaps/00041_car2.png
41	bitmap	car2	0	343	BITD	raw_chunks/00041_car2_343_BITD.bin
42	bitmap	bus1	0			bitmaps/00042_bus1.png
42	bitmap	bus1	0	345	BITD	raw_chunks/00042_bus1_345_BITD.bin
43	bitmap	bus2	0			bitmaps/00043_bus2.png
43	bitmap	bus2	0	348	BITD	raw_chunks/00043_bus2_348_BITD.bin
44	bitmap	taxia1	0			bitmaps/00044_taxia1.png
44	bitmap	taxia1	0	351	BITD	raw_chunks/00044_taxia1_351_BITD.bin
45	bitmap	taxia2	0			bitmaps/00045_taxia2.png
45	bitmap	taxia2	0	354	BITD	raw_chunks/00045_taxia2_354_BITD.bin
46	bitmap	taxib1	0			bitmaps/00046_taxib1.png
46	bitmap	taxib1	0	357	BITD	raw_chunks/00046_taxib1_357_BITD.bin
47	bitmap	taxib2	0			bitmaps/00047_taxib2.png
47	bitmap	taxib2	0	360	BITD	raw_chunks/00047_taxib2_360_BITD.bin
48	bitmap	taxic1	0			bitmaps/00048_taxic1.png
48	bitmap	taxic1	0	363	BITD	raw_chunks/00048_taxic1_363_BITD.bin
49	bitmap	taxic2	0			bitmaps/00049_taxic2.png
49	bitmap	taxic2	0	366	BITD	raw_chunks/00049_taxic2_366_BITD.bin
50	bitmap	screen2d	0			bitmaps/00050_screen2d.png
50	bitmap	screen2d	0	369	BITD	raw_chunks/00050_screen2d_369_BITD.bin
52	bitmap	jp_scroller_shading	0			bitmaps/00052_jp_scroller_shading.png
52	bitmap	jp_scroller_shading	0	374	BITD	raw_chunks/00052_jp_scroller_shading_374_BITD.bin
53	bitmap	jp_scroller_matrix	0			bitmaps/00053_jp_scroller_matrix.png
53	bitmap	jp_scroller_matrix	0	376	BITD	raw_chunks/00053_jp_scroller_matrix_376_BITD.bin
54	bitmap	jp_scroller_glass	0			bitmaps/00054_jp_scroller_glass.png
54	bitmap	jp_scroller_glass	0	378	BITD	raw_chunks/00054_jp_scroller_glass_378_BITD.bin
55	bitmap	jp_scroller_highlights	0			bitmaps/00055_jp_scroller_highlights.png
55	bitmap	jp_scroller_highlights	0	380	BITD	raw_chunks/00055_jp_scroller_highlights_380_BITD.bin
66	bitmap	jp_roof_lake	0			bitmaps/00066_jp_roof_lake.png
66	bitmap	jp_roof_lake	0	384	BITD	raw_chunks/00066_jp_roof_lake_384_BITD.bin
96	bitmap	cloud_2_right	0			bitmaps/00096_cloud_2_right.png
96	bitmap	cloud_2_right	0	415	BITD	raw_chunks/00096_cloud_2_right_415_BITD.bin
98	bitmap	hoteltubemask	0			bitmaps/00098_hoteltubemask.png
98	bitmap	hoteltubemask	0	339	BITD	raw_chunks/00098_hoteltubemask_339_BITD.bin
116	bitmap	jp_river_shadow	0			bitmaps/00116_jp_river_shadow.png
116	bitmap	jp_river_shadow	0	386	BITD	raw_chunks/00116_jp_river_shadow_386_BITD.bin
120	bitmap	jp_river	0			bitmaps/00120_jp_river.png
120	bitmap	jp_river	0	382	BITD	raw_chunks/00120_jp_river_382_BITD.bin
148	bitmap	cloud_0_right	0			bitmaps/00148_cloud_0_right.png
148	bitmap	cloud_0_right	0	407	BITD	raw_chunks/00148_cloud_0_right_407_BITD.bin
180	text	entry.visual	0	302	STXT	text/00180_entry.visual_stxt_0.txt
180	text	entry.visual	0	302	STXT	raw_chunks/00180_entry.visual_302_STXT.bin
200	bitmap	corner_element_jp	0			bitmaps/00200_corner_element_jp.png
200	bitmap	corner_element_jp	0	318	BITD	raw_chunks/00200_corner_element_jp_318_BITD.bin
207	bitmap	cloud_1_left	0			bitmaps/00207_cloud_1_left.png
207	bitmap	cloud_1_left	0	409	BITD	raw_chunks/00207_cloud_1_left_409_BITD.bin
230	bitmap	habbo_jp_entry_bg	0			bitmaps/00230_habbo_jp_entry_bg.png
230	bitmap	habbo_jp_entry_bg	0	308	BITD	raw_chunks/00230_habbo_jp_entry_bg_308_BITD.bin
236	bitmap	screen3d	0			bitmaps/00236_screen3d.png
236	bitmap	screen3d	0	371	BITD	raw_chunks/00236_screen3d_371_BITD.bin
249	bitmap	cloud_0_left	0			bitmaps/00249_cloud_0_left.png
249	bitmap	cloud_0_left	0	405	BITD	raw_chunks/00249_cloud_0_left_405_BITD.bin
286	bitmap	cloud_1_right	0			bitmaps/00286_cloud_1_right.png
286	bitmap	cloud_1_right	0	411	BITD	raw_chunks/00286_cloud_1_right_411_BITD.bin
287	bitmap	cloud_2_left	0			bitmaps/00287_cloud_2_left.png
287	bitmap	cloud_2_left	0	413	BITD	raw_chunks/00287_cloud_2_left_413_BITD.bin
