member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
4	text	entry.visual	0	18	STXT	text/00004_entry.visual_stxt_0.txt
4	text	entry.visual	0	18	STXT	raw_chunks/00004_entry.visual_18_STXT.bin
5	bitmap	corner_element	0	19	BITD	raw_chunks/00005_corner_element_19_BITD.bin
6	bitmap	corner_element_shadow	0			bitmaps/00006_corner_element_shadow.png
6	bitmap	corner_element_shadow	0	20	BITD	raw_chunks/00006_corner_element_shadow_20_BITD.bin
7	bitmap	entry_pixel	0			bitmaps/00007_entry_pixel.png
7	bitmap	entry_pixel	0	21	BITD	raw_chunks/00007_entry_pixel_21_BITD.bin
8	bitmap	kk_elisaLogo	0			bitmaps/00008_kk_elisaLogo.png
8	bitmap	kk_elisaLogo	0	22	BITD	raw_chunks/00008_kk_elisaLogo_22_BITD.bin
9	bitmap	kk_front	0	23	BITD	raw_chunks/00009_kk_front_23_BITD.bin
11	bitmap	corner_element	0			bitmaps/00011_corner_element.png
11	bitmap	corner_element	0	28	BITD	raw_chunks/00011_corner_element_28_BITD.bin
24	bitmap	kk_front	0			bitmaps/00024_kk_front.png
24	bitmap	kk_front	0	33	BITD	raw_chunks/00024_kk_front_33_BITD.bin
