member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
20	bitmap	cloud_0_left	0			bitmaps/00020_cloud_0_left.png
20	bitmap	cloud_0_left	0	435	BITD	raw_chunks/00020_cloud_0_left_435_BITD.bin
24	bitmap	windpower_nl_2	0			bitmaps/00024_windpower_nl_2.png
24	bitmap	windpower_nl_2	0	462	BITD	raw_chunks/00024_windpower_nl_2_462_BITD.bin
28	bitmap	cloud_3_left	0			bitmaps/00028_cloud_3_left.png
28	bitmap	cloud_3_left	0	447	BITD	raw_chunks/00028_cloud_3_left_447_BITD.bin
63	bitmap	light1	0			bitmaps/00063_light1.png
63	bitmap	light1	0	455	BITD	raw_chunks/00063_light1_455_BITD.bin
64	bitmap	hotel_nl	0			bitmaps/00064_hotel_nl.png
64	bitmap	hotel_nl	0	423	BITD	raw_chunks/00064_hotel_nl_423_BITD.bin
74	bitmap	cloud_0_right	0			bitmaps/00074_cloud_0_right.png
74	bitmap	cloud_0_right	0	437	BITD	raw_chunks/00074_cloud_0_right_437_BITD.bin
76	bitmap	bottom_part_nl	0			bitmaps/00076_bottom_part_nl.png
76	bitmap	bottom_part_nl	0	421	BITD	raw_chunks/00076_bottom_part_nl_421_BITD.bin
159	bitmap	windpower_nl_1	0			bitmaps/00159_windpower_nl_1.png
159	bitmap	windpower_nl_1	0	460	BITD	raw_chunks/00159_windpower_nl_1_460_BITD.bin
167	text	entry.visual	0	396	STXT	text/00167_entry.visual_stxt_0.txt
167	text	entry.visual	0	396	STXT	raw_chunks/00167_entry.visual_396_STXT.bin
213	bitmap	nl_river	0			bitmaps/00213_nl_river.png
213	bitmap	nl_river	0	425	BITD	raw_chunks/00213_nl_river_425_BITD.bin
227	bitmap	cloud_3_right	0			bitmaps/00227_cloud_3_right.png
227	bitmap	cloud_3_right	0	449	BITD	raw_chunks/00227_cloud_3_right_449_BITD.bin
242	bitmap	car2	0			bitmaps/00242_car2.png
242	bitmap	car2	0	453	BITD	raw_chunks/00242_car2_453_BITD.bin
243	bitmap	car1	0			bitmaps/00243_car1.png
243	bitmap	car1	0	451	BITD	raw_chunks/00243_car1_451_BITD.bin
245	bitmap	windpower_nl_6	0			bitmaps/00245_windpower_nl_6.png
245	bitmap	windpower_nl_6	0	470	BITD	raw_chunks/00245_windpower_nl_6_470_BITD.bin
253	bitmap	windpower_nl_7	0			bitmaps/00253_windpower_nl_7.png
253	bitmap	windpower_nl_7	0	472	BITD	raw_chunks/00253_windpower_nl_7_472_BITD.bin
271	bitmap	windpower_nl_8	0			bitmaps/00271_windpower_nl_8.png
271	bitmap	windpower_nl_8	0	474	BITD	raw_chunks/00271_windpower_nl_8_474_BITD.bin
294	bitmap	cloud_1_right	0			bitmaps/00294_cloud_1_right.png
294	bitmap	cloud_1_right	0	441	BITD	raw_chunks/00294_cloud_1_right_441_BITD.bin
295	bitmap	cloud_2_left	0			bitmaps/00295_cloud_2_left.png
295	bitmap	cloud_2_left	0	439	BITD	raw_chunks/00295_cloud_2_left_439_BITD.bin
296	bitmap	train	0			bitmaps/00296_train.png
296	bitmap	train	0	429	BITD	raw_chunks/00296_train_429_BITD.bin
297	bitmap	trainmask	0			bitmaps/00297_trainmask.png
297	bitmap	trainmask	0	427	BITD	raw_chunks/00297_trainmask_427_BITD.bin
300	bitmap	cloud_1_left	0			bitmaps/00300_cloud_1_left.png
300	bitmap	cloud_1_left	0	443	BITD	raw_chunks/00300_cloud_1_left_443_BITD.bin
301	bitmap	corner_element_shadow	0			bitmaps/00301_corner_element_shadow.png
301	bitmap	corner_element_shadow	0	433	BITD	raw_chunks/00301_corner_element_shadow_433_BITD.bin
366	bitmap	windpower_nl_4	0			bitmaps/00366_windpower_nl_4.png
366	bitmap	windpower_nl_4	0	466	BITD	raw_chunks/00366_windpower_nl_4_466_BITD.bin
367	bitmap	windpower_nl_5	0			bitmaps/00367_windpower_nl_5.png
367	bitmap	windpower_nl_5	0	468	BITD	raw_chunks/00367_windpower_nl_5_468_BITD.bin
370	bitmap	corner_element	0			bitmaps/00370_corner_element.png
370	bitmap	corner_element	0	431	BITD	raw_chunks/00370_corner_element_431_BITD.bin
371	bitmap	windpower_nl_3	0			bitmaps/00371_windpower_nl_3.png
371	bitmap	windpower_nl_3	0	464	BITD	raw_chunks/00371_windpower_nl_3_464_BITD.bin
380	bitmap	background_nl	0			bitmaps/00380_background_nl.png
380	bitmap	background_nl	0	419	BITD	raw_chunks/00380_background_nl_419_BITD.bin
383	bitmap	cloud_2_right	0			bitmaps/00383_cloud_2_right.png
383	bitmap	cloud_2_right	0	445	BITD	raw_chunks/00383_cloud_2_right_445_BITD.bin
