index	r	g	b	hex
0	255	255	255	#FFFFFF
1	253	237	193	#FDEDC1
2	214	219	214	#D6DBD6
3	215	218	211	#D7DAD3
4	203	203	203	#CBCBCB
5	168	210	228	#A8D2E4
6	198	199	198	#C6C7C6
7	140	212	221	#8CD4DD
8	141	199	227	#8DC7E3
9	157	198	210	#9DC6D2
10	170	193	201	#AAC1C9
11	153	204	204	#99CCCC
12	158	200	200	#9EC8C8
13	255	194	102	#FFC266
14	140	201	210	#8CC9D2
15	154	186	199	#9ABAC7
16	249	205	83	#F9CD53
17	142	182	207	#8EB6CF
18	134	194	203	#86C2CB
19	131	189	197	#83BDC5
20	139	178	196	#8BB2C4
21	255	182	72	#FFB648
22	126	186	195	#7EBAC3
23	125	185	194	#7DB9C2
24	255	247	0	#FFF700
25	255	246	0	#FFF600
26	165	170	165	#A5AAA5
27	215	184	99	#D7B863
28	167	169	162	#A7A9A2
29	132	178	188	#84B2BC
30	137	170	184	#89AAB8
31	121	181	189	#79B5BD
32	255	235	0	#FFEB00
33	120	181	189	#78B5BD
34	224	163	102	#E0A366
35	113	184	192	#71B8C0
36	255	232	0	#FFE800
37	127	172	183	#7FACB7
38	133	179	166	#85B3A6
39	134	179	164	#86B3A4
40	133	171	173	#85ABAD
41	192	182	99	#C0B663
42	120	172	180	#78ACB4
43	133	176	160	#85B0A0
44	134	176	158	#86B09E
45	255	170	42	#FFAA2A
46	123	163	179	#7BA3B3
47	112	172	181	#70ACB5
48	193	168	99	#C1A863
49	255	204	0	#FFCC00
50	135	159	163	#879FA3
51	133	173	151	#85AD97
52	190	179	87	#BEB357
53	134	173	149	#86AD95
54	103	171	179	#67ABB3
55	247	186	18	#F7BA12
56	109	167	175	#6DA7AF
57	107	167	176	#6BA7B0
58	190	162	87	#BEA257
59	109	151	178	#6D97B2
60	120	151	165	#7897A5
61	219	216	0	#DBD800
62	114	171	150	#72AB96
63	143	143	143	#8F8F8F
64	119	161	149	#77A195
65	113	150	165	#7196A5
66	102	159	167	#669FA7
67	169	160	87	#A9A057
68	222	192	0	#DEC000
69	222	188	3	#DEBC03
70	90	158	165	#5A9EA5
71	88	157	167	#589DA7
72	106	161	143	#6AA18F
73	120	155	134	#789B86
74	255	153	0	#FF9900
75	102	153	153	#669999
76	125	140	142	#7D8C8E
77	112	143	150	#708F96
78	222	182	0	#DEB600
79	170	147	87	#AA9357
80	222	181	0	#DEB500
81	132	138	132	#848A84
82	117	174	111	#75AE6F
83	222	176	3	#DEB003
84	222	178	0	#DEB200
85	134	136	130	#868882
86	47	132	219	#2F84DB
87	255	139	0	#FF8B00
88	255	138	0	#FF8A00
89	107	143	143	#6B8F8F
90	108	138	145	#6C8A91
91	161	152	74	#A1984A
92	106	136	143	#6A888F
93	98	150	137	#629689
94	124	128	129	#7C8081
95	105	135	141	#69878D
96	104	134	140	#68868C
97	104	134	139	#68868B
98	104	133	140	#68858C
99	103	134	140	#67868C
100	104	134	138	#68868A
101	104	133	139	#68858B
102	104	132	140	#68848C
103	103	134	139	#67868B
104	103	133	140	#67858C
105	102	134	140	#66868C
106	125	132	118	#7D8476
107	104	134	137	#688689
108	104	133	138	#68858A
109	104	132	139	#68848B
110	103	134	138	#67868A
111	103	133	139	#67858B
112	103	132	140	#67848C
113	102	134	139	#66868B
114	205	154	15	#CD9A0F
115	104	132	138	#68848A
116	103	133	138	#67858A
117	103	131	140	#67838C
118	102	133	139	#66858B
119	102	132	140	#66848C
120	161	138	74	#A18A4A
121	104	131	138	#68838A
122	103	133	137	#678589
123	103	132	138	#67848A
124	103	131	139	#67838B
125	102	134	137	#668689
126	102	132	139	#66848B
127	102	131	140	#66838C
128	101	133	139	#65858B
129	100	134	139	#64868B
130	123	134	115	#7B8673
131	109	159	104	#6D9F68
132	103	132	137	#678489
133	103	131	138	#67838A
134	102	134	136	#668688
135	101	133	138	#65858A
136	100	133	139	#64858B
137	103	132	136	#678488
138	101	132	138	#65848A
139	100	134	137	#648689
140	101	130	139	#65828B
141	100	133	137	#648589
142	101	131	137	#658389
143	100	131	138	#64838A
144	80	140	149	#508C95
145	111	126	131	#6F7E83
146	93	143	132	#5D8F84
147	206	153	0	#CE9900
148	104	125	130	#687D82
149	104	125	129	#687D81
150	104	124	130	#687C82
151	103	125	130	#677D82
152	119	119	119	#777777
153	104	123	130	#687B82
154	103	125	129	#677D81
155	103	124	130	#677C82
156	104	124	128	#687C80
157	104	123	129	#687B81
158	103	124	129	#677C81
159	144	137	74	#90894A
160	103	124	128	#677C80
161	118	118	118	#767676
162	96	124	130	#607C82
163	206	142	0	#CE8E00
164	95	123	129	#5F7B81
165	144	125	74	#907D4A
166	255	70	15	#FF460F
167	93	121	126	#5D797E
168	170	168	0	#AAA800
169	74	128	136	#4A8088
170	92	120	125	#5C787D
171	91	119	124	#5B777C
172	72	126	134	#487E86
173	97	141	93	#618D5D
174	69	124	132	#457C84
175	222	101	0	#DE6500
176	222	100	0	#DE6400
