member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
4	text	entry.visual	0	20	STXT	text/00004_entry.visual_stxt_0.txt
4	text	entry.visual	0	20	STXT	raw_chunks/00004_entry.visual_20_STXT.bin
6	bitmap	corner_element	0			bitmaps/00006_corner_element.png
6	bitmap	corner_element	0	22	BITD	raw_chunks/00006_corner_element_22_BITD.bin
7	bitmap	corner_element_shadow	0			bitmaps/00007_corner_element_shadow.png
7	bitmap	corner_element_shadow	0	24	BITD	raw_chunks/00007_corner_element_shadow_24_BITD.bin
8	bitmap	entry_pixel	0			bitmaps/00008_entry_pixel.png
8	bitmap	entry_pixel	0	26	BITD	raw_chunks/00008_entry_pixel_26_BITD.bin
9	bitmap	kk_elisaLogo	0			bitmaps/00009_kk_elisaLogo.png
9	bitmap	kk_elisaLogo	0	28	BITD	raw_chunks/00009_kk_elisaLogo_28_BITD.bin
10	bitmap	kk_front	0			bitmaps/00010_kk_front.png
10	bitmap	kk_front	0	30	BITD	raw_chunks/00010_kk_front_30_BITD.bin
