member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
275	bitmap	light1	0			bitmaps/00275_light1.png
275	bitmap	light1	0	532	BITD	raw_chunks/00275_light1_532_BITD.bin
413	bitmap	Habbo PL tower	0			bitmaps/00413_Habbo_PL_tower.png
413	bitmap	Habbo PL tower	0	521	BITD	raw_chunks/00413_Habbo_PL_tower_521_BITD.bin
418	bitmap	pl_waterpool	0			bitmaps/00418_pl_waterpool.png
418	bitmap	pl_waterpool	0	586	BITD	raw_chunks/00418_pl_waterpool_586_BITD.bin
419	bitmap	Habbo PL garden	0			bitmaps/00419_Habbo_PL_garden.png
419	bitmap	Habbo PL garden	0	519	BITD	raw_chunks/00419_Habbo_PL_garden_519_BITD.bin
424	bitmap	crt1	0			bitmaps/00424_crt1.png
424	bitmap	crt1	0	538	BITD	raw_chunks/00424_crt1_538_BITD.bin
431	bitmap	cloud_0_left	0			bitmaps/00431_cloud_0_left.png
431	bitmap	cloud_0_left	0	554	BITD	raw_chunks/00431_cloud_0_left_554_BITD.bin
439	bitmap	cloud_1_left	0			bitmaps/00439_cloud_1_left.png
439	bitmap	cloud_1_left	0	558	BITD	raw_chunks/00439_cloud_1_left_558_BITD.bin
450	bitmap	tunnelmask	0			bitmaps/00450_tunnelmask.png
450	bitmap	tunnelmask	0	523	BITD	raw_chunks/00450_tunnelmask_523_BITD.bin
455	bitmap	car1	0			bitmaps/00455_car1.png
455	bitmap	car1	0	534	BITD	raw_chunks/00455_car1_534_BITD.bin
456	bitmap	car2	0			bitmaps/00456_car2.png
456	bitmap	car2	0	536	BITD	raw_chunks/00456_car2_536_BITD.bin
470	bitmap	flag4	0			bitmaps/00470_flag4.png
470	bitmap	flag4	0	552	BITD	raw_chunks/00470_flag4_552_BITD.bin
471	bitmap	flag3	0			bitmaps/00471_flag3.png
471	bitmap	flag3	0	550	BITD	raw_chunks/00471_flag3_550_BITD.bin
472	bitmap	flag2	0			bitmaps/00472_flag2.png
472	bitmap	flag2	0	548	BITD	raw_chunks/00472_flag2_548_BITD.bin
473	bitmap	flag1	0			bitmaps/00473_flag1.png
473	bitmap	flag1	0	546	BITD	raw_chunks/00473_flag1_546_BITD.bin
474	bitmap	crt4	0			bitmaps/00474_crt4.png
474	bitmap	crt4	0	544	BITD	raw_chunks/00474_crt4_544_BITD.bin
476	bitmap	crt2	0			bitmaps/00476_crt2.png
476	bitmap	crt2	0	540	BITD	raw_chunks/00476_crt2_540_BITD.bin
482	bitmap	crt3	0			bitmaps/00482_crt3.png
482	bitmap	crt3	0	542	BITD	raw_chunks/00482_crt3_542_BITD.bin
484	bitmap	corner_element_shadow	0			bitmaps/00484_corner_element_shadow.png
484	bitmap	corner_element_shadow	0	530	BITD	raw_chunks/00484_corner_element_shadow_530_BITD.bin
485	bitmap	cloud_3_right	0			bitmaps/00485_cloud_3_right.png
485	bitmap	cloud_3_right	0	568	BITD	raw_chunks/00485_cloud_3_right_568_BITD.bin
487	bitmap	cloud_3_left	0			bitmaps/00487_cloud_3_left.png
487	bitmap	cloud_3_left	0	566	BITD	raw_chunks/00487_cloud_3_left_566_BITD.bin
488	bitmap	cloud_2_left	0			bitmaps/00488_cloud_2_left.png
488	bitmap	cloud_2_left	0	562	BITD	raw_chunks/00488_cloud_2_left_562_BITD.bin
489	bitmap	cloud_1_right	0			bitmaps/00489_cloud_1_right.png
489	bitmap	cloud_1_right	0	560	BITD	raw_chunks/00489_cloud_1_right_560_BITD.bin
496	bitmap	cloud_0_right	0			bitmaps/00496_cloud_0_right.png
496	bitmap	cloud_0_right	0	556	BITD	raw_chunks/00496_cloud_0_right_556_BITD.bin
498	text	entry.visual	0	513	STXT	text/00498_entry.visual_stxt_0.txt
498	text	entry.visual	0	513	STXT	raw_chunks/00498_entry.visual_513_STXT.bin
500	bitmap	corner_element	0			bitmaps/00500_corner_element.png
500	bitmap	corner_element	0	528	BITD	raw_chunks/00500_corner_element_528_BITD.bin
501	bitmap	cloud_2_right	0			bitmaps/00501_cloud_2_right.png
501	bitmap	cloud_2_right	0	564	BITD	raw_chunks/00501_cloud_2_right_564_BITD.bin
