index	r	g	b	hex
0	255	255	255	#FFFFFF
1	81	104	145	#516891
2	121	144	187	#7990BB
3	8	130	191	#0882BF
4	51	153	204	#3399CC
5	192	221	236	#C0DDEC
6	111	174	202	#6FAECA
7	132	204	232	#84CCE8
8	60	89	95	#3C595F
9	58	80	85	#3A5055
10	104	134	140	#68868C
11	147	181	188	#93B5BC
12	90	142	151	#5A8E97
13	108	163	173	#6CA3AD
14	125	182	193	#7DB6C1
15	102	135	141	#66878D
16	91	119	124	#5B777C
17	123	157	163	#7B9DA3
18	142	179	186	#8EB3BA
19	122	153	159	#7A999F
20	183	221	228	#B7DDE4
21	165	198	204	#A5C6CC
22	77	103	107	#4D676B
23	54	77	79	#364D4F
24	88	115	116	#587374
25	51	102	102	#336666
26	102	153	153	#669999
27	153	204	204	#99CCCC
28	0	136	0	#008800
29	0	119	0	#007700
30	0	85	0	#005500
31	90	92	89	#5A5C59
32	51	102	0	#336600
33	43	87	0	#2B5700
34	26	27	25	#1A1B19
35	106	108	104	#6A6C68
36	41	73	0	#294900
37	102	148	41	#669429
38	60	96	8	#3C6008
39	93	136	33	#5D8821
40	129	178	62	#81B23E
41	130	174	71	#82AE47
42	169	218	102	#A9DA66
43	215	218	211	#D7DAD3
44	82	84	79	#52544F
45	114	116	111	#72746F
46	168	171	163	#A8ABA3
47	71	107	0	#476B00
48	102	153	0	#669900
49	87	130	0	#578200
50	198	201	192	#C6C9C0
51	134	136	130	#868882
52	142	144	138	#8E908A
53	167	169	162	#A7A9A2
54	52	53	49	#343531
55	70	71	67	#464743
56	5	5	2	#050502
57	255	238	41	#FFEE29
58	139	123	0	#8B7B00
59	118	105	0	#766900
60	195	176	51	#C3B033
61	166	150	43	#A6962B
62	9	8	3	#090803
63	10	9	4	#0A0904
64	255	204	0	#FFCC00
65	255	204	51	#FFCC33
66	138	117	52	#8A7534
67	167	144	74	#A7904A
68	142	123	63	#8E7B3F
69	54	40	0	#362800
70	88	70	17	#584611
71	126	105	43	#7E692B
72	107	89	37	#6B5925
73	255	192	58	#FFC03A
74	151	132	90	#97845A
75	177	155	106	#B19B6A
76	211	188	135	#D3BC87
77	246	221	165	#F6DDA5
78	153	102	0	#996600
79	217	157	33	#D99D21
80	255	185	39	#FFB927
81	255	153	0	#FF9900
82	217	130	0	#D98200
83	218	124	0	#DA7C00
84	186	106	0	#BA6A00
85	184	100	0	#B86400
86	157	85	0	#9D5500
87	182	96	0	#B66000
88	218	127	29	#DA7F1D
89	255	157	51	#FF9D33
90	204	102	0	#CC6600
91	102	51	0	#663300
92	186	108	25	#BA6C19
93	147	66	0	#934200
94	125	56	0	#7D3800
95	119	52	0	#773400
96	177	88	23	#B15817
97	206	98	26	#CE621A
98	151	75	20	#974B14
99	153	51	0	#993300
100	130	43	0	#822B00
101	77	23	0	#4D1700
102	121	29	0	#791D00
103	230	55	4	#E63704
104	255	70	15	#FF460F
105	153	30	0	#991E00
106	130	26	0	#821A00
107	109	21	0	#6D1500
108	144	24	0	#901800
109	167	41	17	#A72911
110	134	16	0	#861000
111	114	14	0	#720E00
112	202	20	0	#CA1400
113	121	21	13	#79150D
114	103	18	11	#67120B
115	121	0	0	#790000
116	103	0	0	#670000
117	102	0	0	#660000
118	92	0	0	#5C0000
119	87	0	0	#570000
120	89	0	1	#590001
121	248	248	248	#F8F8F8
122	217	217	217	#D9D9D9
123	213	213	213	#D5D5D5
124	211	211	211	#D3D3D3
125	181	181	181	#B5B5B5
126	180	180	180	#B4B4B4
127	153	153	153	#999999
128	149	149	149	#959595
129	127	127	127	#7F7F7F
130	0	0	0	#000000
131	0	0	0	#000000
132	0	0	0	#000000
133	0	0	0	#000000
134	0	0	0	#000000
135	0	0	0	#000000
136	0	0	0	#000000
137	0	0	0	#000000
138	0	0	0	#000000
139	0	0	0	#000000
