index	r	g	b	hex
0	255	255	255	#FFFFFF
1	255	255	255	#FFFFFF
2	85	67	85	#554355
3	187	149	187	#BB95BB
4	170	135	170	#AA87AA
5	136	108	136	#886C88
6	34	27	34	#221B22
7	46	96	163	#2E60A3
8	47	94	145	#2F5E91
9	94	145	200	#5E91C8
10	0	51	102	#003366
11	51	102	153	#336699
12	52	103	154	#34679A
13	102	153	204	#6699CC
14	103	154	205	#679ACD
15	153	204	255	#99CCFF
16	56	113	164	#3871A4
17	113	164	209	#71A4D1
18	60	120	171	#3C78AB
19	62	123	174	#3E7BAE
20	120	171	213	#78ABD5
21	123	174	215	#7BAED7
22	96	163	208	#60A3D0
23	0	102	153	#006699
24	26	94	129	#1A5E81
25	33	108	141	#216C8D
26	72	155	194	#489BC2
27	111	174	202	#6FAECA
28	85	167	201	#55A7C9
29	73	129	151	#498197
30	50	88	103	#325867
31	80	131	152	#508398
32	96	152	174	#6098AE
33	72	112	129	#487081
34	79	122	139	#4F7A8B
35	77	115	130	#4D7382
36	91	133	150	#5B8596
37	103	146	163	#6792A3
38	39	123	155	#277B9B
39	99	178	207	#63B2CF
40	68	119	138	#44778A
41	132	204	232	#84CCE8
42	80	124	141	#507C8D
43	66	97	109	#42616D
44	112	161	180	#70A1B4
45	72	130	150	#488296
46	87	135	151	#578797
47	54	84	94	#36545E
48	93	144	160	#5D90A0
49	95	147	163	#5F93A3
50	53	154	182	#359AB6
51	126	201	221	#7EC9DD
52	58	80	85	#3A5055
53	104	134	140	#68868C
54	125	157	164	#7D9DA4
55	91	119	124	#5B777C
56	52	102	109	#34666D
57	105	163	172	#69A3AC
58	91	136	143	#5B888F
59	62	121	125	#3E797D
60	72	137	140	#48898C
61	0	186	187	#00BABB
62	0	169	170	#00A9AA
63	0	135	136	#008788
64	0	85	85	#005555
65	0	34	34	#002222
66	51	102	102	#336666
67	102	153	153	#669999
68	67	85	85	#435555
69	149	187	187	#95BBBB
70	135	170	170	#87AAAA
71	108	136	136	#6C8888
72	27	34	34	#1B2222
73	204	255	255	#CCFFFF
74	93	171	170	#5DABAA
75	0	255	203	#00FFCB
76	0	102	51	#006633
77	0	82	41	#005229
78	51	153	102	#339966
79	102	204	153	#66CC99
80	82	163	122	#52A37A
81	51	102	0	#336600
82	36	70	2	#244602
83	36	71	0	#244700
84	215	218	211	#D7DAD3
85	102	153	0	#669900
86	82	122	0	#527A00
87	4	6	0	#040600
88	134	136	130	#868882
89	187	187	0	#BBBB00
90	170	170	0	#AAAA00
91	136	136	0	#888800
92	85	85	0	#555500
93	34	34	0	#222200
94	255	204	0	#FFCC00
95	204	153	0	#CC9900
96	164	123	0	#A47B00
97	132	99	0	#846300
98	147	110	0	#936E00
99	153	102	0	#996600
100	173	122	20	#AD7A14
101	194	143	41	#C28F29
102	204	153	51	#CC9933
103	136	106	48	#886A30
104	255	204	102	#FFCC66
105	92	67	23	#5C4317
106	123	89	31	#7B591F
107	255	153	0	#FF9900
108	187	128	38	#BB8026
109	221	122	3	#DD7A03
110	204	102	0	#CC6600
111	195	99	0	#C36300
112	102	51	0	#663300
113	92	46	0	#5C2E00
114	83	41	0	#532900
115	75	37	0	#4B2500
116	67	33	0	#432100
117	66	35	4	#422304
118	255	153	51	#FF9933
119	153	102	51	#996633
120	119	62	8	#773E08
121	84	56	33	#543821
122	169	61	0	#A93D00
123	204	0	0	#CC0000
124	153	0	0	#990000
125	255	51	51	#FF3333
126	255	102	102	#FF6666
127	204	204	204	#CCCCCC
128	187	187	187	#BBBBBB
129	153	153	153	#999999
130	136	136	136	#888888
131	102	102	102	#666666
132	85	85	85	#555555
133	51	51	51	#333333
134	34	34	34	#222222
135	17	17	17	#111111
136	0	0	0	#000000
137	0	0	0	#000000
138	0	0	0	#000000
139	0	0	0	#000000
140	0	0	0	#000000
141	0	0	0	#000000
142	0	0	0	#000000
143	0	0	0	#000000
144	0	0	0	#000000
145	0	0	0	#000000
146	0	0	0	#000000
147	0	0	0	#000000
148	0	0	0	#000000
149	0	0	0	#000000
150	0	0	0	#000000
151	0	0	0	#000000
152	0	0	0	#000000
153	0	0	0	#000000
154	0	0	0	#000000
155	0	0	0	#000000
156	0	0	0	#000000
157	0	0	0	#000000
158	0	0	0	#000000
159	0	0	0	#000000
160	0	0	0	#000000
161	0	0	0	#000000
162	0	0	0	#000000
163	0	0	0	#000000
164	0	0	0	#000000
165	0	0	0	#000000
166	0	0	0	#000000
167	0	0	0	#000000
168	0	0	0	#000000
169	0	0	0	#000000
170	0	0	0	#000000
171	0	0	0	#000000
172	0	0	0	#000000
173	0	0	0	#000000
174	0	0	0	#000000
175	0	0	0	#000000
176	0	0	0	#000000
177	0	0	0	#000000
178	0	0	0	#000000
179	0	0	0	#000000
180	0	0	0	#000000
181	0	0	0	#000000
182	0	0	0	#000000
183	0	0	0	#000000
184	0	0	0	#000000
185	0	0	0	#000000
186	0	0	0	#000000
187	0	0	0	#000000
188	0	0	0	#000000
189	0	0	0	#000000
190	0	0	0	#000000
191	0	0	0	#000000
192	0	0	0	#000000
193	0	0	0	#000000
194	0	0	0	#000000
195	0	0	0	#000000
196	0	0	0	#000000
197	0	0	0	#000000
198	0	0	0	#000000
199	0	0	0	#000000
200	0	0	0	#000000
201	0	0	0	#000000
202	0	0	0	#000000
203	0	0	0	#000000
204	0	0	0	#000000
205	0	0	0	#000000
206	0	0	0	#000000
207	0	0	0	#000000
208	0	0	0	#000000
209	0	0	0	#000000
210	0	0	0	#000000
211	0	0	0	#000000
212	0	0	0	#000000
213	0	0	0	#000000
214	0	0	0	#000000
215	0	0	0	#000000
216	0	0	0	#000000
217	0	0	0	#000000
218	0	0	0	#000000
219	0	0	0	#000000
220	0	0	0	#000000
221	0	0	0	#000000
222	0	0	0	#000000
223	0	0	0	#000000
224	0	0	0	#000000
225	0	0	0	#000000
226	0	0	0	#000000
227	0	0	0	#000000
228	0	0	0	#000000
229	0	0	0	#000000
230	0	0	0	#000000
231	0	0	0	#000000
232	0	0	0	#000000
233	0	0	0	#000000
234	0	0	0	#000000
235	0	0	0	#000000
236	0	0	0	#000000
237	0	0	0	#000000
238	0	0	0	#000000
239	0	0	0	#000000
240	0	0	0	#000000
