member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
15	bitmap	car1	0			bitmaps/00015_car1.png
15	bitmap	car1	0	120	BITD	raw_chunks/00015_car1_120_BITD.bin
16	bitmap	car2	0			bitmaps/00016_car2.png
16	bitmap	car2	0	122	BITD	raw_chunks/00016_car2_122_BITD.bin
17	bitmap	car_b1	0			bitmaps/00017_car_b1.png
17	bitmap	car_b1	0	124	BITD	raw_chunks/00017_car_b1_124_BITD.bin
18	bitmap	car_b2	0			bitmaps/00018_car_b2.png
18	bitmap	car_b2	0	126	BITD	raw_chunks/00018_car_b2_126_BITD.bin
19	bitmap	car_c1	0			bitmaps/00019_car_c1.png
19	bitmap	car_c1	0	128	BITD	raw_chunks/00019_car_c1_128_BITD.bin
23	bitmap	cloud_1_left	0			bitmaps/00023_cloud_1_left.png
23	bitmap	cloud_1_left	0	136	BITD	raw_chunks/00023_cloud_1_left_136_BITD.bin
24	bitmap	cloud_1_right	0			bitmaps/00024_cloud_1_right.png
24	bitmap	cloud_1_right	0	138	BITD	raw_chunks/00024_cloud_1_right_138_BITD.bin
25	bitmap	cloud_2_left	0			bitmaps/00025_cloud_2_left.png
25	bitmap	cloud_2_left	0	140	BITD	raw_chunks/00025_cloud_2_left_140_BITD.bin
26	bitmap	cloud_2_right	0			bitmaps/00026_cloud_2_right.png
26	bitmap	cloud_2_right	0	142	BITD	raw_chunks/00026_cloud_2_right_142_BITD.bin
27	bitmap	cloud_3_left	0			bitmaps/00027_cloud_3_left.png
27	bitmap	cloud_3_left	0	144	BITD	raw_chunks/00027_cloud_3_left_144_BITD.bin
28	bitmap	cloud_3_right	0			bitmaps/00028_cloud_3_right.png
28	bitmap	cloud_3_right	0	146	BITD	raw_chunks/00028_cloud_3_right_146_BITD.bin
29	bitmap	light1	0			bitmaps/00029_light1.png
29	bitmap	light1	0	148	BITD	raw_chunks/00029_light1_148_BITD.bin
38	bitmap	habbo ES fountain1	0			bitmaps/00038_habbo_ES_fountain1.png
38	bitmap	habbo ES fountain1	0	163	BITD	raw_chunks/00038_habbo_ES_fountain1_163_BITD.bin
39	bitmap	habbo ES fountain2	0			bitmaps/00039_habbo_ES_fountain2.png
39	bitmap	habbo ES fountain2	0	165	BITD	raw_chunks/00039_habbo_ES_fountain2_165_BITD.bin
40	bitmap	habbo ES fountain3	0			bitmaps/00040_habbo_ES_fountain3.png
40	bitmap	habbo ES fountain3	0	167	BITD	raw_chunks/00040_habbo_ES_fountain3_167_BITD.bin
41	bitmap	habbo ES fountain4	0			bitmaps/00041_habbo_ES_fountain4.png
41	bitmap	habbo ES fountain4	0	169	BITD	raw_chunks/00041_habbo_ES_fountain4_169_BITD.bin
42	bitmap	habbo ES fountain5	0			bitmaps/00042_habbo_ES_fountain5.png
42	bitmap	habbo ES fountain5	0	171	BITD	raw_chunks/00042_habbo_ES_fountain5_171_BITD.bin
43	bitmap	habbo ES fountain6	0			bitmaps/00043_habbo_ES_fountain6.png
43	bitmap	habbo ES fountain6	0	173	BITD	raw_chunks/00043_habbo_ES_fountain6_173_BITD.bin
55	text	entry.visual	0	110	STXT	text/00055_entry.visual_stxt_0.txt
55	text	entry.visual	0	110	STXT	raw_chunks/00055_entry.visual_110_STXT.bin
63	bitmap	hotel	0			bitmaps/00063_hotel.png
63	bitmap	hotel	0	157	BITD	raw_chunks/00063_hotel_157_BITD.bin
74	bitmap	corner_element_shadow	0			bitmaps/00074_corner_element_shadow.png
74	bitmap	corner_element_shadow	0	118	BITD	raw_chunks/00074_corner_element_shadow_118_BITD.bin
75	bitmap	corner_element	0			bitmaps/00075_corner_element.png
75	bitmap	corner_element	0	116	BITD	raw_chunks/00075_corner_element_116_BITD.bin
76	bitmap	cloud_0_right	0			bitmaps/00076_cloud_0_right.png
76	bitmap	cloud_0_right	0	134	BITD	raw_chunks/00076_cloud_0_right_134_BITD.bin
77	bitmap	cloud_0_left	0			bitmaps/00077_cloud_0_left.png
77	bitmap	cloud_0_left	0	132	BITD	raw_chunks/00077_cloud_0_left_132_BITD.bin
78	bitmap	car_c2	0			bitmaps/00078_car_c2.png
78	bitmap	car_c2	0	130	BITD	raw_chunks/00078_car_c2_130_BITD.bin
92	bitmap	foreground	0			bitmaps/00092_foreground.png
92	bitmap	foreground	0	159	BITD	raw_chunks/00092_foreground_159_BITD.bin
98	bitmap	backround	0			bitmaps/00098_backround.png
98	bitmap	backround	0	155	BITD	raw_chunks/00098_backround_155_BITD.bin
