index	r	g	b	hex
0	255	255	255	#FFFFFF
1	252	252	252	#FCFCFC
2	153	227	246	#99E3F6
3	127	220	244	#7FDCF4
4	201	113	159	#C9719F
5	255	92	214	#FF5CD6
6	149	0	118	#950076
7	192	0	156	#C0009C
8	33	23	37	#211725
9	34	24	38	#221826
10	84	64	95	#54405F
11	144	111	161	#906FA1
12	54	41	62	#36293E
13	168	166	171	#A8A6AB
14	212	205	227	#D4CDE3
15	182	178	190	#B6B2BE
16	235	231	243	#EBE7F3
17	59	58	61	#3B3A3D
18	189	186	197	#BDBAC5
19	118	117	122	#76757A
20	16	14	25	#100E19
21	83	73	128	#534980
22	44	39	68	#2C2744
23	100	100	102	#646466
24	82	82	83	#525253
25	56	65	75	#38414B
26	171	200	229	#ABC8E5
27	165	193	221	#A5C1DD
28	124	146	167	#7C92A7
29	111	213	255	#6FD5FF
30	113	214	255	#71D6FF
31	0	157	213	#009DD5
32	51	170	215	#33AAD7
33	0	93	117	#005D75
34	140	227	248	#8CE3F8
35	139	226	247	#8BE2F7
36	116	189	206	#74BDCE
37	133	205	222	#85CDDE
38	133	196	212	#85C4D4
39	132	196	211	#84C4D3
40	155	224	241	#9BE0F1
41	147	210	225	#93D2E1
42	165	232	249	#A5E8F9
43	166	233	249	#A6E9F9
44	166	227	242	#A6E3F2
45	0	112	137	#007089
46	36	112	129	#247081
47	115	189	206	#73BDCE
48	116	190	207	#74BECF
49	140	227	247	#8CE3F7
50	118	169	170	#76A9AA
51	122	143	141	#7A8F8D
52	82	97	95	#52615F
53	171	200	196	#ABC8C4
54	156	188	183	#9CBCB7
55	104	125	122	#687D7A
56	206	240	235	#CEF0EB
57	205	239	234	#CDEFEA
58	225	250	246	#E1FAF6
59	196	236	229	#C4ECE5
60	132	159	154	#849F9A
61	33	59	53	#213B35
62	60	73	70	#3C4946
63	112	125	120	#707D78
64	91	103	98	#5B6762
65	96	108	103	#606C67
66	107	116	112	#6B7470
67	73	84	79	#49544F
68	94	107	101	#5E6B65
69	78	89	84	#4E5954
70	91	102	97	#5B6661
71	113	126	120	#717E78
72	96	107	102	#606B66
73	73	83	78	#49534E
74	91	101	96	#5B6560
75	86	94	90	#565E5A
76	88	97	92	#58615C
77	107	116	111	#6B746F
78	69	76	72	#454C48
79	117	253	44	#75FD2C
80	80	173	30	#50AD1E
81	218	252	0	#DAFC00
82	218	251	0	#DAFB00
83	171	197	0	#ABC500
84	50	51	16	#323310
85	185	186	60	#B9BA3C
86	148	149	48	#949530
87	98	99	32	#626320
88	78	78	23	#4E4E17
89	118	117	40	#767528
90	166	164	59	#A6A43B
91	199	196	72	#C7C448
92	255	252	115	#FFFC73
93	255	252	116	#FFFC74
94	122	120	65	#7A7841
95	255	212	118	#FFD476
96	255	169	0	#FFA900
97	255	253	249	#FFFDF9
98	255	167	0	#FFA700
99	147	109	46	#936D2E
100	50	31	4	#321F04
101	50	32	4	#322004
102	146	116	71	#927447
103	156	124	77	#9C7C4D
104	146	117	72	#927548
105	72	45	7	#482D07
106	73	45	8	#492D08
107	85	60	27	#553C1B
108	156	123	77	#9C7B4D
109	157	124	78	#9D7C4E
110	112	91	64	#705B40
111	112	92	64	#705C40
112	218	122	0	#DA7A00
113	76	52	23	#4C3417
114	86	60	27	#563C1B
115	86	60	28	#563C1C
116	105	76	42	#694C2A
117	106	77	43	#6A4D2B
118	59	36	10	#3B240A
119	55	34	10	#37220A
120	76	51	23	#4C3317
121	75	51	23	#4B3317
122	76	52	24	#4C3418
123	95	66	34	#5F4222
124	171	120	63	#AB783F
125	172	121	64	#AC7940
126	108	77	43	#6C4D2B
127	108	77	44	#6C4D2C
128	108	78	44	#6C4E2C
129	185	154	119	#B99A77
130	184	153	119	#B89977
131	185	154	120	#B99A78
132	255	213	167	#FFD5A7
133	255	213	168	#FFD5A8
134	203	174	141	#CBAE8D
135	202	173	140	#CAAD8C
136	220	193	162	#DCC1A2
137	96	49	2	#603102
138	200	114	28	#C8721C
139	135	77	19	#874D13
140	59	35	10	#3B230A
141	69	43	16	#452B10
142	70	44	17	#462C11
143	113	73	31	#71491F
144	114	74	32	#724A20
145	255	167	78	#FFA74E
146	232	152	72	#E89848
147	187	122	58	#BB7A3A
148	144	97	49	#906131
149	143	97	49	#8F6131
150	144	98	50	#906232
151	182	125	66	#B67D42
152	213	182	151	#D5B697
153	212	184	155	#D4B89B
154	236	210	183	#ECD2B7
155	219	209	199	#DBD1C7
156	208	156	108	#D09C6C
157	213	184	156	#D5B89C
158	197	174	152	#C5AE98
159	237	210	184	#EDD2B8
160	236	209	183	#ECD1B7
161	38	17	0	#261100
162	213	87	0	#D55700
163	208	85	0	#D05500
164	207	84	0	#CF5400
165	165	66	0	#A54200
166	166	66	0	#A64200
167	165	65	0	#A54100
168	140	55	0	#8C3700
169	139	54	0	#8B3600
170	127	50	0	#7F3200
171	127	49	0	#7F3100
172	217	121	61	#D9793D
173	218	122	63	#DA7A3F
174	217	121	62	#D9793E
175	217	122	62	#D97A3E
176	255	169	117	#FFA975
177	85	30	0	#551E00
178	255	169	118	#FFA976
179	86	30	0	#561E00
180	85	29	0	#551D00
181	131	72	43	#83482B
182	205	116	72	#CD7448
183	107	57	34	#6B3922
184	131	71	43	#83472B
185	153	84	51	#995433
186	132	72	44	#84482C
187	131	72	44	#83482C
188	184	102	63	#B8663F
189	172	95	59	#AC5F3B
190	183	102	63	#B7663F
191	171	95	59	#AB5F3B
192	184	103	64	#B86740
193	172	95	60	#AC5F3C
194	172	96	60	#AC603C
195	206	116	73	#CE7449
196	108	57	35	#6C3923
197	255	31	0	#FF1F00
198	30	4	0	#1E0400
199	23	4	1	#170401
200	226	40	14	#E2280E
201	163	30	11	#A31E0B
202	173	17	0	#AD1100
203	124	9	0	#7C0900
204	255	74	61	#FF4A3D
205	172	68	63	#AC443F
206	171	68	63	#AB443F
207	172	69	64	#AC4540
208	255	124	119	#FF7C77
209	123	67	65	#7B4341
210	7	0	0	#070000
211	3	0	0	#030000
212	23	22	22	#171616
213	127	125	125	#7F7D7D
214	254	254	254	#FEFEFE
215	242	242	242	#F2F2F2
216	241	241	241	#F1F1F1
217	233	233	233	#E9E9E9
218	220	220	220	#DCDCDC
219	219	219	219	#DBDBDB
220	214	214	214	#D6D6D6
221	210	210	210	#D2D2D2
222	208	208	208	#D0D0D0
223	207	207	207	#CFCFCF
224	201	201	201	#C9C9C9
225	199	199	199	#C7C7C7
226	188	188	188	#BCBCBC
227	187	187	187	#BBBBBB
228	166	166	166	#A6A6A6
229	165	165	165	#A5A5A5
230	162	162	162	#A2A2A2
231	161	161	161	#A1A1A1
232	153	153	153	#999999
233	149	149	149	#959595
234	140	140	140	#8C8C8C
235	139	139	139	#8B8B8B
236	134	134	134	#868686
237	133	133	133	#858585
238	132	132	132	#848484
239	131	131	131	#838383
240	122	122	122	#7A7A7A
241	121	121	121	#797979
242	112	112	112	#707070
243	107	107	107	#6B6B6B
244	102	102	102	#666666
245	101	101	101	#656565
246	97	97	97	#616161
247	87	87	87	#575757
248	84	84	84	#545454
249	66	66	66	#424242
250	65	65	65	#414141
251	58	58	58	#3A3A3A
252	50	50	50	#323232
253	49	49	49	#313131
254	21	21	21	#151515
255	0	0	0	#000000
