index	r	g	b	hex
0	255	255	255	#FFFFFF
1	17	17	17	#111111
2	125	0	2	#7D0002
3	108	0	1	#6C0001
4	199	149	150	#C79596
5	194	0	17	#C20011
6	165	114	120	#A57278
7	172	0	27	#AC001B
8	208	114	128	#D07280
9	218	149	160	#DA95A0
10	203	0	42	#CB002A
11	231	149	166	#E795A6
12	172	0	55	#AC0037
13	197	114	147	#C57293
14	180	101	136	#B46588
15	74	60	72	#4A3C48
16	44	36	43	#2C242B
17	57	56	109	#39386D
18	234	234	237	#EAEAED
19	241	241	242	#F1F1F2
20	101	102	123	#65667B
21	167	168	180	#A7A8B4
22	211	212	218	#D3D4DA
23	122	129	163	#7A81A3
24	84	98	153	#546299
25	158	167	204	#9EA7CC
26	190	198	221	#BEC6DD
27	173	184	211	#ADB8D3
28	144	152	170	#9098AA
29	216	220	228	#D8DCE4
30	177	185	199	#B1B9C7
31	111	114	119	#6F7277
32	235	238	243	#EBEEF3
33	221	228	238	#DDE4EE
34	187	201	217	#BBC9D9
35	94	101	109	#5E656D
36	146	156	167	#929CA7
37	218	225	233	#DAE1E9
38	168	178	188	#A8B2BC
39	201	213	224	#C9D5E0
40	104	121	134	#687986
41	94	160	180	#5EA0B4
42	94	194	214	#5EC2D6
43	0	119	142	#00778E
44	0	187	210	#00BBD2
45	94	150	109	#5E966D
46	111	151	119	#6F9777
47	129	183	130	#81B782
48	0	99	0	#006300
49	1	74	0	#014A00
50	70	165	42	#46A52A
51	144	147	142	#90938E
52	173	198	151	#ADC697
53	115	175	38	#73AF26
54	87	133	29	#57851D
55	161	221	78	#A1DD4E
56	230	243	211	#E6F3D3
57	158	194	84	#9EC254
58	194	196	182	#C2C4B6
59	221	221	206	#DDDDCE
60	161	161	153	#A1A199
61	211	204	145	#D3CC91
62	212	209	192	#D4D1C0
63	236	208	73	#ECD049
64	255	231	117	#FFE775
65	202	190	146	#CABE92
66	255	242	195	#FFF2C3
67	101	93	67	#655D43
68	195	175	131	#C3AF83
69	204	149	44	#CC952C
70	238	202	138	#EECA8A
71	238	191	119	#EEBF77
72	204	102	0	#CC6600
73	102	51	0	#663300
74	213	165	119	#D5A577
75	162	140	119	#A28C77
76	132	82	50	#845232
77	201	145	109	#C9916D
78	200	105	61	#C8693D
79	255	153	105	#FF9969
80	160	142	134	#A08E86
81	194	173	163	#C2ADA3
82	238	191	172	#EEBFAC
83	193	153	139	#C1998B
84	221	177	161	#DDB1A1
85	255	110	83	#FF6E53
86	251	192	182	#FBC0B6
87	255	106	82	#FF6A52
88	238	169	161	#EEA9A1
89	249	249	249	#F9F9F9
90	153	153	153	#999999
91	149	149	149	#959595
92	0	0	0	#000000
93	0	0	0	#000000
94	0	0	0	#000000
95	0	0	0	#000000
96	0	0	0	#000000
97	0	0	0	#000000
98	0	0	0	#000000
99	0	0	0	#000000
100	0	0	0	#000000
101	0	0	0	#000000
102	0	0	0	#000000
103	0	0	0	#000000
104	0	0	0	#000000
105	0	0	0	#000000
106	0	0	0	#000000
107	0	0	0	#000000
108	0	0	0	#000000
109	0	0	0	#000000
110	0	0	0	#000000
111	0	0	0	#000000
112	0	0	0	#000000
113	0	0	0	#000000
114	0	0	0	#000000
115	0	0	0	#000000
116	0	0	0	#000000
117	0	0	0	#000000
118	0	0	0	#000000
119	0	0	0	#000000
120	0	0	0	#000000
121	0	0	0	#000000
122	0	0	0	#000000
123	0	0	0	#000000
124	0	0	0	#000000
125	0	0	0	#000000
126	0	0	0	#000000
127	0	0	0	#000000
128	0	0	0	#000000
129	0	0	0	#000000
130	0	0	0	#000000
131	0	0	0	#000000
132	0	0	0	#000000
133	0	0	0	#000000
134	0	0	0	#000000
135	0	0	0	#000000
136	0	0	0	#000000
