member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
4	bitmap	leftwall ktchn_knives_b_2	0			bitmaps/00004_leftwall_ktchn_knives_b_2.png
4	bitmap	leftwall ktchn_knives_b_2	0	70	BITD	raw_chunks/00004_leftwall_ktchn_knives_b_2_70_BITD.bin
6	bitmap	leftwall ktchn_knives_a_0	0	13	BITD	raw_chunks/00006_leftwall_ktchn_knives_a_0_13_BITD.bin
7	bitmap	leftwall ktchn_knives_b_0	0	68	BITD	raw_chunks/00007_leftwall_ktchn_knives_b_0_68_BITD.bin
12	bitmap	leftwall ktchn_knives_b_1	0			bitmaps/00012_leftwall_ktchn_knives_b_1.png
12	bitmap	leftwall ktchn_knives_b_1	0	29	BITD	raw_chunks/00012_leftwall_ktchn_knives_b_1_29_BITD.bin
18	bitmap		0	73	BITD	raw_chunks/00018_member_73_BITD.bin
19	text	ktchn_knives.props	0	41	STXT	text/00019_ktchn_knives.props_stxt_0.txt
19	text	ktchn_knives.props	0	41	STXT	raw_chunks/00019_ktchn_knives.props_41_STXT.bin
23	text	ktchn_knives.data	0	52	STXT	text/00023_ktchn_knives.data_stxt_0.txt
23	text	ktchn_knives.data	0	52	STXT	raw_chunks/00023_ktchn_knives.data_52_STXT.bin
25	text	asset.index	0	54	STXT	text/00025_asset.index_stxt_0.txt
25	text	asset.index	0	54	STXT	raw_chunks/00025_asset.index_54_STXT.bin
42	bitmap	leftwall ktchn_knives_b_0	0			bitmaps/00042_leftwall_ktchn_knives_b_0.png
42	bitmap	leftwall ktchn_knives_b_0	0	37	ALFA	raw_chunks/00042_leftwall_ktchn_knives_b_0_37_ALFA.bin
42	bitmap	leftwall ktchn_knives_b_0	0	60	BITD	raw_chunks/00042_leftwall_ktchn_knives_b_0_60_BITD.bin
43	text	memberalias.index	0	56	STXT	text/00043_memberalias.index_stxt_0.txt
43	text	memberalias.index	0	56	STXT	raw_chunks/00043_memberalias.index_56_STXT.bin
46	bitmap	leftwall ktchn_knives_a_0	0			bitmaps/00046_leftwall_ktchn_knives_a_0.png
46	bitmap	leftwall ktchn_knives_a_0	0	5	BITD	raw_chunks/00046_leftwall_ktchn_knives_a_0_5_BITD.bin
53	bitmap	leftwall ktchn_knives_b_3	0			bitmaps/00053_leftwall_ktchn_knives_b_3.png
53	bitmap	leftwall ktchn_knives_b_3	0	71	BITD	raw_chunks/00053_leftwall_ktchn_knives_b_3_71_BITD.bin
67	bitmap	ktchn_knives_small	0			bitmaps/00067_ktchn_knives_small.png
67	bitmap	ktchn_knives_small	0	63	BITD	raw_chunks/00067_ktchn_knives_small_63_BITD.bin
