index	r	g	b	hex
0	255	255	255	#FFFFFF
1	38	38	38	#262626
2	158	167	204	#9EA7CC
3	221	228	238	#DDE4EE
4	187	201	217	#BBC9D9
5	224	231	238	#E0E7EE
6	190	204	217	#BECCD9
7	104	121	134	#687986
8	225	234	238	#E1EAEE
9	224	234	238	#E0EAEE
10	110	130	134	#6E8286
11	112	132	134	#708486
12	84	85	85	#545555
13	116	136	134	#748886
14	116	137	134	#748986
15	116	138	134	#748A86
16	0	3	0	#000300
17	126	163	118	#7EA376
18	144	187	118	#90BB76
19	148	192	118	#94C076
20	152	198	118	#98C676
21	151	197	118	#97C576
22	151	196	118	#97C476
23	150	195	118	#96C376
24	149	194	118	#95C276
25	149	193	118	#95C176
26	152	197	118	#98C576
27	87	98	78	#57624E
28	3	6	0	#030600
29	186	224	125	#BAE07D
30	203	241	142	#CBF18E
31	210	255	125	#D2FF7D
32	211	255	125	#D3FF7D
33	208	254	125	#D0FE7D
34	202	245	125	#CAF57D
35	235	248	210	#EBF8D2
36	6	9	0	#060900
37	4	6	0	#040600
38	2	3	0	#020300
39	212	255	125	#D4FF7D
40	219	255	142	#DBFF8E
41	12	17	0	#0C1100
42	7	10	0	#070A00
43	22	30	0	#161E00
44	19	26	0	#131A00
45	16	22	0	#101600
46	13	18	0	#0D1200
47	11	15	0	#0B0F00
48	10	14	0	#0A0E00
49	8	11	0	#080B00
50	27	36	0	#1B2400
51	26	35	0	#1A2300
52	25	34	0	#192200
53	25	33	0	#192100
54	24	32	0	#182000
55	23	31	0	#171F00
56	21	28	0	#151C00
57	20	27	0	#141B00
58	18	24	0	#121800
59	15	20	0	#0F1400
60	12	16	0	#0C1000
61	9	12	0	#090C00
62	6	8	0	#060800
63	3	4	0	#030400
64	225	255	142	#E1FF8E
65	226	255	142	#E2FF8E
66	227	255	142	#E3FF8E
67	26	34	0	#1A2200
68	23	30	0	#171E00
69	22	29	0	#161D00
70	21	27	0	#151B00
71	20	26	0	#141A00
72	19	25	0	#131900
73	17	22	0	#111600
74	16	21	0	#101500
75	14	18	0	#0E1200
76	10	13	0	#0A0D00
77	7	9	0	#070900
78	228	255	142	#E4FF8E
79	229	255	142	#E5FF8E
80	19	24	0	#131800
81	18	23	0	#121700
82	15	19	0	#0F1300
83	12	15	0	#0C0F00
84	8	10	0	#080A00
85	9	11	0	#090B00
86	5	6	0	#050600
87	6	7	0	#060700
88	154	160	115	#9AA073
89	179	185	139	#B3B98B
90	224	226	208	#E0E2D0
91	6	6	0	#060600
92	3	3	0	#030300
93	255	255	210	#FFFFD2
94	202	153	111	#CA996F
95	156	93	56	#9C5D38
96	129	70	48	#814630
97	124	124	124	#7C7C7C
98	0	0	0	#000000
99	0	0	0	#000000
100	0	0	0	#000000
101	0	0	0	#000000
102	0	0	0	#000000
103	0	0	0	#000000
104	0	0	0	#000000
105	0	0	0	#000000
106	0	0	0	#000000
107	0	0	0	#000000
108	0	0	0	#000000
109	0	0	0	#000000
110	0	0	0	#000000
111	0	0	0	#000000
112	0	0	0	#000000
113	0	0	0	#000000
114	0	0	0	#000000
115	0	0	0	#000000
116	0	0	0	#000000
117	0	0	0	#000000
118	0	0	0	#000000
119	0	0	0	#000000
120	0	0	0	#000000
121	0	0	0	#000000
122	0	0	0	#000000
123	0	0	0	#000000
124	0	0	0	#000000
125	0	0	0	#000000
126	0	0	0	#000000
127	0	0	0	#000000
128	0	0	0	#000000
129	0	0	0	#000000
130	0	0	0	#000000
131	0	0	0	#000000
132	0	0	0	#000000
133	0	0	0	#000000
134	0	0	0	#000000
135	0	0	0	#000000
136	0	0	0	#000000
137	0	0	0	#000000
138	0	0	0	#000000
139	0	0	0	#000000
140	0	0	0	#000000
141	0	0	0	#000000
142	0	0	0	#000000
143	0	0	0	#000000
144	0	0	0	#000000
145	0	0	0	#000000
146	0	0	0	#000000
147	0	0	0	#000000
148	0	0	0	#000000
149	0	0	0	#000000
150	0	0	0	#000000
151	0	0	0	#000000
152	0	0	0	#000000
153	0	0	0	#000000
154	0	0	0	#000000
155	0	0	0	#000000
156	0	0	0	#000000
157	0	0	0	#000000
158	0	0	0	#000000
159	0	0	0	#000000
160	0	0	0	#000000
161	0	0	0	#000000
162	0	0	0	#000000
163	0	0	0	#000000
164	0	0	0	#000000
165	0	0	0	#000000
166	0	0	0	#000000
167	0	0	0	#000000
168	0	0	0	#000000
169	0	0	0	#000000
170	0	0	0	#000000
171	0	0	0	#000000
172	0	0	0	#000000
173	0	0	0	#000000
174	0	0	0	#000000
175	0	0	0	#000000
176	0	0	0	#000000
177	0	0	0	#000000
178	0	0	0	#000000
179	0	0	0	#000000
180	0	0	0	#000000
181	0	0	0	#000000
182	0	0	0	#000000
183	0	0	0	#000000
184	0	0	0	#000000
185	0	0	0	#000000
186	0	0	0	#000000
187	0	0	0	#000000
188	0	0	0	#000000
189	0	0	0	#000000
190	0	0	0	#000000
191	0	0	0	#000000
192	0	0	0	#000000
193	0	0	0	#000000
194	0	0	0	#000000
195	0	0	0	#000000
196	0	0	0	#000000
197	0	0	0	#000000
198	0	0	0	#000000
199	0	0	0	#000000
200	0	0	0	#000000
201	0	0	0	#000000
202	0	0	0	#000000
203	0	0	0	#000000
204	0	0	0	#000000
205	0	0	0	#000000
206	0	0	0	#000000
207	0	0	0	#000000
208	0	0	0	#000000
209	0	0	0	#000000
210	0	0	0	#000000
211	0	0	0	#000000
212	0	0	0	#000000
213	0	0	0	#000000
214	0	0	0	#000000
215	0	0	0	#000000
216	0	0	0	#000000
217	0	0	0	#000000
218	0	0	0	#000000
219	0	0	0	#000000
220	0	0	0	#000000
221	0	0	0	#000000
222	0	0	0	#000000
223	0	0	0	#000000
224	0	0	0	#000000
225	0	0	0	#000000
226	0	0	0	#000000
227	0	0	0	#000000
228	0	0	0	#000000
229	0	0	0	#000000
230	0	0	0	#000000
231	0	0	0	#000000
232	0	0	0	#000000
233	0	0	0	#000000
234	0	0	0	#000000
235	0	0	0	#000000
236	0	0	0	#000000
237	0	0	0	#000000
238	0	0	0	#000000
239	0	0	0	#000000
240	0	0	0	#000000
241	0	0	0	#000000
242	0	0	0	#000000
243	0	0	0	#000000
244	0	0	0	#000000
245	0	0	0	#000000
246	221	221	221	#DDDDDD
247	187	187	187	#BBBBBB
248	170	170	170	#AAAAAA
249	136	136	136	#888888
250	119	119	119	#777777
251	85	85	85	#555555
252	68	68	68	#444444
253	34	34	34	#222222
254	17	17	17	#111111
255	0	0	0	#000000
