member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
4	bitmap	ps3_a_0_1_1_4_0	0			bitmaps/00004_ps3_a_0_1_1_4_0.png
4	bitmap	ps3_a_0_1_1_4_0	0	23	BITD	raw_chunks/00004_ps3_a_0_1_1_4_0_23_BITD.bin
6	text	ps3.props	0	27	STXT	text/00006_ps3.props_stxt_0.txt
6	text	ps3.props	0	27	STXT	raw_chunks/00006_ps3.props_27_STXT.bin
7	bitmap	tree1_sd	0			bitmaps/00007_tree1_sd.png
7	bitmap	tree1_sd	0	29	BITD	raw_chunks/00007_tree1_sd_29_BITD.bin
8	bitmap	ps3_small	0			bitmaps/00008_ps3_small.png
8	bitmap	ps3_small	0	31	BITD	raw_chunks/00008_ps3_small_31_BITD.bin
10	text	memberalias.index	0	35	STXT	text/00010_memberalias.index_stxt_0.txt
10	text	memberalias.index	0	35	STXT	raw_chunks/00010_memberalias.index_35_STXT.bin
11	bitmap	ps3_a_0_1_1_6_0	0			bitmaps/00011_ps3_a_0_1_1_6_0.png
11	bitmap	ps3_a_0_1_1_6_0	0	38	BITD	raw_chunks/00011_ps3_a_0_1_1_6_0_38_BITD.bin
26	bitmap	ps3_a_0_1_1_8_0	0			bitmaps/00026_ps3_a_0_1_1_8_0.png
26	bitmap	ps3_a_0_1_1_8_0	0	41	ALFA	raw_chunks/00026_ps3_a_0_1_1_8_0_41_ALFA.bin
26	bitmap	ps3_a_0_1_1_8_0	0	40	BITD	raw_chunks/00026_ps3_a_0_1_1_8_0_40_BITD.bin
28	bitmap	ps3_a_0_1_1_10_0	0			bitmaps/00028_ps3_a_0_1_1_10_0.png
28	bitmap	ps3_a_0_1_1_10_0	0	44	ALFA	raw_chunks/00028_ps3_a_0_1_1_10_0_44_ALFA.bin
28	bitmap	ps3_a_0_1_1_10_0	0	43	BITD	raw_chunks/00028_ps3_a_0_1_1_10_0_43_BITD.bin
30	bitmap	ps3_a_0_1_1_12_0	0			bitmaps/00030_ps3_a_0_1_1_12_0.png
30	bitmap	ps3_a_0_1_1_12_0	0	47	ALFA	raw_chunks/00030_ps3_a_0_1_1_12_0_47_ALFA.bin
30	bitmap	ps3_a_0_1_1_12_0	0	46	BITD	raw_chunks/00030_ps3_a_0_1_1_12_0_46_BITD.bin
34	bitmap	ps3_a_0_1_1_14_0	0			bitmaps/00034_ps3_a_0_1_1_14_0.png
34	bitmap	ps3_a_0_1_1_14_0	0	49	BITD	raw_chunks/00034_ps3_a_0_1_1_14_0_49_BITD.bin
