index	r	g	b	hex
0	255	255	255	#FFFFFF
1	176	124	51	#B07C33
2	249	221	125	#F9DD7D
3	193	139	65	#C18B41
4	76	70	61	#4C463D
5	128	80	15	#80500F
6	70	42	5	#462A05
7	149	101	34	#956522
8	204	162	75	#CCA24B
9	43	43	43	#2B2B2B
10	76	48	9	#4C3009
11	0	40	81	#002851
12	225	53	24	#E13518
13	37	22	1	#251601
14	255	140	4	#FF8C04
15	139	91	24	#8B5B18
16	41	25	3	#291903
17	253	241	199	#FDF1C7
18	17	91	167	#115BA7
19	178	178	178	#B2B2B2
20	79	171	184	#4FABB8
21	186	75	21	#BA4B15
22	223	225	24	#DFE118
23	157	37	17	#9D2511
24	214	237	240	#D6EDF0
25	63	137	147	#3F8993
26	50	109	118	#326D76
27	204	112	3	#CC7003
28	149	60	17	#953C11
29	103	157	211	#679DD3
30	180	42	19	#B42A13
31	255	180	90	#FFB45A
32	163	114	45	#A3722D
33	171	190	192	#ABBEC0
34	137	209	219	#89D1DB
35	42	92	161	#2A5CA1
36	20	93	103	#145D67
37	160	160	160	#A0A0A0
38	240	115	82	#F07352
39	45	75	116	#2D4B74
40	44	95	102	#2C5F66
41	218	60	18	#DA3C12
42	124	124	124	#7C7C7C
43	16	74	82	#104A52
44	110	26	12	#6E1A0C
45	178	180	19	#B2B413
46	143	144	15	#8F900F
47	104	57	2	#683902
48	94	93	93	#5E5D5D
49	163	89	3	#A35903
50	166	166	166	#A6A6A6
51	94	130	180	#5E82B4
52	34	74	129	#224A81
53	29	133	148	#1D8594
54	140	220	145	#8CDC91
55	99	99	99	#636363
56	60	83	115	#3C5373
57	130	71	2	#824702
58	85	149	89	#559559
59	163	163	163	#A3A3A3
60	106	186	111	#6ABA6F
61	229	229	229	#E5E5E5
62	135	33	6	#872106
63	204	204	204	#CCCCCC
64	169	41	7	#A92907
65	110	167	175	#6EA7AF
66	148	148	129	#949481
67	185	185	185	#B9B9B9
68	144	34	15	#90220F
69	111	31	9	#6F1F09
70	23	106	118	#176A76
71	75	104	144	#4B6890
72	163	115	58	#A3733A
73	161	92	11	#A15C0B
74	119	48	13	#77300D
75	141	33	15	#8D210F
76	202	48	22	#CA3016
77	101	55	0	#653700
78	192	92	66	#C05C42
79	143	77	65	#8F4D41
80	102	102	102	#666666
81	82	18	7	#521207
82	161	35	13	#A1230D
83	114	115	12	#72730C
84	146	118	60	#92763C
85	201	115	14	#C9730E
86	100	162	104	#64A268
87	19	85	95	#13555F
88	198	107	0	#C66B00
89	127	68	0	#7F4400
90	130	130	130	#828282
91	115	27	12	#731B0C
92	142	142	142	#8E8E8E
93	14	65	72	#0E4148
94	122	59	42	#7A3B2A
95	139	38	12	#8B260C
96	100	100	100	#646464
97	174	48	14	#AE300E
98	163	131	67	#A38343
99	144	144	144	#909090
100	182	43	19	#B62B13
101	158	86	0	#9E5600
102	36	60	93	#243C5D
103	204	144	72	#CC9048
104	153	74	52	#994A34
105	206	206	206	#CECECE
106	201	163	83	#C9A353
