member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
4	bitmap		0			bitmaps/00004_member.png
4	bitmap		0	60	BITD	raw_chunks/00004_member_60_BITD.bin
22	text	asset.index	0	30	STXT	text/00022_asset.index_stxt_0.txt
22	text	asset.index	0	30	STXT	raw_chunks/00022_asset.index_30_STXT.bin
26	text	memberalias.index	0	5	STXT	text/00026_memberalias.index_stxt_0.txt
26	text	memberalias.index	0	5	STXT	raw_chunks/00026_memberalias.index_5_STXT.bin
28	bitmap	s_ktchn_dvdr_b_0_2_1_0_0	0			bitmaps/00028_s_ktchn_dvdr_b_0_2_1_0_0.png
28	bitmap	s_ktchn_dvdr_b_0_2_1_0_0	0	8	ALFA	raw_chunks/00028_s_ktchn_dvdr_b_0_2_1_0_0_8_ALFA.bin
28	bitmap	s_ktchn_dvdr_b_0_2_1_0_0	0	70	BITD	raw_chunks/00028_s_ktchn_dvdr_b_0_2_1_0_0_70_BITD.bin
31	bitmap	s_ktchn_dvdr_a_0_2_1_0_0	0			bitmaps/00031_s_ktchn_dvdr_a_0_2_1_0_0.png
31	bitmap	s_ktchn_dvdr_a_0_2_1_0_0	0	73	BITD	raw_chunks/00031_s_ktchn_dvdr_a_0_2_1_0_0_73_BITD.bin
37	text	s_ktchn_dvdr.props	0	14	STXT	text/00037_s_ktchn_dvdr.props_stxt_0.txt
37	text	s_ktchn_dvdr.props	0	14	STXT	raw_chunks/00037_s_ktchn_dvdr.props_14_STXT.bin
50	bitmap	ktchn_dvdr_small	0			bitmaps/00050_ktchn_dvdr_small.png
50	bitmap	ktchn_dvdr_small	0	15	BITD	raw_chunks/00050_ktchn_dvdr_small_15_BITD.bin
54	bitmap	s_ktchn_dvdr_c_0_2_1_0_0	0			bitmaps/00054_s_ktchn_dvdr_c_0_2_1_0_0.png
54	bitmap	s_ktchn_dvdr_c_0_2_1_0_0	0	78	BITD	raw_chunks/00054_s_ktchn_dvdr_c_0_2_1_0_0_78_BITD.bin
63	bitmap	s_ktchn_dvdr_c_0_2_1_2_0	0			bitmaps/00063_s_ktchn_dvdr_c_0_2_1_2_0.png
63	bitmap	s_ktchn_dvdr_c_0_2_1_2_0	0	83	BITD	raw_chunks/00063_s_ktchn_dvdr_c_0_2_1_2_0_83_BITD.bin
66	bitmap	s_ktchn_dvdr_b_0_2_1_2_0	0			bitmaps/00066_s_ktchn_dvdr_b_0_2_1_2_0.png
66	bitmap	s_ktchn_dvdr_b_0_2_1_2_0	0	80	BITD	raw_chunks/00066_s_ktchn_dvdr_b_0_2_1_2_0_80_BITD.bin
67	bitmap	s_ktchn_dvdr_d_0_2_1_0_0	0			bitmaps/00067_s_ktchn_dvdr_d_0_2_1_0_0.png
67	bitmap	s_ktchn_dvdr_d_0_2_1_0_0	0	77	BITD	raw_chunks/00067_s_ktchn_dvdr_d_0_2_1_0_0_77_BITD.bin
68	bitmap	s_ktchn_dvdr_d_0_2_1_2_0	0			bitmaps/00068_s_ktchn_dvdr_d_0_2_1_2_0.png
68	bitmap	s_ktchn_dvdr_d_0_2_1_2_0	0	85	BITD	raw_chunks/00068_s_ktchn_dvdr_d_0_2_1_2_0_85_BITD.bin
69	bitmap	s_ktchn_dvdr_a_0_2_1_2_0	0			bitmaps/00069_s_ktchn_dvdr_a_0_2_1_2_0.png
69	bitmap	s_ktchn_dvdr_a_0_2_1_2_0	0	81	BITD	raw_chunks/00069_s_ktchn_dvdr_a_0_2_1_2_0_81_BITD.bin
