member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
21	text	s_ktchn_gate.data	0	26	STXT	raw_chunks/00021_s_ktchn_gate.data_26_STXT.bin
22	text	asset.index	0	30	STXT	text/00022_asset.index_stxt_0.txt
22	text	asset.index	0	30	STXT	raw_chunks/00022_asset.index_30_STXT.bin
28	text	memberalias.index	0	5	STXT	text/00028_memberalias.index_stxt_0.txt
28	text	memberalias.index	0	5	STXT	raw_chunks/00028_memberalias.index_5_STXT.bin
31	bitmap	s_ktchn_gate_b_0_2_1_2_0	0			bitmaps/00031_s_ktchn_gate_b_0_2_1_2_0.png
31	bitmap	s_ktchn_gate_b_0_2_1_2_0	0	24	ALFA	raw_chunks/00031_s_ktchn_gate_b_0_2_1_2_0_24_ALFA.bin
31	bitmap	s_ktchn_gate_b_0_2_1_2_0	0	147	BITD	raw_chunks/00031_s_ktchn_gate_b_0_2_1_2_0_147_BITD.bin
35	bitmap	s_ktchn_gate_d_0_2_1_0_1	0			bitmaps/00035_s_ktchn_gate_d_0_2_1_0_1.png
35	bitmap	s_ktchn_gate_d_0_2_1_0_1	0	137	BITD	raw_chunks/00035_s_ktchn_gate_d_0_2_1_0_1_137_BITD.bin
36	bitmap	s_ktchn_gate_c_0_2_1_0_1	0			bitmaps/00036_s_ktchn_gate_c_0_2_1_0_1.png
36	bitmap	s_ktchn_gate_c_0_2_1_0_1	0	135	BITD	raw_chunks/00036_s_ktchn_gate_c_0_2_1_0_1_135_BITD.bin
39	bitmap	s_ktchn_gate_d_0_2_1_0_0	0			bitmaps/00039_s_ktchn_gate_d_0_2_1_0_0.png
39	bitmap	s_ktchn_gate_d_0_2_1_0_0	0	10	BITD	raw_chunks/00039_s_ktchn_gate_d_0_2_1_0_0_10_BITD.bin
40	text	s_ktchn_gate.props	0	63	STXT	text/00040_s_ktchn_gate.props_stxt_0.txt
40	text	s_ktchn_gate.props	0	63	STXT	raw_chunks/00040_s_ktchn_gate.props_63_STXT.bin
41	bitmap	s_ktchn_gate_d_0_2_1_2_1	0			bitmaps/00041_s_ktchn_gate_d_0_2_1_2_1.png
41	bitmap	s_ktchn_gate_d_0_2_1_2_1	0	155	BITD	raw_chunks/00041_s_ktchn_gate_d_0_2_1_2_1_155_BITD.bin
47	bitmap		0			bitmaps/00047_member.png
47	bitmap		0	165	BITD	raw_chunks/00047_member_165_BITD.bin
55	bitmap	s_ktchn_gate_a_0_2_1_2_0	0			bitmaps/00055_s_ktchn_gate_a_0_2_1_2_0.png
55	bitmap	s_ktchn_gate_a_0_2_1_2_0	0	145	BITD	raw_chunks/00055_s_ktchn_gate_a_0_2_1_2_0_145_BITD.bin
60	bitmap	s_ktchn_gate_a_0_2_1_0_0	0	75	BITD	raw_chunks/00060_s_ktchn_gate_a_0_2_1_0_0_75_BITD.bin
62	bitmap	s_ktchn_gate_f_0_2_1_0_0	0	54	BITD	raw_chunks/00062_s_ktchn_gate_f_0_2_1_0_0_54_BITD.bin
64	bitmap	s_ktchn_gate_b_0_2_1_0_0	0			bitmaps/00064_s_ktchn_gate_b_0_2_1_0_0.png
64	bitmap	s_ktchn_gate_b_0_2_1_0_0	0	129	BITD	raw_chunks/00064_s_ktchn_gate_b_0_2_1_0_0_129_BITD.bin
66	bitmap	s_ktchn_gate_sd_2	0			bitmaps/00066_s_ktchn_gate_sd_2.png
66	bitmap	s_ktchn_gate_sd_2	0	143	BITD	raw_chunks/00066_s_ktchn_gate_sd_2_143_BITD.bin
70	bitmap	s_ktchn_gate_f_0_2_1_2_0	0			bitmaps/00070_s_ktchn_gate_f_0_2_1_2_0.png
70	bitmap	s_ktchn_gate_f_0_2_1_2_0	0	163	BITD	raw_chunks/00070_s_ktchn_gate_f_0_2_1_2_0_163_BITD.bin
92	bitmap	s_ktchn_gate_sd_0	0			bitmaps/00092_s_ktchn_gate_sd_0.png
92	bitmap	s_ktchn_gate_sd_0	0	123	BITD	raw_chunks/00092_s_ktchn_gate_sd_0_123_BITD.bin
93	bitmap	s_ktchn_gate_c_0_2_1_0_0	0			bitmaps/00093_s_ktchn_gate_c_0_2_1_0_0.png
93	bitmap	s_ktchn_gate_c_0_2_1_0_0	0	56	BITD	raw_chunks/00093_s_ktchn_gate_c_0_2_1_0_0_56_BITD.bin
94	bitmap	s_ktchn_gate_e_0_2_1_0_0	0			bitmaps/00094_s_ktchn_gate_e_0_2_1_0_0.png
94	bitmap	s_ktchn_gate_e_0_2_1_0_0	0	23	BITD	raw_chunks/00094_s_ktchn_gate_e_0_2_1_0_0_23_BITD.bin
95	bitmap	s_ktchn_gate_e_0_2_1_0_1	0			bitmaps/00095_s_ktchn_gate_e_0_2_1_0_1.png
95	bitmap	s_ktchn_gate_e_0_2_1_0_1	0	139	BITD	raw_chunks/00095_s_ktchn_gate_e_0_2_1_0_1_139_BITD.bin
99	bitmap	s_ktchn_gate_b_0_2_1_2_1	0			bitmaps/00099_s_ktchn_gate_b_0_2_1_2_1.png
99	bitmap	s_ktchn_gate_b_0_2_1_2_1	0	159	BITD	raw_chunks/00099_s_ktchn_gate_b_0_2_1_2_1_159_BITD.bin
101	bitmap	s_ktchn_gate_e_0_2_1_2_1	0			bitmaps/00101_s_ktchn_gate_e_0_2_1_2_1.png
101	bitmap	s_ktchn_gate_e_0_2_1_2_1	0	157	BITD	raw_chunks/00101_s_ktchn_gate_e_0_2_1_2_1_157_BITD.bin
103	bitmap	s_ktchn_gate_c_0_2_1_2_0	0			bitmaps/00103_s_ktchn_gate_c_0_2_1_2_0.png
103	bitmap	s_ktchn_gate_c_0_2_1_2_0	0	149	BITD	raw_chunks/00103_s_ktchn_gate_c_0_2_1_2_0_149_BITD.bin
105	bitmap	ktchn_gate_small	0			bitmaps/00105_ktchn_gate_small.png
105	bitmap	ktchn_gate_small	0	121	BITD	raw_chunks/00105_ktchn_gate_small_121_BITD.bin
106	bitmap	s_ktchn_gate_f_0_2_1_0_0	0			bitmaps/00106_s_ktchn_gate_f_0_2_1_0_0.png
106	bitmap	s_ktchn_gate_f_0_2_1_0_0	0	141	BITD	raw_chunks/00106_s_ktchn_gate_f_0_2_1_0_0_141_BITD.bin
107	text	s_ktchn_gate.data	0	104	STXT	text/00107_s_ktchn_gate.data_stxt_0.txt
107	text	s_ktchn_gate.data	0	104	STXT	raw_chunks/00107_s_ktchn_gate.data_104_STXT.bin
109	bitmap	s_ktchn_gate_b_0_2_1_0_1	0			bitmaps/00109_s_ktchn_gate_b_0_2_1_0_1.png
109	bitmap	s_ktchn_gate_b_0_2_1_0_1	0	133	BITD	raw_chunks/00109_s_ktchn_gate_b_0_2_1_0_1_133_BITD.bin
110	bitmap	s_ktchn_gate_a_0_2_1_0_0	0			bitmaps/00110_s_ktchn_gate_a_0_2_1_0_0.png
110	bitmap	s_ktchn_gate_a_0_2_1_0_0	0	125	BITD	raw_chunks/00110_s_ktchn_gate_a_0_2_1_0_0_125_BITD.bin
112	bitmap	s_ktchn_gate_d_0_2_1_2_0	0			bitmaps/00112_s_ktchn_gate_d_0_2_1_2_0.png
112	bitmap	s_ktchn_gate_d_0_2_1_2_0	0	151	BITD	raw_chunks/00112_s_ktchn_gate_d_0_2_1_2_0_151_BITD.bin
114	bitmap	s_ktchn_gate_c_0_2_1_2_1	0			bitmaps/00114_s_ktchn_gate_c_0_2_1_2_1.png
