member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
15	bitmap	ktchn_knives_small	0			bitmaps/00015_ktchn_knives_small.png
15	bitmap	ktchn_knives_small	0	44	BITD	raw_chunks/00015_ktchn_knives_small_44_BITD.bin
21	text	s_ktchn_knives.data	0	26	STXT	text/00021_s_ktchn_knives.data_stxt_0.txt
21	text	s_ktchn_knives.data	0	26	STXT	raw_chunks/00021_s_ktchn_knives.data_26_STXT.bin
22	text	asset.index	0	30	STXT	text/00022_asset.index_stxt_0.txt
22	text	asset.index	0	30	STXT	raw_chunks/00022_asset.index_30_STXT.bin
28	text	memberalias.index	0	5	STXT	text/00028_memberalias.index_stxt_0.txt
28	text	memberalias.index	0	5	STXT	raw_chunks/00028_memberalias.index_5_STXT.bin
51	bitmap	s_leftwall ktchn_knives_b_0	0			bitmaps/00051_s_leftwall_ktchn_knives_b_0.png
51	bitmap	s_leftwall ktchn_knives_b_0	0	68	BITD	raw_chunks/00051_s_leftwall_ktchn_knives_b_0_68_BITD.bin
52	bitmap	s_leftwall ktchn_knives_b_1	0			bitmaps/00052_s_leftwall_ktchn_knives_b_1.png
52	bitmap	s_leftwall ktchn_knives_b_1	0	47	BITD	raw_chunks/00052_s_leftwall_ktchn_knives_b_1_47_BITD.bin
55	bitmap	s_leftwall ktchn_knives_b_3	0			bitmaps/00055_s_leftwall_ktchn_knives_b_3.png
55	bitmap	s_leftwall ktchn_knives_b_3	0	72	BITD	raw_chunks/00055_s_leftwall_ktchn_knives_b_3_72_BITD.bin
57	bitmap	s_leftwall ktchn_knives_b_2	0			bitmaps/00057_s_leftwall_ktchn_knives_b_2.png
57	bitmap	s_leftwall ktchn_knives_b_2	0	70	BITD	raw_chunks/00057_s_leftwall_ktchn_knives_b_2_70_BITD.bin
60	bitmap	s_leftwall ktchn_knives_a_0	0			bitmaps/00060_s_leftwall_ktchn_knives_a_0.png
60	bitmap	s_leftwall ktchn_knives_a_0	0	74	BITD	raw_chunks/00060_s_leftwall_ktchn_knives_a_0_74_BITD.bin
69	text	s_ktchn_knives.props	0	4	STXT	text/00069_s_ktchn_knives.props_stxt_0.txt
69	text	s_ktchn_knives.props	0	4	STXT	raw_chunks/00069_s_ktchn_knives.props_4_STXT.bin
