member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
6	bitmap	s_leftwall ktchn_oven_b_0	0			bitmaps/00006_s_leftwall_ktchn_oven_b_0.png
6	bitmap	s_leftwall ktchn_oven_b_0	0	37	ALFA	raw_chunks/00006_s_leftwall_ktchn_oven_b_0_37_ALFA.bin
6	bitmap	s_leftwall ktchn_oven_b_0	0	8	BITD	raw_chunks/00006_s_leftwall_ktchn_oven_b_0_8_BITD.bin
21	text	s_ktchn_oven.data	0	26	STXT	text/00021_s_ktchn_oven.data_stxt_0.txt
21	text	s_ktchn_oven.data	0	26	STXT	raw_chunks/00021_s_ktchn_oven.data_26_STXT.bin
22	text	asset.index	0	30	STXT	text/00022_asset.index_stxt_0.txt
22	text	asset.index	0	30	STXT	raw_chunks/00022_asset.index_30_STXT.bin
23	bitmap	s_leftwall ktchn_oven_a_0	0			bitmaps/00023_s_leftwall_ktchn_oven_a_0.png
23	bitmap	s_leftwall ktchn_oven_a_0	0	72	BITD	raw_chunks/00023_s_leftwall_ktchn_oven_a_0_72_BITD.bin
28	text	memberalias.index	0	5	STXT	text/00028_memberalias.index_stxt_0.txt
28	text	memberalias.index	0	5	STXT	raw_chunks/00028_memberalias.index_5_STXT.bin
45	bitmap		0			bitmaps/00045_member.png
45	bitmap		0	50	BITD	raw_chunks/00045_member_50_BITD.bin
47	bitmap	ktchn_oven_small	0			bitmaps/00047_ktchn_oven_small.png
47	bitmap	ktchn_oven_small	0	74	BITD	raw_chunks/00047_ktchn_oven_small_74_BITD.bin
54	text	s_ktchn_oven.props	0	60	STXT	text/00054_s_ktchn_oven.props_stxt_0.txt
54	text	s_ktchn_oven.props	0	60	STXT	raw_chunks/00054_s_ktchn_oven.props_60_STXT.bin
64	bitmap	s_leftwall ktchn_oven_a_1	0			bitmaps/00064_s_leftwall_ktchn_oven_a_1.png
64	bitmap	s_leftwall ktchn_oven_a_1	0	62	BITD	raw_chunks/00064_s_leftwall_ktchn_oven_a_1_62_BITD.bin
