member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
6	bitmap	s_ktchn_plates_a_0_1_1_0_1	0			bitmaps/00006_s_ktchn_plates_a_0_1_1_0_1.png
6	bitmap	s_ktchn_plates_a_0_1_1_0_1	0	37	ALFA	raw_chunks/00006_s_ktchn_plates_a_0_1_1_0_1_37_ALFA.bin
6	bitmap	s_ktchn_plates_a_0_1_1_0_1	0	77	BITD	raw_chunks/00006_s_ktchn_plates_a_0_1_1_0_1_77_BITD.bin
21	text	s_ktchn_plates.data	0	26	STXT	text/00021_s_ktchn_plates.data_stxt_0.txt
21	text	s_ktchn_plates.data	0	26	STXT	raw_chunks/00021_s_ktchn_plates.data_26_STXT.bin
22	text	asset.index	0	30	STXT	text/00022_asset.index_stxt_0.txt
22	text	asset.index	0	30	STXT	raw_chunks/00022_asset.index_30_STXT.bin
28	text	memberalias.index	0	5	STXT	text/00028_memberalias.index_stxt_0.txt
28	text	memberalias.index	0	5	STXT	raw_chunks/00028_memberalias.index_5_STXT.bin
40	text	s_ktchn_plates.props	0	20	STXT	text/00040_s_ktchn_plates.props_stxt_0.txt
40	text	s_ktchn_plates.props	0	20	STXT	raw_chunks/00040_s_ktchn_plates.props_20_STXT.bin
45	bitmap		0			bitmaps/00045_member.png
45	bitmap		0	49	BITD	raw_chunks/00045_member_49_BITD.bin
54	bitmap	ktchn_plates_small	0			bitmaps/00054_ktchn_plates_small.png
54	bitmap	ktchn_plates_small	0	53	BITD	raw_chunks/00054_ktchn_plates_small_53_BITD.bin
67	bitmap	s_ktchn_plates_a_0_1_1_0_2	0			bitmaps/00067_s_ktchn_plates_a_0_1_1_0_2.png
67	bitmap	s_ktchn_plates_a_0_1_1_0_2	0	72	BITD	raw_chunks/00067_s_ktchn_plates_a_0_1_1_0_2_72_BITD.bin
75	bitmap	s_ktchn_plates_a_0_1_1_0_0	0			bitmaps/00075_s_ktchn_plates_a_0_1_1_0_0.png
75	bitmap	s_ktchn_plates_a_0_1_1_0_0	0	70	BITD	raw_chunks/00075_s_ktchn_plates_a_0_1_1_0_0_70_BITD.bin
