index	r	g	b	hex
0	255	255	255	#FFFFFF
1	108	0	1	#6C0001
2	194	0	17	#C20011
3	213	2	17	#D50211
4	115	108	145	#736C91
5	151	160	198	#97A0C6
6	180	190	222	#B4BEDE
7	218	222	233	#DADEE9
8	182	194	212	#B6C2D4
9	162	171	182	#A2ABB6
10	226	231	237	#E2E7ED
11	205	228	240	#CDE4F0
12	229	243	248	#E5F3F8
13	174	200	205	#AEC8CD
14	218	234	237	#DAEAED
15	197	231	232	#C5E7E8
16	182	217	215	#B6D9D7
17	0	102	0	#006600
18	1	74	0	#014A00
19	115	175	38	#73AF26
20	87	133	29	#57851D
21	161	221	78	#A1DD4E
22	255	245	91	#FFF55B
23	213	198	37	#D5C625
24	255	242	205	#FFF2CD
25	255	152	0	#FF9800
26	255	153	0	#FF9900
27	152	118	76	#98764C
28	204	102	0	#CC6600
29	102	51	0	#663300
30	238	199	166	#EEC7A6
31	196	151	116	#C49774
32	143	95	61	#8F5F3D
33	255	115	28	#FF731C
34	84	52	36	#543424
35	195	59	0	#C33B00
36	187	124	107	#BB7C6B
37	175	44	36	#AF2C24
38	223	57	47	#DF392F
39	233	87	79	#E9574F
40	255	157	155	#FF9D9B
41	116	113	113	#747171
42	130	130	130	#828282
43	0	0	0	#000000
44	0	0	0	#000000
45	0	0	0	#000000
46	0	0	0	#000000
47	0	0	0	#000000
48	0	0	0	#000000
49	0	0	0	#000000
50	0	0	0	#000000
51	0	0	0	#000000
52	0	0	0	#000000
53	0	0	0	#000000
54	0	0	0	#000000
55	0	0	0	#000000
56	0	0	0	#000000
57	0	0	0	#000000
58	0	0	0	#000000
59	0	0	0	#000000
60	0	0	0	#000000
61	0	0	0	#000000
62	0	0	0	#000000
63	0	0	0	#000000
64	0	0	0	#000000
65	0	0	0	#000000
66	0	0	0	#000000
67	0	0	0	#000000
68	0	0	0	#000000
69	0	0	0	#000000
70	0	0	0	#000000
71	0	0	0	#000000
72	0	0	0	#000000
73	0	0	0	#000000
74	0	0	0	#000000
75	0	0	0	#000000
76	0	0	0	#000000
77	0	0	0	#000000
78	0	0	0	#000000
79	0	0	0	#000000
80	0	0	0	#000000
81	0	0	0	#000000
82	0	0	0	#000000
83	0	0	0	#000000
84	0	0	0	#000000
85	0	0	0	#000000
86	0	0	0	#000000
87	0	0	0	#000000
88	0	0	0	#000000
89	0	0	0	#000000
90	0	0	0	#000000
91	0	0	0	#000000
92	0	0	0	#000000
93	0	0	0	#000000
94	0	0	0	#000000
95	0	0	0	#000000
96	0	0	0	#000000
97	0	0	0	#000000
98	0	0	0	#000000
99	0	0	0	#000000
100	0	0	0	#000000
101	0	0	0	#000000
102	0	0	0	#000000
103	0	0	0	#000000
104	0	0	0	#000000
105	0	0	0	#000000
106	0	0	0	#000000
107	0	0	0	#000000
108	0	0	0	#000000
109	0	0	0	#000000
110	0	0	0	#000000
