member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
14	bitmap	s_ktchn_pots_b_0_2_1_0_0	0			bitmaps/00014_s_ktchn_pots_b_0_2_1_0_0.png
14	bitmap	s_ktchn_pots_b_0_2_1_0_0	0	37	BITD	raw_chunks/00014_s_ktchn_pots_b_0_2_1_0_0_37_BITD.bin
20	text	s_ktchn_pots.props	0	88	STXT	text/00020_s_ktchn_pots.props_stxt_0.txt
20	text	s_ktchn_pots.props	0	88	STXT	raw_chunks/00020_s_ktchn_pots.props_88_STXT.bin
22	text	asset.index	0	30	STXT	text/00022_asset.index_stxt_0.txt
22	text	asset.index	0	30	STXT	raw_chunks/00022_asset.index_30_STXT.bin
25	bitmap	ktchn_pots_small	0			bitmaps/00025_ktchn_pots_small.png
25	bitmap	ktchn_pots_small	0	66	BITD	raw_chunks/00025_ktchn_pots_small_66_BITD.bin
26	text	memberalias.index	0	5	STXT	text/00026_memberalias.index_stxt_0.txt
26	text	memberalias.index	0	5	STXT	raw_chunks/00026_memberalias.index_5_STXT.bin
52	bitmap		0			bitmaps/00052_member.png
52	bitmap		0	49	BITD	raw_chunks/00052_member_49_BITD.bin
68	bitmap	s_ktchn_pots_c_0_2_1_0_0	0			bitmaps/00068_s_ktchn_pots_c_0_2_1_0_0.png
68	bitmap	s_ktchn_pots_c_0_2_1_0_0	0	51	BITD	raw_chunks/00068_s_ktchn_pots_c_0_2_1_0_0_51_BITD.bin
70	bitmap	s_ktchn_pots_a_0_2_1_0_0	0			bitmaps/00070_s_ktchn_pots_a_0_2_1_0_0.png
70	bitmap	s_ktchn_pots_a_0_2_1_0_0	0	40	BITD	raw_chunks/00070_s_ktchn_pots_a_0_2_1_0_0_40_BITD.bin
