index	r	g	b	hex
0	255	255	255	#FFFFFF
1	1	1	1	#010101
2	125	0	2	#7D0002
3	108	0	1	#6C0001
4	194	0	17	#C20011
5	74	60	72	#4A3C48
6	115	108	145	#736C91
7	158	167	204	#9EA7CC
8	221	228	238	#DDE4EE
9	226	231	237	#E2E7ED
10	187	201	217	#BBC9D9
11	168	178	188	#A8B2BC
12	104	121	134	#687986
13	56	57	57	#383939
14	84	85	85	#545555
15	115	175	38	#73AF26
16	87	133	29	#57851D
17	255	255	0	#FFFF00
18	255	211	3	#FFD303
19	235	227	187	#EBE3BB
20	255	242	205	#FFF2CD
21	248	183	55	#F8B737
22	255	233	190	#FFE9BE
23	136	103	41	#886729
24	255	140	0	#FF8C00
25	106	63	11	#6A3F0B
26	228	190	142	#E4BE8E
27	160	111	58	#A06F3A
28	204	102	0	#CC6600
29	223	126	31	#DF7E1F
30	181	130	76	#B5824C
31	216	162	107	#D8A26B
32	90	70	52	#5A4634
33	202	153	111	#CA996F
34	136	113	94	#88715E
35	238	199	166	#EEC7A6
36	166	73	0	#A64900
37	255	115	28	#FF731C
38	156	93	56	#9C5D38
39	129	70	48	#814630
40	77	74	73	#4D4A49
41	187	124	107	#BB7C6B
42	101	99	99	#656363
43	254	254	254	#FEFEFE
44	249	249	249	#F9F9F9
45	170	170	170	#AAAAAA
46	169	169	169	#A9A9A9
47	168	168	168	#A8A8A8
48	165	165	165	#A5A5A5
49	162	162	162	#A2A2A2
50	161	161	161	#A1A1A1
51	160	160	160	#A0A0A0
52	154	154	154	#9A9A9A
53	153	153	153	#999999
54	149	149	149	#959595
55	142	142	142	#8E8E8E
56	141	141	141	#8D8D8D
57	140	140	140	#8C8C8C
58	133	133	133	#858585
59	132	132	132	#848484
60	128	128	128	#808080
61	124	124	124	#7C7C7C
62	120	120	120	#787878
63	119	119	119	#777777
64	117	117	117	#757575
65	115	115	115	#737373
66	113	113	113	#717171
67	112	112	112	#707070
68	111	111	111	#6F6F6F
69	108	108	108	#6C6C6C
70	105	105	105	#696969
71	104	104	104	#686868
72	103	103	103	#676767
73	99	99	99	#636363
74	96	96	96	#606060
75	95	95	95	#5F5F5F
76	93	93	93	#5D5D5D
77	92	92	92	#5C5C5C
78	91	91	91	#5B5B5B
79	90	90	90	#5A5A5A
80	89	89	89	#595959
81	88	88	88	#585858
82	87	87	87	#575757
83	84	84	84	#545454
84	83	83	83	#535353
85	82	82	82	#525252
86	79	79	79	#4F4F4F
87	78	78	78	#4E4E4E
88	77	77	77	#4D4D4D
89	75	75	75	#4B4B4B
90	72	72	72	#484848
91	70	70	70	#464646
92	69	69	69	#454545
93	68	68	68	#444444
94	67	67	67	#434343
95	66	66	66	#424242
96	65	65	65	#414141
97	62	62	62	#3E3E3E
98	59	59	59	#3B3B3B
