member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
15	bitmap	ktchn_trash_small	0			bitmaps/00015_ktchn_trash_small.png
15	bitmap	ktchn_trash_small	0	64	BITD	raw_chunks/00015_ktchn_trash_small_64_BITD.bin
21	text	s_ktchn_trash.data	0	26	STXT	text/00021_s_ktchn_trash.data_stxt_0.txt
21	text	s_ktchn_trash.data	0	26	STXT	raw_chunks/00021_s_ktchn_trash.data_26_STXT.bin
22	text	asset.index	0	30	STXT	text/00022_asset.index_stxt_0.txt
22	text	asset.index	0	30	STXT	raw_chunks/00022_asset.index_30_STXT.bin
28	text	memberalias.index	0	5	STXT	text/00028_memberalias.index_stxt_0.txt
28	text	memberalias.index	0	5	STXT	raw_chunks/00028_memberalias.index_5_STXT.bin
35	text	s_ktchn_trash.props	0	6	STXT	text/00035_s_ktchn_trash.props_stxt_0.txt
35	text	s_ktchn_trash.props	0	6	STXT	raw_chunks/00035_s_ktchn_trash.props_6_STXT.bin
45	bitmap		0	49	BITD	raw_chunks/00045_member_49_BITD.bin
51	bitmap	s_ktchn_trash_a_0_1_1_0_0	0			bitmaps/00051_s_ktchn_trash_a_0_1_1_0_0.png
51	bitmap	s_ktchn_trash_a_0_1_1_0_0	0	43	BITD	raw_chunks/00051_s_ktchn_trash_a_0_1_1_0_0_43_BITD.bin
52	bitmap	s_ktchn_trash_a_0_1_1_0_1	0			bitmaps/00052_s_ktchn_trash_a_0_1_1_0_1.png
52	bitmap	s_ktchn_trash_a_0_1_1_0_1	0	67	BITD	raw_chunks/00052_s_ktchn_trash_a_0_1_1_0_1_67_BITD.bin
55	bitmap		0			bitmaps/00055_member.png
55	bitmap		0	71	BITD	raw_chunks/00055_member_71_BITD.bin
57	bitmap	s_ktchn_trash_sd_0	0			bitmaps/00057_s_ktchn_trash_sd_0.png
57	bitmap	s_ktchn_trash_sd_0	0	8	BITD	raw_chunks/00057_s_ktchn_trash_sd_0_8_BITD.bin
