member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
13	bitmap	s_leftwall ktchn_wall_a_0	0			bitmaps/00013_s_leftwall_ktchn_wall_a_0.png
13	bitmap	s_leftwall ktchn_wall_a_0	0	37	BITD	raw_chunks/00013_s_leftwall_ktchn_wall_a_0_37_BITD.bin
15	text	s_ktchn_wall.props	0	62	STXT	text/00015_s_ktchn_wall.props_stxt_0.txt
15	text	s_ktchn_wall.props	0	62	STXT	raw_chunks/00015_s_ktchn_wall.props_62_STXT.bin
20	bitmap	s_rightwall ktchn_wall_a_0	0			bitmaps/00020_s_rightwall_ktchn_wall_a_0.png
20	bitmap	s_rightwall ktchn_wall_a_0	0	67	BITD	raw_chunks/00020_s_rightwall_ktchn_wall_a_0_67_BITD.bin
22	text	asset.index	0	30	STXT	text/00022_asset.index_stxt_0.txt
22	text	asset.index	0	30	STXT	raw_chunks/00022_asset.index_30_STXT.bin
26	text	memberalias.index	0	5	STXT	text/00026_memberalias.index_stxt_0.txt
26	text	memberalias.index	0	5	STXT	raw_chunks/00026_memberalias.index_5_STXT.bin
31	bitmap		0			bitmaps/00031_member.png
31	bitmap		0	54	BITD	raw_chunks/00031_member_54_BITD.bin
44	bitmap	s_leftwall ktchn_wall_b_0	0			bitmaps/00044_s_leftwall_ktchn_wall_b_0.png
44	bitmap	s_leftwall ktchn_wall_b_0	0	74	BITD	raw_chunks/00044_s_leftwall_ktchn_wall_b_0_74_BITD.bin
63	bitmap	ktchn_wall_small	0			bitmaps/00063_ktchn_wall_small.png
63	bitmap	ktchn_wall_small	0	53	BITD	raw_chunks/00063_ktchn_wall_small_53_BITD.bin
64	text	s_ktchn_wall.data	0	58	STXT	text/00064_s_ktchn_wall.data_stxt_0.txt
64	text	s_ktchn_wall.data	0	58	STXT	raw_chunks/00064_s_ktchn_wall.data_58_STXT.bin
72	bitmap	s_rightwall ktchn_wall_b_0	0			bitmaps/00072_s_rightwall_ktchn_wall_b_0.png
72	bitmap	s_rightwall ktchn_wall_b_0	0	75	BITD	raw_chunks/00072_s_rightwall_ktchn_wall_b_0_75_BITD.bin
