member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
4	bitmap	urban_bin_small	0			bitmaps/00004_urban_bin_small.png
4	bitmap	urban_bin_small	0	51	BITD	raw_chunks/00004_urban_bin_small_51_BITD.bin
22	text	asset.index	0	30	STXT	text/00022_asset.index_stxt_0.txt
22	text	asset.index	0	30	STXT	raw_chunks/00022_asset.index_30_STXT.bin
24	bitmap	s_urban_bin_sd_0	0			bitmaps/00024_s_urban_bin_sd_0.png
24	bitmap	s_urban_bin_sd_0	0	66	BITD	raw_chunks/00024_s_urban_bin_sd_0_66_BITD.bin
26	text	memberalias.index	0	5	STXT	text/00026_memberalias.index_stxt_0.txt
26	text	memberalias.index	0	5	STXT	raw_chunks/00026_memberalias.index_5_STXT.bin
31	text	s_urban_bin.props	0	11	STXT	text/00031_s_urban_bin.props_stxt_0.txt
31	text	s_urban_bin.props	0	11	STXT	raw_chunks/00031_s_urban_bin.props_11_STXT.bin
40	palette	s bin2alette	0	38	ALFA	raw_chunks/00040_s_bin2alette_38_ALFA.bin
41	text	s_urban_bin.data	0	10	STXT	text/00041_s_urban_bin.data_stxt_0.txt
41	text	s_urban_bin.data	0	10	STXT	raw_chunks/00041_s_urban_bin.data_10_STXT.bin
44	bitmap	s_urban_bin_a_0_1_1_0_0	0			bitmaps/00044_s_urban_bin_a_0_1_1_0_0.png
44	bitmap	s_urban_bin_a_0_1_1_0_0	0	58	BITD	raw_chunks/00044_s_urban_bin_a_0_1_1_0_0_58_BITD.bin
45	bitmap		0	54	BITD	raw_chunks/00045_member_54_BITD.bin
85	bitmap	s_urban_bin_a_0_1_1_0_1	0			bitmaps/00085_s_urban_bin_a_0_1_1_0_1.png
85	bitmap	s_urban_bin_a_0_1_1_0_1	0	13	BITD	raw_chunks/00085_s_urban_bin_a_0_1_1_0_1_13_BITD.bin
