member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
6	bitmap	s_urban_bsktbll_b_0_1_1_0_0	0			bitmaps/00006_s_urban_bsktbll_b_0_1_1_0_0.png
6	bitmap	s_urban_bsktbll_b_0_1_1_0_0	0	37	ALFA	raw_chunks/00006_s_urban_bsktbll_b_0_1_1_0_0_37_ALFA.bin
6	bitmap	s_urban_bsktbll_b_0_1_1_0_0	0	58	BITD	raw_chunks/00006_s_urban_bsktbll_b_0_1_1_0_0_58_BITD.bin
11	bitmap		0			bitmaps/00011_member.png
11	bitmap		0	56	BITD	raw_chunks/00011_member_56_BITD.bin
13	bitmap	s_urban_bsktbll_b_0_1_1_4_0	0			bitmaps/00013_s_urban_bsktbll_b_0_1_1_4_0.png
13	bitmap	s_urban_bsktbll_b_0_1_1_4_0	0	72	BITD	raw_chunks/00013_s_urban_bsktbll_b_0_1_1_4_0_72_BITD.bin
14	bitmap	s_urban_bsktbll_a_0_1_1_6_0	0			bitmaps/00014_s_urban_bsktbll_a_0_1_1_6_0.png
14	bitmap	s_urban_bsktbll_a_0_1_1_6_0	0	73	BITD	raw_chunks/00014_s_urban_bsktbll_a_0_1_1_6_0_73_BITD.bin
22	text	asset.index	0	30	STXT	text/00022_asset.index_stxt_0.txt
22	text	asset.index	0	30	STXT	raw_chunks/00022_asset.index_30_STXT.bin
28	text	memberalias.index	0	5	STXT	raw_chunks/00028_memberalias.index_5_STXT.bin
45	bitmap	urban_bsktbll_small	0			bitmaps/00045_urban_bsktbll_small.png
45	bitmap	urban_bsktbll_small	0	52	BITD	raw_chunks/00045_urban_bsktbll_small_52_BITD.bin
47	bitmap	s_urban_bsktbll_a_0_1_1_0_0	0			bitmaps/00047_s_urban_bsktbll_a_0_1_1_0_0.png
47	bitmap	s_urban_bsktbll_a_0_1_1_0_0	0	55	BITD	raw_chunks/00047_s_urban_bsktbll_a_0_1_1_0_0_55_BITD.bin
48	bitmap	s_urban_bsktbll_a_0_1_1_2_0	0			bitmaps/00048_s_urban_bsktbll_a_0_1_1_2_0.png
48	bitmap	s_urban_bsktbll_a_0_1_1_2_0	0	62	BITD	raw_chunks/00048_s_urban_bsktbll_a_0_1_1_2_0_62_BITD.bin
54	bitmap	s_urban_bsktbll_a_0_1_1_4_0	0			bitmaps/00054_s_urban_bsktbll_a_0_1_1_4_0.png
54	bitmap	s_urban_bsktbll_a_0_1_1_4_0	0	27	BITD	raw_chunks/00054_s_urban_bsktbll_a_0_1_1_4_0_27_BITD.bin
78	bitmap	s_urban_bsktbll_b_0_1_1_6_0	0			bitmaps/00078_s_urban_bsktbll_b_0_1_1_6_0.png
78	bitmap	s_urban_bsktbll_b_0_1_1_6_0	0	21	BITD	raw_chunks/00078_s_urban_bsktbll_b_0_1_1_6_0_21_BITD.bin
80	bitmap	s_urban_bsktbll_b_0_1_1_2_0	0			bitmaps/00080_s_urban_bsktbll_b_0_1_1_2_0.png
80	bitmap	s_urban_bsktbll_b_0_1_1_2_0	0	71	BITD	raw_chunks/00080_s_urban_bsktbll_b_0_1_1_2_0_71_BITD.bin
85	text	s_urban_bsktbll.props	0	41	STXT	text/00085_s_urban_bsktbll.props_stxt_0.txt
85	text	s_urban_bsktbll.props	0	41	STXT	raw_chunks/00085_s_urban_bsktbll.props_41_STXT.bin
