member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
11	bitmap	s_urban_carsofa_d_0_2_1_6_0	0			bitmaps/00011_s_urban_carsofa_d_0_2_1_6_0.png
11	bitmap	s_urban_carsofa_d_0_2_1_6_0	0	41	BITD	raw_chunks/00011_s_urban_carsofa_d_0_2_1_6_0_41_BITD.bin
12	bitmap	s_urban_carsofa_sd_2	0	43	BITD	raw_chunks/00012_s_urban_carsofa_sd_2_43_BITD.bin
13	bitmap	s_urban_carsofa_d_0_2_1_4_0	0			bitmaps/00013_s_urban_carsofa_d_0_2_1_4_0.png
13	bitmap	s_urban_carsofa_d_0_2_1_4_0	0	45	BITD	raw_chunks/00013_s_urban_carsofa_d_0_2_1_4_0_45_BITD.bin
14	text	s_urban_carsofa.props	0	47	STXT	text/00014_s_urban_carsofa.props_stxt_0.txt
14	text	s_urban_carsofa.props	0	47	STXT	raw_chunks/00014_s_urban_carsofa.props_47_STXT.bin
15	bitmap	md_sofa_small	0	49	BITD	raw_chunks/00015_md_sofa_small_49_BITD.bin
16	palette	icons_special2 Palette	0	51	CLUT	raw_chunks/00016_icons_special2_Palette_51_CLUT.bin
17	text	memberalias.index	0	53	STXT	text/00017_memberalias.index_stxt_0.txt
17	text	memberalias.index	0	53	STXT	raw_chunks/00017_memberalias.index_53_STXT.bin
19	bitmap	s_urban_carsofa_a_0_2_1_2_0	0			bitmaps/00019_s_urban_carsofa_a_0_2_1_2_0.png
19	bitmap	s_urban_carsofa_a_0_2_1_2_0	0	60	BITD	raw_chunks/00019_s_urban_carsofa_a_0_2_1_2_0_60_BITD.bin
20	bitmap	s_urban_carsofa_b_0_2_1_2_0	0			bitmaps/00020_s_urban_carsofa_b_0_2_1_2_0.png
20	bitmap	s_urban_carsofa_b_0_2_1_2_0	0	62	BITD	raw_chunks/00020_s_urban_carsofa_b_0_2_1_2_0_62_BITD.bin
30	bitmap	s_urban_carsofa_c_0_2_1_6_0	0	4	BITD	raw_chunks/00030_s_urban_carsofa_c_0_2_1_6_0_4_BITD.bin
34	bitmap	s_urban_carsofa_sd_2	0			bitmaps/00034_s_urban_carsofa_sd_2.png
34	bitmap	s_urban_carsofa_sd_2	0	72	BITD	raw_chunks/00034_s_urban_carsofa_sd_2_72_BITD.bin
39	bitmap	urban_carsofa_small	0			bitmaps/00039_urban_carsofa_small.png
39	bitmap	urban_carsofa_small	0	69	BITD	raw_chunks/00039_urban_carsofa_small_69_BITD.bin
48	bitmap	s_urban_carsofa_sd_6	0	90	BITD	raw_chunks/00048_s_urban_carsofa_sd_6_90_BITD.bin
55	bitmap	s_urban_carsofa_c_0_2_1_2_0	0			bitmaps/00055_s_urban_carsofa_c_0_2_1_2_0.png
55	bitmap	s_urban_carsofa_c_0_2_1_2_0	0	64	BITD	raw_chunks/00055_s_urban_carsofa_c_0_2_1_2_0_64_BITD.bin
57	bitmap	urban_carsofa_e_0_2_1_6_0	0	89	BITD	raw_chunks/00057_urban_carsofa_e_0_2_1_6_0_89_BITD.bin
68	bitmap	urban_carsofa_a_0_2_1_2_0	0	70	BITD	raw_chunks/00068_urban_carsofa_a_0_2_1_2_0_70_BITD.bin
79	text	asset.index	0	107	STXT	text/00079_asset.index_stxt_0.txt
79	text	asset.index	0	107	STXT	raw_chunks/00079_asset.index_107_STXT.bin
81	bitmap	s_urban_carsofa_b_0_2_1_6_0	0			bitmaps/00081_s_urban_carsofa_b_0_2_1_6_0.png
81	bitmap	s_urban_carsofa_b_0_2_1_6_0	0	116	BITD	raw_chunks/00081_s_urban_carsofa_b_0_2_1_6_0_116_BITD.bin
94	bitmap	s_urban_carsofa_sd_4	0			bitmaps/00094_s_urban_carsofa_sd_4.png
94	bitmap	s_urban_carsofa_sd_4	0	108	BITD	raw_chunks/00094_s_urban_carsofa_sd_4_108_BITD.bin
100	bitmap	s_urban_carsofa_sd_0	0			bitmaps/00100_s_urban_carsofa_sd_0.png
100	bitmap	s_urban_carsofa_sd_0	0	73	BITD	raw_chunks/00100_s_urban_carsofa_sd_0_73_BITD.bin
103	bitmap	s_urban_carsofa_c_0_2_1_6_0	0			bitmaps/00103_s_urban_carsofa_c_0_2_1_6_0.png
103	bitmap	s_urban_carsofa_c_0_2_1_6_0	0	105	BITD	raw_chunks/00103_s_urban_carsofa_c_0_2_1_6_0_105_BITD.bin
117	bitmap	s_urban_carsofa_sd_6	0			bitmaps/00117_s_urban_carsofa_sd_6.png
117	bitmap	s_urban_carsofa_sd_6	0	35	BITD	raw_chunks/00117_s_urban_carsofa_sd_6_35_BITD.bin
124	bitmap	s_urban_carsofa_a_0_2_1_6_0	0			bitmaps/00124_s_urban_carsofa_a_0_2_1_6_0.png
124	bitmap	s_urban_carsofa_a_0_2_1_6_0	0	9	BITD	raw_chunks/00124_s_urban_carsofa_a_0_2_1_6_0_9_BITD.bin
