member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
6	bitmap	exe_corner_a_0_1_1_2_0	0	32	BITD	raw_chunks/00006_exe_corner_a_0_1_1_2_0_32_BITD.bin
7	bitmap	urban_wpost_a_0_1_1_4_0	0	40	BITD	raw_chunks/00007_urban_wpost_a_0_1_1_4_0_40_BITD.bin
22	bitmap	exe_corner_a_0_1_1_4_0	0	12	BITD	raw_chunks/00022_exe_corner_a_0_1_1_4_0_12_BITD.bin
25	text	asset.index	0	33	STXT	text/00025_asset.index_stxt_0.txt
25	text	asset.index	0	33	STXT	raw_chunks/00025_asset.index_33_STXT.bin
26	palette	exe_corner Palette	0	24	CLUT	raw_chunks/00026_exe_corner_Palette_24_CLUT.bin
28	bitmap	exe_corner_a_0_1_1_6_0	0	5	BITD	raw_chunks/00028_exe_corner_a_0_1_1_6_0_5_BITD.bin
29	text	memberalias.index	0	106	STXT	text/00029_memberalias.index_stxt_0.txt
29	text	memberalias.index	0	106	STXT	raw_chunks/00029_memberalias.index_106_STXT.bin
30	bitmap	s_urban_lamp_a_0_1_1_0_0	0	103	BITD	raw_chunks/00030_s_urban_lamp_a_0_1_1_0_0_103_BITD.bin
31	bitmap	exe_cubelight_small	0	36	BITD	raw_chunks/00031_exe_cubelight_small_36_BITD.bin
35	bitmap	exe_corner_a_0_1_1_0_0	0	37	BITD	raw_chunks/00035_exe_corner_a_0_1_1_0_0_37_BITD.bin
42	bitmap	exe_corner_a_0_1_1_0_0	0	46	BITD	raw_chunks/00042_exe_corner_a_0_1_1_0_0_46_BITD.bin
43	bitmap	exe_corner_a_0_1_1_0_0	0	34	BITD	raw_chunks/00043_exe_corner_a_0_1_1_0_0_34_BITD.bin
44	text	s_urban_lamp.data	0	4	STXT	text/00044_s_urban_lamp.data_stxt_0.txt
44	text	s_urban_lamp.data	0	4	STXT	raw_chunks/00044_s_urban_lamp.data_4_STXT.bin
45	bitmap	urban_lamp_small	0	109	BITD	raw_chunks/00045_urban_lamp_small_109_BITD.bin
50	bitmap	exe_corner_a_0_1_1_2_0	0	55	BITD	raw_chunks/00050_exe_corner_a_0_1_1_2_0_55_BITD.bin
52	bitmap	urb_katuvalo	0	83	BITD	raw_chunks/00052_urb_katuvalo_83_BITD.bin
57	bitmap	exe_corner_a_0_1_1_2_0	0	15	BITD	raw_chunks/00057_exe_corner_a_0_1_1_2_0_15_BITD.bin
63	palette	execube Palette	0	86	CLUT	raw_chunks/00063_execube_Palette_86_CLUT.bin
66	bitmap	urban_wpost_small	0	67	BITD	raw_chunks/00066_urban_wpost_small_67_BITD.bin
75	bitmap	urban_lamp_b_0_1_1_4_1	0	104	BITD	raw_chunks/00075_urban_lamp_b_0_1_1_4_1_104_BITD.bin
