index	r	g	b	hex
0	255	255	255	#FFFFFF
1	255	254	228	#FFFEE4
2	255	243	164	#FFF3A4
3	210	210	210	#D2D2D2
4	207	208	209	#CFD0D1
5	216	207	186	#D8CFBA
6	196	197	198	#C4C5C6
7	237	195	141	#EDC38D
8	190	190	190	#BEBEBE
9	218	179	162	#DAB3A2
10	183	184	184	#B7B8B8
11	208	187	144	#D0BB90
12	255	155	102	#FF9B66
13	208	161	142	#D0A18E
14	212	159	134	#D49F86
15	231	151	118	#E79776
16	192	157	142	#C09D8E
17	187	153	139	#BB998B
18	157	157	159	#9D9D9F
19	184	150	136	#B89688
20	158	157	153	#9E9D99
21	171	157	128	#AB9D80
22	141	153	159	#8D999F
23	150	150	150	#969696
24	184	141	124	#B88D7C
25	168	145	135	#A89187
26	213	128	101	#D58065
27	134	150	157	#86969D
28	179	138	121	#B38A79
29	136	152	149	#889895
30	136	147	149	#889395
31	176	135	118	#B08776
32	110	147	170	#6E93AA
33	135	146	145	#879291
34	149	149	124	#95957C
35	136	136	149	#888895
36	134	135	145	#868791
37	123	139	145	#7B8B91
38	113	139	151	#718B97
39	201	110	91	#C96E5B
40	203	161	32	#CBA120
41	149	128	117	#958075
42	155	123	111	#9B7B6F
43	121	134	134	#798686
44	99	134	156	#63869C
45	100	134	149	#648695
46	144	123	115	#907B73
47	110	128	144	#6E8090
48	176	131	73	#B08349
49	128	128	124	#80807C
50	128	127	125	#807F7D
51	176	115	84	#B07354
52	142	121	112	#8E7970
53	133	134	107	#85866B
54	134	126	111	#867E6F
55	91	133	147	#5B8593
56	102	124	139	#667C8B
57	123	122	119	#7B7A77
58	134	129	99	#868163
59	133	122	107	#857A6B
60	121	119	117	#797775
61	90	123	142	#5A7B8E
62	83	122	150	#537A96
63	106	122	126	#6A7A7E
64	107	122	124	#6B7A7C
65	130	119	102	#827766
66	83	138	128	#538A80
67	104	122	122	#687A7A
68	167	96	84	#A76054
69	156	126	65	#9C7E41
70	142	123	80	#8E7B50
71	104	118	122	#68767A
72	62	164	117	#3EA475
73	133	102	107	#85666B
74	136	107	96	#886B60
75	104	111	122	#686F7A
76	121	118	97	#797661
77	133	105	94	#85695E
78	99	115	118	#637376
79	79	130	121	#4F8279
80	116	106	105	#746A69
81	95	113	119	#5F7177
82	74	141	110	#4A8D6E
83	130	102	91	#82665B
84	88	108	121	#586C79
85	90	107	113	#5A6B71
86	113	106	90	#716A5A
87	155	80	71	#9B5047
88	60	97	123	#3C617B
89	104	96	79	#68604F
90	96	88	92	#60585C
91	85	88	100	#555864
92	73	95	104	#495F68
93	73	94	104	#495E68
94	71	95	105	#475F69
95	73	93	104	#495D68
96	82	85	100	#525564
97	128	80	58	#80503A
98	71	93	102	#475D66
99	68	93	105	#445D69
100	68	90	100	#445A64
101	115	74	67	#734A43
102	47	94	106	#2F5E6A
103	91	76	76	#5B4C4C
104	67	82	90	#43525A
