index	r	g	b	hex
0	255	255	255	#FFFFFF
1	239	234	232	#EFEAE8
2	208	202	200	#D0CAC8
3	193	193	192	#C1C1C0
4	173	177	194	#ADB1C2
5	178	178	178	#B2B2B2
6	203	156	144	#CB9C90
7	165	165	165	#A5A5A5
8	125	214	150	#7DD696
9	163	163	161	#A3A3A1
10	152	153	159	#98999F
11	189	141	129	#BD8D81
12	152	152	150	#989896
13	137	140	154	#898C9A
14	141	141	139	#8D8D8B
15	136	137	144	#888990
16	138	138	140	#8A8A8C
17	134	134	133	#868685
18	176	117	102	#B07566
19	127	127	131	#7F7F83
20	121	124	139	#797C8B
21	127	127	128	#7F7F80
22	94	164	114	#5EA472
23	163	108	95	#A36C5F
24	121	121	124	#79797C
25	121	121	119	#797977
26	113	116	132	#717484
27	112	115	130	#707382
28	116	116	115	#747473
29	86	148	104	#569468
30	113	113	111	#71716F
31	112	112	110	#70706E
32	108	109	111	#6C6D6F
33	108	108	111	#6C6C6F
34	106	106	109	#6A6A6D
35	107	107	105	#6B6B69
36	99	102	117	#636675
37	140	93	80	#8C5D50
38	122	98	93	#7A625D
39	77	135	95	#4D875F
40	102	102	100	#666664
41	134	89	77	#86594D
42	93	96	111	#5D606F
43	100	100	99	#646463
44	90	93	109	#5A5D6D
45	90	93	108	#5A5D6C
46	94	94	93	#5E5E5D
47	92	92	94	#5C5C5E
48	93	93	91	#5D5D5B
49	110	85	81	#6E5551
50	105	82	86	#695256
51	89	90	91	#595A5B
52	90	90	89	#5A5A59
53	88	88	87	#585857
54	80	83	99	#505363
55	80	83	98	#505362
56	86	87	87	#565757
57	85	85	89	#555559
58	77	80	95	#4D505F
59	84	84	83	#545453
60	72	75	90	#484B5A
61	71	74	90	#474A5A
62	90	68	72	#5A4448
63	70	73	87	#464957
64	76	76	75	#4C4C4B
65	99	66	57	#634239
66	66	69	85	#424555
67	65	68	84	#414454
68	56	92	68	#385C44
69	63	66	82	#3F4252
70	69	69	72	#454548
71	61	64	79	#3D404F
72	59	63	82	#3B3F52
73	60	63	79	#3C3F4F
74	88	59	52	#583B34
75	58	61	77	#3A3D4D
76	79	57	58	#4F393A
77	64	64	65	#404041
78	57	60	76	#393C4C
79	57	60	75	#393C4B
80	73	57	60	#49393C
81	83	55	48	#533730
82	53	56	71	#353847
83	58	59	60	#3A3B3C
84	76	51	45	#4C332D
85	63	47	50	#3F2F32
86	46	49	64	#2E3140
87	44	46	60	#2C2E3C
88	42	45	61	#2A2D3D
89	48	48	50	#303032
90	41	44	59	#292C3B
91	39	43	62	#272B3E
92	41	44	57	#292C39
93	40	43	59	#282B3B
94	41	43	57	#292B39
95	57	39	43	#39272B
96	39	42	57	#272A39
97	55	40	40	#372828
98	37	40	55	#252837
99	53	37	41	#352529
100	32	36	56	#202438
101	32	35	48	#202330
102	37	37	39	#252527
103	42	30	35	#2A1E23
104	41	29	34	#291D22
105	27	30	43	#1B1E2B
106	26	29	45	#1A1D2D
107	26	29	44	#1A1D2C
108	22	25	39	#161927
109	20	22	36	#141624
110	20	22	35	#141623
111	26	19	26	#1A131A
112	13	16	29	#0D101D
113	11	15	29	#0B0F1D
114	15	15	15	#0F0F0F
115	8	10	20	#080A14
116	10	10	10	#0A0A0A
117	4	4	4	#040404
118	0	0	0	#000000
119	0	0	0	#000000
120	0	0	0	#000000
121	0	0	0	#000000
122	0	0	0	#000000
123	0	0	0	#000000
124	0	0	0	#000000
125	0	0	0	#000000
126	0	0	0	#000000
127	0	0	0	#000000
128	0	0	0	#000000
129	0	0	0	#000000
130	0	0	0	#000000
131	0	0	0	#000000
132	0	0	0	#000000
133	0	0	0	#000000
134	0	0	0	#000000
135	0	0	0	#000000
136	0	0	0	#000000
137	0	0	0	#000000
138	0	0	0	#000000
139	0	0	0	#000000
140	0	0	0	#000000
141	0	0	0	#000000
142	0	0	0	#000000
143	0	0	0	#000000
144	0	0	0	#000000
145	0	0	0	#000000
146	0	0	0	#000000
147	0	0	0	#000000
148	0	0	0	#000000
149	0	0	0	#000000
150	0	0	0	#000000
151	0	0	0	#000000
152	0	0	0	#000000
153	0	0	0	#000000
154	0	0	0	#000000
155	0	0	0	#000000
156	0	0	0	#000000
157	0	0	0	#000000
158	0	0	0	#000000
159	0	0	0	#000000
160	0	0	0	#000000
161	0	0	0	#000000
162	0	0	0	#000000
163	0	0	0	#000000
164	0	0	0	#000000
165	0	0	0	#000000
166	0	0	0	#000000
167	0	0	0	#000000
168	0	0	0	#000000
169	0	0	0	#000000
170	0	0	0	#000000
171	0	0	0	#000000
172	0	0	0	#000000
173	0	0	0	#000000
174	0	0	0	#000000
175	0	0	0	#000000
176	0	0	0	#000000
177	0	0	0	#000000
178	0	0	0	#000000
179	0	0	0	#000000
180	0	0	0	#000000
181	0	0	0	#000000
182	0	0	0	#000000
183	0	0	0	#000000
184	0	0	0	#000000
185	0	0	0	#000000
186	0	0	0	#000000
187	0	0	0	#000000
188	0	0	0	#000000
189	0	0	0	#000000
190	0	0	0	#000000
191	0	0	0	#000000
192	0	0	0	#000000
193	0	0	0	#000000
194	0	0	0	#000000
195	0	0	0	#000000
196	0	0	0	#000000
197	0	0	0	#000000
198	0	0	0	#000000
199	0	0	0	#000000
200	0	0	0	#000000
201	0	0	0	#000000
202	0	0	0	#000000
203	0	0	0	#000000
204	0	0	0	#000000
205	0	0	0	#000000
206	0	0	0	#000000
207	0	0	0	#000000
208	0	0	0	#000000
209	0	0	0	#000000
210	0	0	0	#000000
211	0	0	0	#000000
212	0	0	0	#000000
213	0	0	0	#000000
214	0	0	0	#000000
215	0	0	0	#000000
216	0	0	0	#000000
217	0	0	0	#000000
218	0	0	0	#000000
219	0	0	0	#000000
220	0	0	0	#000000
221	0	0	0	#000000
222	0	0	0	#000000
223	0	0	0	#000000
224	0	0	0	#000000
225	0	0	0	#000000
226	0	0	0	#000000
227	0	0	0	#000000
228	0	0	0	#000000
229	0	0	0	#000000
230	0	0	0	#000000
231	0	0	0	#000000
232	0	0	0	#000000
233	0	0	0	#000000
234	0	0	0	#000000
235	0	0	0	#000000
236	0	0	0	#000000
237	0	0	0	#000000
238	0	0	0	#000000
239	0	0	0	#000000
240	0	0	0	#000000
241	0	0	0	#000000
242	0	0	0	#000000
243	0	0	0	#000000
244	0	0	0	#000000
245	0	0	0	#000000
246	221	221	221	#DDDDDD
247	187	187	187	#BBBBBB
248	170	170	170	#AAAAAA
249	136	136	136	#888888
250	119	119	119	#777777
251	85	85	85	#555555
252	68	68	68	#444444
253	34	34	34	#222222
254	17	17	17	#111111
255	0	0	0	#000000
