member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
7	bitmap		0	46	BITD	raw_chunks/00007_member_46_BITD.bin
25	text	asset.index	0	33	STXT	text/00025_asset.index_stxt_0.txt
25	text	asset.index	0	33	STXT	raw_chunks/00025_asset.index_33_STXT.bin
28	bitmap	urban_blocker_small	0			bitmaps/00028_urban_blocker_small.png
28	bitmap	urban_blocker_small	0	52	BITD	raw_chunks/00028_urban_blocker_small_52_BITD.bin
29	text	memberalias.index	0	30	STXT	text/00029_memberalias.index_stxt_0.txt
29	text	memberalias.index	0	30	STXT	raw_chunks/00029_memberalias.index_30_STXT.bin
45	bitmap		0			bitmaps/00045_member.png
45	bitmap		0	60	BITD	raw_chunks/00045_member_60_BITD.bin
47	bitmap	urban_blocker_a_0_1_1_0_0	0			bitmaps/00047_urban_blocker_a_0_1_1_0_0.png
47	bitmap	urban_blocker_a_0_1_1_0_0	0	57	BITD	raw_chunks/00047_urban_blocker_a_0_1_1_0_0_57_BITD.bin
62	bitmap	urban_blocker_sd_0	0			bitmaps/00062_urban_blocker_sd_0.png
62	bitmap	urban_blocker_sd_0	0	66	BITD	raw_chunks/00062_urban_blocker_sd_0_66_BITD.bin
