index	r	g	b	hex
0	255	255	255	#FFFFFF
1	205	192	192	#CDC0C0
2	9	125	52	#097D34
3	25	128	56	#198038
4	17	117	45	#11752D
5	19	120	47	#13782F
6	20	122	48	#147A30
7	15	111	41	#0F6F29
8	17	114	43	#11722B
9	29	117	48	#1D7530
10	78	167	95	#4EA75F
11	81	154	85	#519A55
12	0	42	0	#002A00
13	138	196	135	#8AC487
14	23	91	0	#175B00
15	140	184	124	#8CB87C
16	68	147	28	#44931C
17	119	207	74	#77CF4A
18	87	137	56	#578938
19	175	255	127	#AFFF7F
20	93	160	41	#5DA029
21	115	151	72	#739748
22	147	210	43	#93D22B
23	244	255	59	#F4FF3B
24	246	255	123	#F6FF7B
25	252	255	214	#FCFFD6
26	253	247	201	#FDF7C9
27	206	198	156	#CEC69C
28	252	203	0	#FCCB00
29	173	140	18	#AD8C12
30	173	141	19	#AD8D13
31	176	141	20	#B08D14
32	173	140	20	#AD8C14
33	175	141	21	#AF8D15
34	178	141	15	#B28D0F
35	176	140	19	#B08C13
36	254	225	160	#FEE1A0
37	233	204	152	#E9CC98
38	255	215	151	#FFD797
39	81	46	0	#512E00
40	80	45	0	#502D00
41	79	46	0	#4F2E00
42	204	183	154	#CCB79A
43	108	60	0	#6C3C00
44	81	45	0	#512D00
45	78	43	0	#4E2B00
46	255	137	0	#FF8900
47	112	58	0	#703A00
48	110	57	0	#6E3900
49	79	42	0	#4F2A00
50	136	85	29	#88551D
51	194	138	75	#C28A4B
52	112	57	0	#703900
53	85	38	0	#552600
54	197	82	0	#C55200
55	255	156	100	#FF9C64
56	255	146	92	#FF925C
57	255	172	135	#FFAC87
58	255	160	124	#FFA07C
59	255	76	27	#FF4C1B
60	255	124	91	#FF7C5B
61	255	34	0	#FF2200
62	255	15	0	#FF0F00
63	243	12	0	#F30C00
64	255	0	0	#FF0000
65	212	0	0	#D40000
66	40	0	0	#280000
67	0	0	0	#000000
68	0	0	0	#000000
69	0	0	0	#000000
70	0	0	0	#000000
71	0	0	0	#000000
72	0	0	0	#000000
73	0	0	0	#000000
74	0	0	0	#000000
75	0	0	0	#000000
76	0	0	0	#000000
77	0	0	0	#000000
78	0	0	0	#000000
79	0	0	0	#000000
80	0	0	0	#000000
81	0	0	0	#000000
82	0	0	0	#000000
83	0	0	0	#000000
84	0	0	0	#000000
85	0	0	0	#000000
86	0	0	0	#000000
87	0	0	0	#000000
88	0	0	0	#000000
89	0	0	0	#000000
90	0	0	0	#000000
91	0	0	0	#000000
92	0	0	0	#000000
93	0	0	0	#000000
94	0	0	0	#000000
95	0	0	0	#000000
96	0	0	0	#000000
97	0	0	0	#000000
98	0	0	0	#000000
99	0	0	0	#000000
100	0	0	0	#000000
101	0	0	0	#000000
102	0	0	0	#000000
103	0	0	0	#000000
104	0	0	0	#000000
105	0	0	0	#000000
106	0	0	0	#000000
107	0	0	0	#000000
108	0	0	0	#000000
109	0	0	0	#000000
110	0	0	0	#000000
111	0	0	0	#000000
112	0	0	0	#000000
113	0	0	0	#000000
114	0	0	0	#000000
115	0	0	0	#000000
116	0	0	0	#000000
117	0	0	0	#000000
118	0	0	0	#000000
119	0	0	0	#000000
120	0	0	0	#000000
121	0	0	0	#000000
122	0	0	0	#000000
123	0	0	0	#000000
124	0	0	0	#000000
125	0	0	0	#000000
126	0	0	0	#000000
127	0	0	0	#000000
128	0	0	0	#000000
129	0	0	0	#000000
