member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
11	bitmap	urban_fence_corner_small	0			bitmaps/00011_urban_fence_corner_small.png
11	bitmap	urban_fence_corner_small	0	7	BITD	raw_chunks/00011_urban_fence_corner_small_7_BITD.bin
25	text	asset.index	0	54	STXT	text/00025_asset.index_stxt_0.txt
25	text	asset.index	0	54	STXT	raw_chunks/00025_asset.index_54_STXT.bin
26	bitmap	urban_fence_corner_b_0_1_1_0_0	0			bitmaps/00026_urban_fence_corner_b_0_1_1_0_0.png
26	bitmap	urban_fence_corner_b_0_1_1_0_0	0	23	BITD	raw_chunks/00026_urban_fence_corner_b_0_1_1_0_0_23_BITD.bin
30	bitmap	urban_fence_corner_a_0_1_1_6_0	0			bitmaps/00030_urban_fence_corner_a_0_1_1_6_0.png
30	bitmap	urban_fence_corner_a_0_1_1_6_0	0	67	BITD	raw_chunks/00030_urban_fence_corner_a_0_1_1_6_0_67_BITD.bin
60	bitmap	urban_fence_corner_a_0_1_1_4_0	0			bitmaps/00060_urban_fence_corner_a_0_1_1_4_0.png
60	bitmap	urban_fence_corner_a_0_1_1_4_0	0	27	BITD	raw_chunks/00060_urban_fence_corner_a_0_1_1_4_0_27_BITD.bin
68	bitmap	urban_fence_corner_b_0_1_1_2_0	0			bitmaps/00068_urban_fence_corner_b_0_1_1_2_0.png
68	bitmap	urban_fence_corner_b_0_1_1_2_0	0	81	BITD	raw_chunks/00068_urban_fence_corner_b_0_1_1_2_0_81_BITD.bin
71	bitmap		0			bitmaps/00071_member.png
71	bitmap		0	99	BITD	raw_chunks/00071_member_99_BITD.bin
75	text	urban_fence_corner.props	0	32	STXT	text/00075_urban_fence_corner.props_stxt_0.txt
75	text	urban_fence_corner.props	0	32	STXT	raw_chunks/00075_urban_fence_corner.props_32_STXT.bin
79	bitmap	urban_fence_corner_a_0_1_1_0_0	0			bitmaps/00079_urban_fence_corner_a_0_1_1_0_0.png
79	bitmap	urban_fence_corner_a_0_1_1_0_0	0	55	BITD	raw_chunks/00079_urban_fence_corner_a_0_1_1_0_0_55_BITD.bin
80	bitmap	urban_fence_corner_b_0_1_1_6_0	0			bitmaps/00080_urban_fence_corner_b_0_1_1_6_0.png
80	bitmap	urban_fence_corner_b_0_1_1_6_0	0	95	BITD	raw_chunks/00080_urban_fence_corner_b_0_1_1_6_0_95_BITD.bin
82	bitmap		0	41	BITD	raw_chunks/00082_member_41_BITD.bin
88	bitmap	urban_fence_corner_a_0_1_1_2_0	0			bitmaps/00088_urban_fence_corner_a_0_1_1_2_0.png
88	bitmap	urban_fence_corner_a_0_1_1_2_0	0	76	BITD	raw_chunks/00088_urban_fence_corner_a_0_1_1_2_0_76_BITD.bin
90	bitmap	urban_fence_corner_b_0_1_1_4_0	0			bitmaps/00090_urban_fence_corner_b_0_1_1_4_0.png
90	bitmap	urban_fence_corner_b_0_1_1_4_0	0	93	BITD	raw_chunks/00090_urban_fence_corner_b_0_1_1_4_0_93_BITD.bin
