member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
24	text	urban_wall.props	0	9	STXT	text/00024_urban_wall.props_stxt_0.txt
24	text	urban_wall.props	0	9	STXT	raw_chunks/00024_urban_wall.props_9_STXT.bin
25	text	asset.index	0	33	STXT	text/00025_asset.index_stxt_0.txt
25	text	asset.index	0	33	STXT	raw_chunks/00025_asset.index_33_STXT.bin
39	bitmap	leftwall urban_wall_a_0	0			bitmaps/00039_leftwall_urban_wall_a_0.png
39	bitmap	leftwall urban_wall_a_0	0	59	BITD	raw_chunks/00039_leftwall_urban_wall_a_0_59_BITD.bin
45	bitmap	leftwall urban_wall_b_0	0			bitmaps/00045_leftwall_urban_wall_b_0.png
45	bitmap	leftwall urban_wall_b_0	0	65	BITD	raw_chunks/00045_leftwall_urban_wall_b_0_65_BITD.bin
55	bitmap	leftwall urban_wall_b_1	0			bitmaps/00055_leftwall_urban_wall_b_1.png
55	bitmap	leftwall urban_wall_b_1	0	21	BITD	raw_chunks/00055_leftwall_urban_wall_b_1_21_BITD.bin
56	bitmap	urban_wall_small	0			bitmaps/00056_urban_wall_small.png
56	bitmap	urban_wall_small	0	23	BITD	raw_chunks/00056_urban_wall_small_23_BITD.bin
62	bitmap	leftwall lc_wall1_a_0	0	73	BITD	raw_chunks/00062_leftwall_lc_wall1_a_0_73_BITD.bin
69	text	urban_wall.data	0	11	STXT	text/00069_urban_wall.data_stxt_0.txt
69	text	urban_wall.data	0	11	STXT	raw_chunks/00069_urban_wall.data_11_STXT.bin
72	bitmap	leftwall urban_wall_b_3	0			bitmaps/00072_leftwall_urban_wall_b_3.png
72	bitmap	leftwall urban_wall_b_3	0	27	BITD	raw_chunks/00072_leftwall_urban_wall_b_3_27_BITD.bin
76	bitmap	leftwall urban_wall_b_4	0			bitmaps/00076_leftwall_urban_wall_b_4.png
76	bitmap	leftwall urban_wall_b_4	0	79	BITD	raw_chunks/00076_leftwall_urban_wall_b_4_79_BITD.bin
90	bitmap	leftwall urban_wall_b_2	0			bitmaps/00090_leftwall_urban_wall_b_2.png
90	bitmap	leftwall urban_wall_b_2	0	81	BITD	raw_chunks/00090_leftwall_urban_wall_b_2_81_BITD.bin
92	text	memberalias.index	0	84	STXT	text/00092_memberalias.index_stxt_0.txt
92	text	memberalias.index	0	84	STXT	raw_chunks/00092_memberalias.index_84_STXT.bin
