index	r	g	b	hex
0	255	255	255	#FFFFFF
1	14	13	14	#0E0D0E
2	18	17	18	#121112
3	22	21	22	#161516
4	32	31	32	#201F20
5	48	47	48	#302F30
6	54	53	54	#363536
7	78	77	78	#4E4D4E
8	72	71	72	#484748
9	66	65	66	#424142
10	118	117	118	#767576
11	104	103	104	#686768
12	98	97	98	#626162
13	91	90	91	#5B5A5B
14	246	245	246	#F6F5F6
15	242	241	242	#F2F1F2
16	224	223	224	#E0DFE0
17	208	207	208	#D0CFD0
18	202	201	202	#CAC9CA
19	196	195	196	#C4C3C4
20	190	189	190	#BEBDBE
21	184	183	184	#B8B7B8
22	178	177	178	#B2B1B2
23	158	157	158	#9E9D9E
24	138	137	138	#8A898A
25	9	9	10	#09090A
26	13	13	14	#0D0D0E
27	17	17	18	#111112
28	31	31	32	#1F1F20
29	47	47	48	#2F2F30
30	59	59	60	#3B3B3C
31	53	53	54	#353536
32	71	71	72	#474748
33	65	65	66	#414142
34	117	117	118	#757576
35	97	97	98	#616162
36	245	245	246	#F5F5F6
37	241	241	242	#F1F1F2
38	237	237	238	#EDEDEE
39	223	223	224	#DFDFE0
40	218	218	219	#DADADB
41	207	207	208	#CFCFD0
42	201	201	202	#C9C9CA
43	189	189	190	#BDBDBE
44	183	183	184	#B7B7B8
45	177	177	178	#B1B1B2
46	157	157	158	#9D9D9E
47	151	151	152	#979798
48	144	144	145	#909091
49	137	137	138	#89898A
50	18	20	21	#121415
51	171	175	176	#ABAFB0
52	0	89	101	#005965
53	0	73	84	#004954
54	0	72	83	#004853
55	0	127	143	#007F8F
56	0	171	187	#00ABBB
57	0	81	86	#005156
58	0	117	122	#00757A
59	0	116	121	#007479
60	0	2	2	#000202
61	9	10	10	#090A0A
62	13	14	14	#0D0E0E
63	17	18	18	#111212
64	31	32	32	#1F2020
65	41	42	42	#292A2A
66	47	48	48	#2F3030
67	53	54	54	#353636
68	77	78	78	#4D4E4E
69	103	104	104	#676868
70	245	246	246	#F5F6F6
71	241	242	242	#F1F2F2
72	237	238	238	#EDEEEE
73	223	224	224	#DFE0E0
74	201	202	202	#C9CACA
75	195	196	196	#C3C4C4
76	189	190	190	#BDBEBE
77	183	184	184	#B7B8B8
78	177	178	178	#B1B2B2
79	157	158	158	#9D9E9E
80	151	152	152	#979898
81	137	138	138	#898A8A
82	9	10	9	#090A09
83	17	18	17	#111211
84	31	32	31	#1F201F
85	47	48	47	#2F302F
86	59	60	59	#3B3C3B
87	53	54	53	#353635
88	77	78	77	#4D4E4D
89	71	72	71	#474847
90	65	66	65	#414241
91	117	118	117	#757675
92	110	111	110	#6E6F6E
93	97	98	97	#616261
94	245	246	245	#F5F6F5
95	241	242	241	#F1F2F1
96	237	238	237	#EDEEED
97	207	208	207	#CFD0CF
98	201	202	201	#C9CAC9
99	183	184	183	#B7B8B7
100	177	178	177	#B1B2B1
101	151	152	151	#979897
102	137	138	137	#898A89
103	86	95	75	#565F4B
104	87	95	76	#575F4C
105	185	190	176	#B9BEB0
106	87	94	73	#575E49
107	137	142	127	#898E7F
108	89	95	75	#595F4B
109	187	191	178	#BBBFB2
110	88	94	73	#585E49
111	87	93	72	#575D48
112	139	143	128	#8B8F80
113	137	141	127	#898D7F
114	90	95	75	#5A5F4B
115	90	95	76	#5A5F4C
116	140	144	128	#8C9080
117	139	143	127	#8B8F7F
118	140	143	128	#8C8F80
119	138	141	127	#8A8D7F
120	140	143	127	#8C8F7F
121	10	10	9	#0A0A09
122	14	14	13	#0E0E0D
123	18	18	17	#121211
124	32	32	31	#20201F
125	48	48	47	#30302F
126	54	54	53	#363635
127	78	78	77	#4E4E4D
128	72	72	71	#484847
129	66	66	65	#424241
130	104	104	103	#686867
131	246	246	245	#F6F6F5
132	238	238	237	#EEEEED
133	224	224	223	#E0E0DF
134	208	208	207	#D0D0CF
135	202	202	201	#CACAC9
136	196	196	195	#C4C4C3
137	190	190	189	#BEBEBD
138	184	184	183	#B8B8B7
139	178	178	177	#B2B2B1
140	158	158	157	#9E9E9D
141	138	138	137	#8A8A89
142	75	74	45	#4B4A2D
143	75	74	46	#4B4A2E
144	120	119	101	#787765
145	121	120	103	#797867
146	120	119	102	#787766
147	119	118	101	#777665
148	119	118	102	#777666
149	118	117	101	#767565
150	75	73	45	#4B492D
151	64	54	8	#403608
152	62	51	6	#3E3306
153	63	53	8	#3F3508
154	79	71	37	#4F4725
155	88	74	22	#584A16
156	81	72	37	#514825
157	80	71	37	#504725
158	81	72	38	#514826
159	64	51	8	#403308
160	162	126	28	#A27E1C
161	120	99	43	#78632B
162	119	99	43	#77632B
163	120	100	44	#78642C
164	167	153	113	#A79971
165	174	129	20	#AE8114
166	174	132	22	#AE8416
167	203	157	42	#CB9D2A
168	204	158	44	#CC9E2C
169	212	164	48	#D4A430
170	120	99	44	#78632C
171	213	162	45	#D5A22D
172	212	161	45	#D4A12D
173	212	163	48	#D4A330
174	204	167	83	#CCA753
175	71	45	0	#472D00
176	72	45	0	#482D00
177	10	9	9	#0A0909
178	14	13	13	#0E0D0D
179	18	17	17	#121111
180	32	31	31	#201F1F
181	48	47	47	#302F2F
182	60	59	59	#3C3B3B
183	54	53	53	#363535
184	78	77	77	#4E4D4D
185	72	71	71	#484747
186	66	65	65	#424141
187	118	117	117	#767575
188	98	97	97	#626161
189	242	241	241	#F2F1F1
190	238	237	237	#EEEDED
191	224	223	223	#E0DFDF
192	214	213	213	#D6D5D5
193	208	207	207	#D0CFCF
194	190	189	189	#BEBDBD
195	184	183	183	#B8B7B7
196	178	177	177	#B2B1B1
197	152	151	151	#989797
198	138	137	137	#8A8989
199	10	9	10	#0A090A
200	252	252	252	#FCFCFC
201	249	249	249	#F9F9F9
202	245	245	245	#F5F5F5
203	242	242	242	#F2F2F2
204	241	241	241	#F1F1F1
205	237	237	237	#EDEDED
206	233	233	233	#E9E9E9
207	228	228	228	#E4E4E4
208	224	224	224	#E0E0E0
209	223	223	223	#DFDFDF
210	213	213	213	#D5D5D5
