member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
4	bitmap	wii_a_0_1_1_4_0	0			bitmaps/00004_wii_a_0_1_1_4_0.png
4	bitmap	wii_a_0_1_1_4_0	0	22	BITD	raw_chunks/00004_wii_a_0_1_1_4_0_22_BITD.bin
6	text	wii.props	0	24	STXT	text/00006_wii.props_stxt_0.txt
6	text	wii.props	0	24	STXT	raw_chunks/00006_wii.props_24_STXT.bin
7	bitmap	tree1_sd	0			bitmaps/00007_tree1_sd.png
7	bitmap	tree1_sd	0	25	BITD	raw_chunks/00007_tree1_sd_25_BITD.bin
8	bitmap	wii_small	0			bitmaps/00008_wii_small.png
8	bitmap	wii_small	0	26	BITD	raw_chunks/00008_wii_small_26_BITD.bin
10	text	memberalias.index	0	28	STXT	text/00010_memberalias.index_stxt_0.txt
10	text	memberalias.index	0	28	STXT	raw_chunks/00010_memberalias.index_28_STXT.bin
11	bitmap	wii_a_0_1_1_6_0	0			bitmaps/00011_wii_a_0_1_1_6_0.png
11	bitmap	wii_a_0_1_1_6_0	0	29	BITD	raw_chunks/00011_wii_a_0_1_1_6_0_29_BITD.bin
