index	r	g	b	hex
0	255	255	255	#FFFFFF
1	255	255	255	#FFFFFF
2	224	11	13	#E00B0D
3	194	17	20	#C21114
4	186	24	27	#BA181B
5	138	25	28	#8A191C
6	184	0	11	#B8000B
7	252	93	101	#FC5D65
8	190	0	21	#BE0015
9	196	1	24	#C40118
10	95	7	21	#5F0715
11	246	199	206	#F6C7CE
12	233	3	45	#E9032D
13	198	10	46	#C60A2E
14	152	6	44	#98062C
15	254	118	157	#FE769D
16	254	2	105	#FE0269
17	37	8	20	#250814
18	255	51	152	#FF3398
19	147	27	93	#931B5D
20	189	186	188	#BDBABC
21	136	78	148	#884E94
22	180	55	210	#B437D2
23	197	71	226	#C547E2
24	215	87	243	#D757F3
25	137	27	172	#891BAC
26	46	11	60	#2E0B3C
27	219	173	253	#DBADFD
28	234	223	242	#EADFF2
29	71	19	117	#471375
30	165	125	253	#A57DFD
31	228	227	233	#E4E3E9
32	189	188	201	#BDBCC9
33	1	1	3	#010103
34	234	234	236	#EAEAEC
35	102	102	103	#666667
36	249	249	250	#F9F9FA
37	231	231	232	#E7E7E8
38	221	221	222	#DDDDDE
39	215	215	216	#D7D7D8
40	167	167	168	#A7A7A8
41	80	81	104	#505168
42	195	196	205	#C3C4CD
43	148	150	160	#9496A0
44	132	133	138	#84858A
45	244	245	250	#F4F5FA
46	49	51	59	#31333B
47	0	8	39	#000827
48	249	250	253	#F9FAFD
49	5	7	12	#05070C
50	204	205	207	#CCCDCF
51	105	114	130	#697282
52	149	163	180	#95A3B4
53	236	238	240	#ECEEF0
54	176	177	178	#B0B1B2
55	153	205	255	#99CDFF
56	1	58	104	#013A68
57	165	178	187	#A5B2BB
58	59	71	78	#3B474E
59	19	48	63	#13303F
60	223	225	226	#DFE1E2
61	250	253	254	#FAFDFE
62	90	181	202	#5AB5CA
63	245	251	252	#F5FBFC
64	52	149	162	#3495A2
65	183	234	237	#B7EAED
66	0	153	153	#009999
67	0	1	1	#000101
68	103	153	152	#679998
69	153	206	205	#99CECD
70	84	116	114	#547472
71	225	248	245	#E1F8F5
72	222	237	235	#DEEDEB
73	56	104	96	#386860
74	192	214	210	#C0D6D2
75	218	234	227	#DAEAE3
76	214	227	221	#D6E3DD
77	2	55	29	#02371D
78	20	22	21	#141615
79	239	247	243	#EFF7F3
80	4	135	59	#04873B
81	185	199	191	#B9C7BF
82	2	181	67	#02B543
83	10	30	17	#0A1E11
84	1	19	7	#011307
85	14	107	45	#0E6B2D
86	8	79	29	#084F1D
87	0	5	1	#000501
88	4	111	18	#046F12
89	3	39	5	#032705
90	10	143	9	#0A8F09
91	1	11	1	#010B01
92	42	68	42	#2A442A
93	85	86	85	#555655
94	156	157	156	#9C9D9C
95	7	75	3	#074B03
96	2	17	0	#021100
97	113	173	101	#71AD65
98	103	255	50	#67FF32
99	8	24	1	#081801
100	53	104	32	#356820
101	79	131	56	#4F8338
102	66	147	28	#42931C
103	115	206	69	#73CE45
104	100	177	58	#64B13A
105	35	70	9	#234609
106	21	40	6	#152806
107	51	108	3	#336C03
108	155	231	89	#9BE759
109	4	5	3	#040503
110	68	69	67	#444543
111	153	204	51	#99CC33
112	104	144	6	#689006
113	196	242	1	#C4F201
114	125	145	39	#7D9127
115	145	170	9	#91AA09
116	174	176	161	#AEB0A1
117	89	100	5	#596405
118	42	43	24	#2A2B18
119	8	8	3	#080803
120	255	255	233	#FFFFE9
121	255	255	243	#FFFFF3
122	251	251	250	#FBFBFA
123	228	228	227	#E4E4E3
124	200	198	129	#C8C681
125	246	243	194	#F6F3C2
126	86	81	31	#56511F
127	162	152	79	#A2984F
128	208	180	4	#D0B404
129	253	212	51	#FDD433
130	252	197	17	#FCC511
131	253	232	165	#FDE8A5
132	73	55	12	#49370C
133	147	103	2	#936702
134	113	110	103	#716E67
135	234	176	64	#EAB040
136	144	112	49	#907031
137	207	163	75	#CFA34B
138	229	185	99	#E5B963
139	253	208	116	#FDD074
140	16	14	10	#100E0A
141	92	81	60	#5C513C
142	216	212	204	#D8D4CC
143	235	164	38	#EBA426
144	250	187	71	#FABB47
145	189	142	57	#BD8E39
146	252	155	0	#FC9B00
147	192	124	8	#C07C08
148	226	152	30	#E2981E
149	50	32	5	#322005
150	204	134	29	#CC861D
151	224	156	56	#E09C38
152	119	88	40	#775828
153	163	152	135	#A39887
154	35	24	9	#231809
155	198	178	150	#C6B296
156	241	138	7	#F18A07
157	202	120	15	#CA780F
158	210	113	3	#D27103
159	173	103	25	#AD6719
160	255	153	44	#FF992C
161	149	93	30	#955D1E
162	173	112	44	#AD702C
163	203	103	4	#CB6704
164	161	84	5	#A15405
165	96	53	8	#603508
166	128	72	17	#804811
167	255	153	51	#FF9933
168	252	204	155	#FCCC9B
169	255	254	253	#FFFEFD
170	204	151	102	#CC9766
171	226	183	145	#E2B791
172	27	14	3	#1B0E03
173	102	58	21	#663A15
174	140	88	44	#8C582C
175	172	118	73	#AC7649
176	109	85	64	#6D5540
177	209	165	127	#D1A57F
178	251	235	221	#FBEBDD
179	116	54	7	#743607
180	83	59	41	#533B29
181	222	103	23	#DE6717
182	15	8	3	#0F0803
183	200	117	59	#C8753B
184	68	28	3	#441C03
185	255	119	31	#FF771F
186	237	145	88	#ED9158
187	135	100	78	#87644E
188	34	27	23	#221B17
189	95	32	1	#5F2001
190	151	52	3	#973403
191	189	79	23	#BD4F17
192	116	57	27	#74391B
193	191	95	51	#BF5F33
194	226	115	64	#E27340
195	104	63	44	#683F2C
196	247	84	14	#F7540E
197	167	73	34	#A74922
198	157	118	102	#9D7666
199	48	14	1	#300E01
200	214	62	6	#D63E06
201	117	35	6	#752306
202	171	48	7	#AB3007
203	134	62	37	#863E25
204	115	41	22	#732916
205	97	32	18	#612012
206	70	30	22	#461E16
207	209	114	93	#D1725D
208	7	1	0	#070100
209	184	173	171	#B8ADAB
210	94	12	3	#5E0C03
211	150	22	7	#961607
212	221	18	0	#DD1200
213	120	10	1	#780A01
214	252	240	239	#FCF0EF
215	64	3	0	#400300
216	178	13	1	#B20D01
217	242	21	6	#F21506
218	24	1	0	#180100
219	244	45	37	#F42D25
220	230	0	0	#E60000
221	221	0	0	#DD0000
222	200	1	0	#C80100
