index	r	g	b	hex
0	255	255	255	#FFFFFF
1	204	153	102	#CC9966
2	153	255	255	#99FFFF
3	102	204	102	#66CC66
4	102	153	51	#669933
5	51	153	51	#339933
6	51	102	51	#336633
7	0	102	0	#006600
8	12	12	12	#0C0C0C
9	100	100	100	#646464
10	255	85	100	#FF5564
11	221	0	26	#DD001A
12	148	90	99	#945A63
13	123	69	80	#7B4550
14	101	11	32	#650B20
15	53	66	120	#354278
16	11	32	101	#0B2065
17	14	25	59	#0E193B
18	64	109	255	#406DFF
19	0	68	241	#0044F1
20	0	49	169	#0031A9
21	5	95	255	#055FFF
22	48	122	255	#307AFF
23	78	141	255	#4E8DFF
24	94	151	255	#5E97FF
25	105	158	255	#699EFF
26	150	187	255	#96BBFF
27	182	208	255	#B6D0FF
28	195	216	255	#C3D8FF
29	207	224	255	#CFE0FF
30	218	231	255	#DAE7FF
31	157	197	255	#9DC5FF
32	227	239	255	#E3EFFF
33	41	139	255	#298BFF
34	230	241	255	#E6F1FF
35	57	159	224	#399FE0
36	51	153	204	#3399CC
37	83	177	224	#53B1E0
38	99	201	251	#63C9FB
39	98	199	249	#62C7F9
40	104	200	233	#68C8E9
41	143	229	255	#8FE5FF
42	107	229	255	#6BE5FF
43	95	229	255	#5FE5FF
44	0	51	51	#003333
45	194	255	255	#C2FFFF
46	51	153	102	#339966
47	31	92	51	#1F5C33
48	1	40	12	#01280C
49	7	50	19	#073213
50	35	92	51	#235C33
51	11	40	16	#0B2810
52	27	71	32	#1B4720
53	15	44	18	#0F2C12
54	7	56	11	#07380B
55	21	88	26	#15581A
56	37	85	41	#255529
57	0	51	0	#003300
58	0	46	0	#002E00
59	30	131	30	#1E831E
60	44	94	44	#2C5E2C
61	49	99	49	#316331
62	45	91	45	#2D5B2D
63	23	56	22	#173816
64	31	71	27	#1F471B
65	50	108	45	#326C2D
66	76	134	71	#4C8647
67	63	137	51	#3F8933
68	9	49	0	#093100
69	12	54	3	#0C3603
70	14	66	1	#0E4201
71	63	118	48	#3F7630
72	57	115	40	#397328
73	57	111	41	#396F29
74	71	137	51	#478933
75	14	53	0	#0E3500
76	35	70	23	#234617
77	112	166	94	#70A65E
78	21	63	5	#153F05
79	26	85	0	#1A5500
80	21	65	1	#154101
81	35	93	9	#235D09
82	84	241	12	#54F10C
83	15	38	4	#0F2604
84	45	88	24	#2D5818
85	66	123	40	#427B28
86	38	70	23	#264617
87	32	69	13	#20450D
88	55	111	22	#376F16
89	35	63	19	#233F13
90	49	123	0	#317B00
91	36	90	0	#245A00
92	33	83	0	#215300
93	117	255	25	#75FF19
94	69	166	0	#45A600
95	33	81	0	#215100
96	12	29	0	#0C1D00
97	62	140	6	#3E8C06
98	48	88	20	#305814
99	40	71	17	#284711
100	74	129	34	#4A8122
101	37	85	0	#255500
102	53	109	8	#356D08
103	101	158	56	#659E38
104	44	97	0	#2C6100
105	40	85	0	#285500
106	15	32	0	#0F2000
107	51	109	1	#336D01
108	55	115	3	#377303
109	140	255	36	#8CFF24
110	60	104	22	#3C6816
111	49	81	21	#315115
112	89	141	44	#598D2C
113	99	156	49	#639C31
114	94	188	0	#5EBC00
115	92	184	0	#5CB800
116	66	136	0	#428800
117	56	115	0	#387300
118	44	92	0	#2C5C00
119	36	71	2	#244702
120	55	96	16	#376010
121	59	98	23	#3B6217
122	91	137	45	#5B892D
123	179	255	106	#B3FF6A
124	153	204	102	#99CC66
125	111	122	100	#6F7A64
126	63	124	0	#3F7C00
127	99	153	41	#639929
128	64	104	16	#406810
129	102	160	35	#66A023
130	111	164	48	#6FA430
131	77	113	35	#4D7123
132	87	154	0	#579A00
133	63	113	0	#3F7100
134	40	71	0	#284700
135	71	118	10	#47760A
136	29	47	7	#1D2F07
137	116	199	0	#74C700
138	109	161	36	#6DA124
139	86	123	35	#567B23
140	135	186	62	#87BA3E
141	142	232	6	#8EE806
142	175	255	52	#AFFF34
143	117	171	35	#75AB23
144	180	255	68	#B4FF44
145	211	255	146	#D3FF92
146	84	130	9	#548209
147	102	149	19	#669513
148	95	135	29	#5F871D
149	164	208	46	#A4D02E
150	132	165	41	#84A529
151	183	218	77	#B7DA4D
152	254	255	251	#FEFFFB
153	242	251	204	#F2FBCC
154	210	230	0	#D2E600
155	253	254	239	#FDFEEF
156	6	6	2	#060602
157	255	249	4	#FFF904
158	190	174	0	#BEAE00
159	251	249	222	#FBF9DE
160	122	109	13	#7A6D0D
161	10	9	3	#0A0903
162	211	176	0	#D3B000
163	205	183	79	#CDB74F
164	251	229	123	#FBE57B
165	255	204	0	#FFCC00
166	147	117	9	#937509
167	187	154	39	#BB9A27
168	23	21	14	#17150E
169	255	204	51	#FFCC33
170	201	166	52	#C9A634
171	227	170	0	#E3AA00
172	248	187	25	#F8BB19
173	181	135	25	#B58719
174	255	192	41	#FFC029
175	255	208	86	#FFD056
176	206	181	115	#CEB573
177	252	173	0	#FCAD00
178	204	143	0	#CC8F00
179	228	183	86	#E4B756
180	255	224	154	#FFE09A
181	153	102	0	#996600
182	114	85	25	#725519
183	204	153	51	#CC9933
184	254	204	102	#FECC66
185	137	126	103	#897E67
186	156	99	0	#9C6300
187	185	114	0	#B97200
188	85	53	6	#553506
189	166	113	37	#A67125
190	203	147	64	#CB9340
191	235	136	0	#EB8800
192	255	151	11	#FF970B
193	173	115	35	#AD7323
194	126	70	3	#7E4603
195	117	63	0	#753F00
196	206	156	99	#CE9C63
197	183	94	0	#B75E00
198	102	51	0	#663300
199	153	102	51	#996633
200	214	102	0	#D66600
201	136	62	0	#883E00
202	104	60	24	#683C18
203	140	89	53	#8C5935
204	77	28	1	#4D1C01
205	153	51	0	#993300
206	135	45	1	#872D01
207	55	42	35	#372A23
208	165	132	115	#A58473
209	162	67	21	#A24315
210	206	99	49	#CE6331
211	90	57	41	#5A3929
212	115	82	66	#735242
213	255	115	66	#FF7342
214	65	34	23	#412217
215	206	49	0	#CE3100
216	189	54	10	#BD360A
217	255	107	75	#FF6B4B
218	220	34	0	#DC2200
219	165	107	99	#A56B63
220	255	231	228	#FFE7E4
221	161	0	0	#A10000
222	108	0	0	#6C0000
223	255	1	1	#FF0101
224	38	4	4	#260404
225	245	53	50	#F53532
226	59	15	14	#3B0F0E
227	163	57	57	#A33939
228	255	91	91	#FF5B5B
229	255	110	110	#FF6E6E
230	117	51	51	#753333
231	255	178	178	#FFB2B2
232	255	188	188	#FFBCBC
233	255	211	211	#FFD3D3
234	88	80	80	#585050
235	103	97	97	#676161
236	58	55	55	#3A3737
237	250	250	250	#FAFAFA
238	238	238	238	#EEEEEE
239	225	225	225	#E1E1E1
240	204	204	204	#CCCCCC
241	187	187	187	#BBBBBB
242	153	153	153	#999999
243	149	149	149	#959595
244	142	142	142	#8E8E8E
245	115	115	115	#737373
246	108	108	108	#6C6C6C
247	102	102	102	#666666
248	97	97	97	#616161
249	82	82	82	#525252
250	69	69	69	#454545
251	57	57	57	#393939
252	51	51	51	#333333
253	34	34	34	#222222
254	33	33	33	#212121
255	0	0	0	#000000
