member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
111	text	bb_glist.window	0	2146	STXT	text/00111_bb_glist.window_stxt_0.txt
111	text	bb_glist.window	0	2146	STXT	raw_chunks/00111_bb_glist.window_2146_STXT.bin
194	bitmap	bb.button.left.active	0			bitmaps/00194_bb.button.left.active.png
194	bitmap	bb.button.left.active	0	2043	BITD	raw_chunks/00194_bb.button.left.active_2043_BITD.bin
214	bitmap	bb_clr_px	0			bitmaps/00214_bb_clr_px.png
214	bitmap	bb_clr_px	0	2029	BITD	raw_chunks/00214_bb_clr_px_2029_BITD.bin
258	bitmap	bb.button.left.pressed	0			bitmaps/00258_bb.button.left.pressed.png
258	bitmap	bb.button.left.pressed	0	2047	BITD	raw_chunks/00258_bb.button.left.pressed_2047_BITD.bin
273	bitmap	bb_grlt_pxb	0			bitmaps/00273_bb_grlt_pxb.png
273	bitmap	bb_grlt_pxb	0	1985	BITD	raw_chunks/00273_bb_grlt_pxb_1985_BITD.bin
279	bitmap	bb_ico_sun2	0			bitmaps/00279_bb_ico_sun2.png
279	bitmap	bb_ico_sun2	0	2130	BITD	raw_chunks/00279_bb_ico_sun2_2130_BITD.bin
291	bitmap	bb_cdwnbar_0	0			bitmaps/00291_bb_cdwnbar_0.png
291	bitmap	bb_cdwnbar_0	0	2095	BITD	raw_chunks/00291_bb_cdwnbar_0_2095_BITD.bin
295	bitmap	bb_scrbar_2	0			bitmaps/00295_bb_scrbar_2.png
295	bitmap	bb_scrbar_2	0	2089	BITD	raw_chunks/00295_bb_scrbar_2_2089_BITD.bin
296	bitmap	bb_scrbar_0	0			bitmaps/00296_bb_scrbar_0.png
296	bitmap	bb_scrbar_0	0	2085	BITD	raw_chunks/00296_bb_scrbar_0_2085_BITD.bin
297	bitmap	bb_ico_star_lt	0			bitmaps/00297_bb_ico_star_lt.png
297	bitmap	bb_ico_star_lt	0	2041	BITD	raw_chunks/00297_bb_ico_star_lt_2041_BITD.bin
298	bitmap	bb_gr2_bg	0			bitmaps/00298_bb_gr2_bg.png
298	bitmap	bb_gr2_bg	0	1989	BITD	raw_chunks/00298_bb_gr2_bg_1989_BITD.bin
302	bitmap	bb_arr	0			bitmaps/00302_bb_arr.png
302	bitmap	bb_arr	0	2097	BITD	raw_chunks/00302_bb_arr_2097_BITD.bin
312	bitmap	bb.button.right.active	0			bitmaps/00312_bb.button.right.active.png
312	bitmap	bb.button.right.active	0	2045	BITD	raw_chunks/00312_bb.button.right.active_2045_BITD.bin
341	bitmap	bb_gameinfo_bg_2	0			bitmaps/00341_bb_gameinfo_bg_2.png
341	bitmap	bb_gameinfo_bg_2	0	1993	BITD	raw_chunks/00341_bb_gameinfo_bg_2_1993_BITD.bin
346	bitmap	bb_ico_thumb	0			bitmaps/00346_bb_ico_thumb.png
346	bitmap	bb_ico_thumb	0	2051	BITD	raw_chunks/00346_bb_ico_thumb_2051_BITD.bin
351	bitmap	bb_lght_px	0			bitmaps/00351_bb_lght_px.png
351	bitmap	bb_lght_px	0	2025	BITD	raw_chunks/00351_bb_lght_px_2025_BITD.bin
359	bitmap	bb_ico_tkts	0			bitmaps/00359_bb_ico_tkts.png
359	bitmap	bb_ico_tkts	0	2033	BITD	raw_chunks/00359_bb_ico_tkts_2033_BITD.bin
371	bitmap	bb_lnk_px_2	0			bitmaps/00371_bb_lnk_px_2.png
371	bitmap	bb_lnk_px_2	0	1979	BITD	raw_chunks/00371_bb_lnk_px_2_1979_BITD.bin
401	bitmap	bb_ico_sun1	0			bitmaps/00401_bb_ico_sun1.png
401	bitmap	bb_ico_sun1	0	2128	BITD	raw_chunks/00401_bb_ico_sun1_2128_BITD.bin
418	bitmap	bb_clr_cr6	0			bitmaps/00418_bb_clr_cr6.png
418	bitmap	bb_clr_cr6	0	2017	BITD	raw_chunks/00418_bb_clr_cr6_2017_BITD.bin
419	bitmap	bb_clr_cr5	0			bitmaps/00419_bb_clr_cr5.png
419	bitmap	bb_clr_cr5	0	2015	BITD	raw_chunks/00419_bb_clr_cr5_2015_BITD.bin
420	bitmap	bb_clr_cr4	0			bitmaps/00420_bb_clr_cr4.png
420	bitmap	bb_clr_cr4	0	2013	BITD	raw_chunks/00420_bb_clr_cr4_2013_BITD.bin
421	bitmap	bb_clr_cr3	0			bitmaps/00421_bb_clr_cr3.png
421	bitmap	bb_clr_cr3	0	2011	BITD	raw_chunks/00421_bb_clr_cr3_2011_BITD.bin
422	bitmap	bb_clr_cr2	0			bitmaps/00422_bb_clr_cr2.png
422	bitmap	bb_clr_cr2	0	2009	BITD	raw_chunks/00422_bb_clr_cr2_2009_BITD.bin
423	bitmap	bb_clr_cr	0			bitmaps/00423_bb_clr_cr.png
423	bitmap	bb_clr_cr	0	2007	BITD	raw_chunks/00423_bb_clr_cr_2007_BITD.bin
424	bitmap	bb_clr_bt	0			bitmaps/00424_bb_clr_bt.png
424	bitmap	bb_clr_bt	0	2005	BITD	raw_chunks/00424_bb_clr_bt_2005_BITD.bin
425	bitmap	bb_clr_tp	0			bitmaps/00425_bb_clr_tp.png
425	bitmap	bb_clr_tp	0	2003	BITD	raw_chunks/00425_bb_clr_tp_2003_BITD.bin
426	bitmap	bb_clr_ed	0			bitmaps/00426_bb_clr_ed.png
426	bitmap	bb_clr_ed	0	2001	BITD	raw_chunks/00426_bb_clr_ed_2001_BITD.bin
427	bitmap	bb_fc	0			bitmaps/00427_bb_fc.png
427	bitmap	bb_fc	0	1999	BITD	raw_chunks/00427_bb_fc_1999_BITD.bin
428	bitmap	bb_fl	0			bitmaps/00428_bb_fl.png
428	bitmap	bb_fl	0	1997	BITD	raw_chunks/00428_bb_fl_1997_BITD.bin
429	bitmap	bb_mtl_pxb	0			bitmaps/00429_bb_mtl_pxb.png
429	bitmap	bb_mtl_pxb	0	1975	BITD	raw_chunks/00429_bb_mtl_pxb_1975_BITD.bin
430	bitmap	bb_bk_px	0			bitmaps/00430_bb_bk_px.png
430	bitmap	bb_bk_px	0	1973	BITD	raw_chunks/00430_bb_bk_px_1973_BITD.bin
433	bitmap	bb_mtl_cr2	0			bitmaps/00433_bb_mtl_cr2.png
433	bitmap	bb_mtl_cr2	0	1967	BITD	raw_chunks/00433_bb_mtl_cr2_1967_BITD.bin
434	bitmap	bb_mtl_bt	0			bitmaps/00434_bb_mtl_bt.png
434	bitmap	bb_mtl_bt	0	1965	BITD	raw_chunks/00434_bb_mtl_bt_1965_BITD.bin
435	bitmap	bb_mtl_er	0			bitmaps/00435_bb_mtl_er.png
435	bitmap	bb_mtl_er	0	1963	BITD	raw_chunks/00435_bb_mtl_er_1963_BITD.bin
436	bitmap	bb_mtl_el	0			bitmaps/00436_bb_mtl_el.png
436	bitmap	bb_mtl_el	0	1961	BITD	raw_chunks/00436_bb_mtl_el_1961_BITD.bin
437	bitmap	bb_mtl_ed	0			bitmaps/00437_bb_mtl_ed.png
437	bitmap	bb_mtl_ed	0	1959	BITD	raw_chunks/00437_bb_mtl_ed_1959_BITD.bin
438	bitmap	bb_mtl_cr	0			bitmaps/00438_bb_mtl_cr.png
438	bitmap	bb_mtl_cr	0	1957	BITD	raw_chunks/00438_bb_mtl_cr_1957_BITD.bin
442	text	bb_gcreate.window	0	2148	STXT	text/00442_bb_gcreate.window_stxt_0.txt
