index	r	g	b	hex
0	255	255	255	#FFFFFF
1	172	87	99	#AC5763
2	75	20	110	#4B146E
3	54	25	73	#361949
4	58	37	79	#3A254F
5	43	32	54	#2B2036
6	28	109	163	#1C6DA3
7	26	89	131	#1A5983
8	0	154	255	#009AFF
9	5	125	203	#057DCB
10	91	221	253	#5BDDFD
11	87	155	172	#579BAC
12	113	140	143	#718C8F
13	220	243	246	#DCF3F6
14	144	175	178	#90AFB2
15	85	93	91	#555D5B
16	132	143	140	#848F8C
17	112	126	122	#707E7A
18	172	193	187	#ACC1BB
19	239	255	0	#EFFF00
20	154	163	28	#9AA31C
21	211	197	13	#D3C50D
22	137	129	32	#898120
23	83	82	76	#53524C
24	255	206	0	#FFCE00
25	163	137	28	#A3891C
26	253	228	123	#FDE47B
27	175	162	107	#AFA26B
28	113	110	100	#716E64
29	226	220	201	#E2DCC9
30	147	143	131	#938F83
31	167	164	154	#A7A49A
32	109	107	101	#6D6B65
33	189	188	185	#BDBCB9
34	107	101	85	#6B6555
35	202	196	180	#CAC4B4
36	149	146	138	#95928A
37	229	226	218	#E5E2DA
38	244	177	11	#F4B10B
39	211	155	17	#D39B11
40	183	140	26	#B78C1A
41	158	122	34	#9E7A22
42	137	107	34	#896B22
43	255	204	78	#FFCC4E
44	120	97	37	#786125
45	172	145	78	#AC914E
46	149	137	106	#95896A
47	252	250	245	#FCFAF5
48	171	156	123	#AB9C7B
49	123	115	98	#7B7362
50	199	188	162	#C7BCA2
51	146	140	126	#928C7E
52	171	169	165	#ABA9A5
53	132	118	93	#84765D
54	94	87	74	#5E574A
55	149	132	104	#958468
56	107	98	83	#6B6253
57	234	149	21	#EA9515
58	152	97	14	#98610E
59	181	117	26	#B5751A
60	152	107	40	#986B28
61	98	69	26	#62451A
62	245	202	138	#F5CA8A
63	244	202	138	#F4CA8A
64	159	131	90	#9F835A
65	112	97	75	#70614B
66	172	149	116	#AC9574
67	45	41	35	#2D2923
68	182	171	154	#B6AB9A
69	119	85	37	#775525
70	94	81	64	#5E5140
71	67	60	51	#433C33
72	250	228	197	#FAE4C5
73	163	148	128	#A39480
74	119	111	100	#776F64
75	127	84	32	#7F5420
76	126	107	84	#7E6B54
77	62	54	44	#3E362C
78	90	80	68	#5A5044
79	117	72	24	#754818
80	85	61	34	#553D22
81	167	103	35	#A76723
82	77	53	28	#4D351C
83	111	77	41	#6F4D29
84	134	101	69	#866545
85	197	134	74	#C5864A
86	254	99	1	#FE6301
87	163	81	29	#A3511D
88	255	15	0	#FF0F00
89	38	2	0	#260200
90	203	17	5	#CB1105
91	24	5	4	#180504
92	163	36	28	#A3241C
93	131	32	26	#83201A
94	105	25	21	#691915
95	69	27	25	#451B19
96	104	10	10	#680A0A
97	209	21	21	#D11515
98	173	24	24	#AD1818
99	67	18	18	#431212
100	136	37	37	#882525
101	113	34	34	#712222
102	253	91	114	#FD5B72
103	192	192	192	#C0C0C0
104	153	153	153	#999999
105	114	114	114	#727272
106	83	83	83	#535353
107	0	0	0	#000000
108	0	0	0	#000000
109	0	0	0	#000000
110	0	0	0	#000000
111	0	0	0	#000000
112	0	0	0	#000000
113	0	0	0	#000000
114	0	0	0	#000000
115	0	0	0	#000000
116	0	0	0	#000000
117	0	0	0	#000000
118	0	0	0	#000000
119	0	0	0	#000000
120	0	0	0	#000000
121	0	0	0	#000000
122	0	0	0	#000000
123	0	0	0	#000000
124	0	0	0	#000000
125	0	0	0	#000000
126	0	0	0	#000000
127	0	0	0	#000000
128	0	0	0	#000000
129	0	0	0	#000000
130	0	0	0	#000000
131	0	0	0	#000000
132	0	0	0	#000000
133	0	0	0	#000000
134	0	0	0	#000000
135	0	0	0	#000000
136	0	0	0	#000000
137	0	0	0	#000000
138	0	0	0	#000000
139	0	0	0	#000000
140	0	0	0	#000000
141	0	0	0	#000000
142	0	0	0	#000000
143	0	0	0	#000000
144	0	0	0	#000000
145	0	0	0	#000000
146	0	0	0	#000000
147	0	0	0	#000000
148	0	0	0	#000000
149	0	0	0	#000000
150	0	0	0	#000000
151	0	0	0	#000000
152	0	0	0	#000000
153	0	0	0	#000000
154	0	0	0	#000000
155	0	0	0	#000000
156	0	0	0	#000000
157	0	0	0	#000000
158	0	0	0	#000000
159	0	0	0	#000000
160	0	0	0	#000000
161	0	0	0	#000000
162	0	0	0	#000000
163	0	0	0	#000000
164	0	0	0	#000000
165	0	0	0	#000000
166	0	0	0	#000000
167	0	0	0	#000000
168	0	0	0	#000000
169	0	0	0	#000000
170	0	0	0	#000000
171	0	0	0	#000000
172	0	0	0	#000000
173	0	0	0	#000000
174	0	0	0	#000000
175	0	0	0	#000000
176	0	0	0	#000000
177	0	0	0	#000000
178	0	0	0	#000000
179	0	0	0	#000000
180	0	0	0	#000000
181	0	0	0	#000000
182	0	0	0	#000000
183	0	0	0	#000000
184	0	0	0	#000000
185	0	0	0	#000000
186	0	0	0	#000000
187	0	0	0	#000000
188	0	0	0	#000000
189	0	0	0	#000000
190	0	0	0	#000000
191	0	0	0	#000000
192	0	0	0	#000000
193	0	0	0	#000000
194	0	0	0	#000000
195	0	0	0	#000000
196	0	0	0	#000000
197	0	0	0	#000000
198	0	0	0	#000000
199	0	0	0	#000000
200	0	0	0	#000000
201	0	0	0	#000000
202	0	0	0	#000000
203	0	0	0	#000000
204	0	0	0	#000000
205	0	0	0	#000000
206	0	0	0	#000000
207	0	0	0	#000000
208	0	0	0	#000000
209	0	0	0	#000000
210	0	0	0	#000000
211	0	0	0	#000000
212	0	0	0	#000000
213	0	0	0	#000000
214	0	0	0	#000000
215	0	0	0	#000000
216	0	0	0	#000000
217	0	0	0	#000000
218	0	0	0	#000000
219	0	0	0	#000000
220	0	0	0	#000000
221	0	0	0	#000000
222	0	0	0	#000000
223	0	0	0	#000000
224	0	0	0	#000000
225	0	0	0	#000000
226	0	0	0	#000000
227	0	0	0	#000000
228	0	0	0	#000000
229	0	0	0	#000000
230	0	0	0	#000000
231	0	0	0	#000000
232	0	0	0	#000000
233	0	0	0	#000000
234	0	0	0	#000000
235	0	0	0	#000000
236	0	0	0	#000000
237	0	0	0	#000000
238	0	0	0	#000000
239	0	0	0	#000000
240	0	0	0	#000000
241	0	0	0	#000000
242	0	0	0	#000000
243	0	0	0	#000000
244	0	0	0	#000000
245	0	0	0	#000000
246	221	221	221	#DDDDDD
247	187	187	187	#BBBBBB
248	170	170	170	#AAAAAA
249	136	136	136	#888888
250	119	119	119	#777777
251	85	85	85	#555555
252	68	68	68	#444444
253	34	34	34	#222222
254	17	17	17	#111111
255	0	0	0	#000000
