member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
4	text	variable.index	0	752	STXT	text/00004_variable.index_stxt_0.txt
4	text	variable.index	0	752	STXT	raw_chunks/00004_variable.index_752_STXT.bin
15	text	snowwar_gamesystem.variable.index	0	754	STXT	text/00015_snowwar_gamesystem.variable.index_stxt_0.txt
15	text	snowwar_gamesystem.variable.index	0	754	STXT	raw_chunks/00015_snowwar_gamesystem.variable.index_754_STXT.bin
24	text	snowwar_loungesystem.variable.index	0	782	STXT	text/00024_snowwar_loungesystem.variable.index_stxt_0.txt
24	text	snowwar_loungesystem.variable.index	0	782	STXT	raw_chunks/00024_snowwar_loungesystem.variable.index_782_STXT.bin
27	text	snowwar.loungemenu.thread.index	0	784	STXT	text/00027_snowwar.loungemenu.thread.index_stxt_0.txt
27	text	snowwar.loungemenu.thread.index	0	784	STXT	raw_chunks/00027_snowwar.loungemenu.thread.index_784_STXT.bin
420	sound	LS-C64-win-1	0	801	ediM	sounds/00420_LS-C64-win-1_801.mp3
420	sound	LS-C64-win-1	0	801	ediM	raw_chunks/00420_LS-C64-win-1_801_ediM.bin
480	sound	LS-hit-3	0	833	snd 	sounds/00480_LS-hit-3_833.mp3
480	sound	LS-hit-3	0	833	snd 	raw_chunks/00480_LS-hit-3_833_snd_.bin
484	sound	LS-miss	0	789	ediM	sounds/00484_LS-miss_789.mp3
484	sound	LS-miss	0	789	ediM	raw_chunks/00484_LS-miss_789_ediM.bin
498	sound	LS-C64-loose-1	0	795	ediM	sounds/00498_LS-C64-loose-1_795.mp3
498	sound	LS-C64-loose-1	0	795	ediM	raw_chunks/00498_LS-C64-loose-1_795_ediM.bin
500	sound	LS-walk-loop-1	0	839	snd 	sounds/00500_LS-walk-loop-1_839.mp3
500	sound	LS-walk-loop-1	0	839	snd 	raw_chunks/00500_LS-walk-loop-1_839_snd_.bin
503	sound	LS-throw	0	807	ediM	sounds/00503_LS-throw_807.mp3
503	sound	LS-throw	0	807	ediM	raw_chunks/00503_LS-throw_807_ediM.bin
512	sound	LS-getsnowball	0	845	snd 	sounds/00512_LS-getsnowball_845.mp3
512	sound	LS-getsnowball	0	845	snd 	raw_chunks/00512_LS-getsnowball_845_snd_.bin
518	sound	LS-hit-2	0	827	snd 	sounds/00518_LS-hit-2_827.mp3
518	sound	LS-hit-2	0	827	snd 	raw_chunks/00518_LS-hit-2_827_snd_.bin
644	sound	LS-hit-1	0	821	snd 	sounds/00644_LS-hit-1_821.mp3
644	sound	LS-hit-1	0	821	snd 	raw_chunks/00644_LS-hit-1_821_snd_.bin
713	sound	LS-C64-draw-1	0	813	ediM	sounds/00713_LS-C64-draw-1_813.mp3
713	sound	LS-C64-draw-1	0	813	ediM	raw_chunks/00713_LS-C64-draw-1_813_ediM.bin
