index	r	g	b	hex
0	255	255	255	#FFFFFF
1	0	0	0	#000000
2	255	250	228	#FFFAE4
3	248	242	202	#F8F2CA
4	218	218	218	#DADADA
5	93	135	164	#5D87A4
6	255	109	119	#FF6D77
7	89	0	140	#59008C
8	168	25	251	#A819FB
9	188	73	255	#BC49FF
10	194	87	255	#C257FF
11	217	151	255	#D997FF
12	240	214	255	#F0D6FF
13	250	250	253	#FAFAFD
14	204	217	255	#CCD9FF
15	153	181	255	#99B5FF
16	98	154	255	#629AFF
17	23	97	201	#1761C9
18	32	117	229	#2075E5
19	34	121	237	#2279ED
20	39	131	251	#2783FB
21	8	25	48	#081930
22	35	110	208	#236ED0
23	71	137	225	#4789E1
24	199	219	246	#C7DBF6
25	49	99	156	#31639C
26	0	49	99	#003163
27	156	206	255	#9CCEFF
28	99	156	206	#639CCE
29	177	200	220	#B1C8DC
30	172	195	214	#ACC3D6
31	37	53	65	#253541
32	44	63	77	#2C3F4D
33	86	121	147	#567993
34	48	70	86	#304656
35	101	148	180	#6594B4
36	83	121	148	#537994
37	72	105	128	#486980
38	82	119	145	#527791
39	80	117	142	#50758E
40	76	111	135	#4C6F87
41	74	108	131	#4A6C83
42	69	100	122	#45647A
43	65	94	115	#415E73
44	62	90	110	#3E5A6E
45	58	85	103	#3A5567
46	79	114	139	#4F728B
47	75	109	132	#4B6D84
48	55	79	96	#374F60
49	90	128	154	#5A809A
50	111	151	180	#6F97B4
51	236	241	244	#ECF1F4
52	0	96	145	#006091
53	26	77	104	#1A4D68
54	157	213	241	#9DD5F1
55	228	242	249	#E4F2F9
56	34	130	175	#2282AF
57	81	159	195	#519FC3
58	90	170	208	#5AAAD0
59	104	184	222	#68B8DE
60	100	164	195	#64A4C3
61	98	123	134	#627B86
62	128	147	156	#80939C
63	0	175	245	#00AFF5
64	0	100	140	#00648C
65	43	194	255	#2BC2FF
66	82	205	255	#52CDFF
67	100	211	255	#64D3FF
68	111	214	255	#6FD6FF
69	52	94	111	#345E6F
70	103	148	167	#6794A7
71	167	230	255	#A7E6FF
72	181	234	255	#B5EAFF
73	181	229	248	#B5E5F8
74	139	225	255	#8BE1FF
75	152	227	255	#98E3FF
76	67	99	111	#43636F
77	166	220	240	#A6DCF0
78	187	236	255	#BBECFF
79	215	244	255	#D7F4FF
80	232	249	255	#E8F9FF
81	161	231	255	#A1E7FF
82	167	233	255	#A7E9FF
83	176	235	255	#B0EBFF
84	134	179	194	#86B3C2
85	147	196	212	#93C4D4
86	186	238	255	#BAEEFF
87	107	143	154	#6B8F9A
88	219	237	242	#DBEDF2
89	120	183	198	#78B7C6
90	150	199	211	#96C7D3
91	199	225	231	#C7E1E7
92	74	92	94	#4A5C5E
93	147	194	198	#93C2C6
94	187	222	225	#BBDEE1
95	235	247	248	#EBF7F8
96	50	91	94	#325B5E
97	49	63	64	#313F40
98	183	227	230	#B7E3E6
99	37	46	46	#252E2E
100	222	247	247	#DEF7F7
101	233	255	255	#E9FFFF
102	240	255	255	#F0FFFF
103	244	251	251	#F4FBFB
104	80	99	97	#506361
105	60	72	70	#3C4846
106	42	110	63	#2A6E3F
107	112	222	146	#70DE92
108	0	79	0	#004F00
109	7	51	1	#073301
110	69	182	43	#45B62B
111	176	233	163	#B0E9A3
112	223	246	218	#DFF6DA
113	46	96	1	#2E6001
114	231	255	189	#E7FFBD
115	125	188	0	#7DBC00
116	167	234	0	#A7EA00
117	164	230	0	#A4E600
118	143	201	0	#8FC900
119	124	174	0	#7CAE00
120	77	108	0	#4D6C00
121	184	255	6	#B8FF06
122	192	255	34	#C0FF22
123	197	255	52	#C5FF34
124	205	255	80	#CDFF50
125	213	255	109	#D5FF6D
126	175	234	0	#AFEA00
127	213	232	0	#D5E800
128	185	195	20	#B9C314
129	204	212	0	#CCD400
130	191	199	0	#BFC700
131	177	184	0	#B1B800
132	174	181	0	#AEB500
133	104	108	0	#686C00
134	245	255	6	#F5FF06
135	232	244	24	#E8F418
136	246	255	34	#F6FF22
137	247	255	53	#F7FF35
138	248	255	83	#F8FF53
139	249	255	109	#F9FF6D
140	102	102	51	#666633
141	153	153	102	#999966
142	146	146	97	#929261
143	204	204	153	#CCCC99
144	255	255	204	#FFFFCC
145	228	223	109	#E4DF6D
146	229	227	203	#E5E3CB
147	218	216	193	#DAD8C1
148	98	93	45	#625D2D
149	173	165	90	#ADA55A
150	193	187	130	#C1BB82
151	184	178	124	#B8B27C
152	195	189	134	#C3BD86
153	229	223	186	#E5DFBA
154	224	203	119	#E0CB77
155	179	162	95	#B3A25F
156	112	102	60	#70663C
157	235	230	210	#EBE6D2
158	60	50	13	#3C320D
159	235	205	93	#EBCD5D
160	134	121	71	#867947
161	231	212	145	#E7D491
162	204	153	0	#CC9900
163	255	200	18	#FFC812
164	224	176	24	#E0B018
165	255	204	51	#FFCC33
166	243	200	61	#F3C83D
167	189	158	73	#BD9E49
168	240	180	56	#F0B438
169	142	116	76	#8E744C
170	178	151	111	#B2976F
171	252	231	201	#FCE7C9
172	245	143	7	#F58F07
173	215	128	9	#D78009
174	184	112	12	#B8700C
175	241	153	32	#F19920
176	242	160	47	#F2A02F
177	188	151	101	#BC9765
178	187	152	107	#BB986B
179	248	184	104	#F8B868
180	234	189	133	#EABD85
181	237	198	148	#EDC694
182	253	198	138	#FDC68A
183	204	102	0	#CC6600
184	155	79	1	#9B4F01
185	255	149	44	#FF952C
186	255	152	50	#FF9832
187	255	168	82	#FFA852
188	204	162	121	#CCA279
189	255	203	152	#FFCB98
190	245	195	146	#F5C392
191	255	208	162	#FFD0A2
192	255	217	180	#FFD9B4
193	21	10	0	#150A00
194	255	202	151	#FFCA97
195	153	121	91	#99795B
196	255	231	208	#FFE7D0
197	249	115	0	#F97300
198	197	182	173	#C5B6AD
199	153	51	0	#993300
200	213	71	1	#D54701
201	148	136	130	#948882
202	109	41	12	#6D290C
203	223	159	132	#DF9F84
204	172	142	129	#AC8E81
205	145	133	128	#918580
206	202	38	7	#CA2607
207	251	139	118	#FB8B76
208	253	191	180	#FDBFB4
209	160	0	0	#A00000
210	77	0	0	#4D0000
211	22	0	0	#160000
212	255	11	11	#FF0B0B
213	202	23	23	#CA1717
214	223	30	30	#DF1E1E
215	237	34	34	#ED2222
216	188	27	27	#BC1B1B
217	243	36	36	#F32424
218	217	32	32	#D92020
219	247	37	37	#F72525
220	248	38	38	#F82626
221	255	40	40	#FF2828
222	246	39	39	#F62727
223	255	60	60	#FF3C3C
224	163	41	41	#A32929
225	255	91	91	#FF5B5B
226	253	101	101	#FD6565
