member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
111	bitmap	sw_gr2_bg	0			bitmaps/00111_sw_gr2_bg.png
111	bitmap	sw_gr2_bg	0	1277	BITD	raw_chunks/00111_sw_gr2_bg_1277_BITD.bin
279	bitmap	sw_mtl_bt	0			bitmaps/00279_sw_mtl_bt.png
279	bitmap	sw_mtl_bt	0	1151	BITD	raw_chunks/00279_sw_mtl_bt_1151_BITD.bin
291	bitmap	sw_bg_px	0			bitmaps/00291_sw_bg_px.png
291	bitmap	sw_bg_px	0	1185	BITD	raw_chunks/00291_sw_bg_px_1185_BITD.bin
295	text	sw_gcreate.window	0	1099	STXT	text/00295_sw_gcreate.window_stxt_0.txt
295	text	sw_gcreate.window	0	1099	STXT	raw_chunks/00295_sw_gcreate.window_1099_STXT.bin
302	bitmap	shadow.pixel_DONOTUSE_NAME_CONFLICT	0			bitmaps/00302_shadow.pixel_DONOTUSE_NAME_CONFLICT.png
302	bitmap	shadow.pixel_DONOTUSE_NAME_CONFLICT	0	1137	BITD	raw_chunks/00302_shadow.pixel_DONOTUSE_NAME_CONFLICT_1137_BITD.bin
371	bitmap	sw_bg_grn4	0			bitmaps/00371_sw_bg_grn4.png
371	bitmap	sw_bg_grn4	0	1329	BITD	raw_chunks/00371_sw_bg_grn4_1329_BITD.bin
401	bitmap	sw_mtl_ed	0			bitmaps/00401_sw_mtl_ed.png
401	bitmap	sw_mtl_ed	0	1145	BITD	raw_chunks/00401_sw_mtl_ed_1145_BITD.bin
426	text	sw_score_big_1t.window	0	1129	STXT	text/00426_sw_score_big_1t.window_stxt_0.txt
426	text	sw_score_big_1t.window	0	1129	STXT	raw_chunks/00426_sw_score_big_1t.window_1129_STXT.bin
429	bitmap	sw_bg_emp3	0			bitmaps/00429_sw_bg_emp3.png
429	bitmap	sw_bg_emp3	0	1317	BITD	raw_chunks/00429_sw_bg_emp3_1317_BITD.bin
430	bitmap	sw_ico_sun2	0			bitmaps/00430_sw_ico_sun2.png
430	bitmap	sw_ico_sun2	0	1311	BITD	raw_chunks/00430_sw_ico_sun2_1311_BITD.bin
433	bitmap	sw_scrbar_3	0			bitmaps/00433_sw_scrbar_3.png
433	bitmap	sw_scrbar_3	0	1293	BITD	raw_chunks/00433_sw_scrbar_3_1293_BITD.bin
434	bitmap	sw_scrbar_1	0			bitmaps/00434_sw_scrbar_1.png
434	bitmap	sw_scrbar_1	0	1287	BITD	raw_chunks/00434_sw_scrbar_1_1287_BITD.bin
435	bitmap	sw_ico_star_lt	0			bitmaps/00435_sw_ico_star_lt.png
435	bitmap	sw_ico_star_lt	0	1281	BITD	raw_chunks/00435_sw_ico_star_lt_1281_BITD.bin
436	bitmap	sw_bg_emp	0			bitmaps/00436_sw_bg_emp.png
436	bitmap	sw_bg_emp	0	1259	BITD	raw_chunks/00436_sw_bg_emp_1259_BITD.bin
437	bitmap	sw_bg_red	0			bitmaps/00437_sw_bg_red.png
437	bitmap	sw_bg_red	0	1253	BITD	raw_chunks/00437_sw_bg_red_1253_BITD.bin
438	bitmap	sw_clr_cr7	0			bitmaps/00438_sw_clr_cr7.png
438	bitmap	sw_clr_cr7	0	1247	BITD	raw_chunks/00438_sw_clr_cr7_1247_BITD.bin
478	bitmap	sw_grdk_pxb	0			bitmaps/00478_sw_grdk_pxb.png
478	bitmap	sw_grdk_pxb	0	1193	BITD	raw_chunks/00478_sw_grdk_pxb_1193_BITD.bin
512	bitmap	sw_gameinfo_bg_1	0			bitmaps/00512_sw_gameinfo_bg_1.png
