member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
9	bitmap	sh_std_he_1_1_0	0			bitmaps/00009_sh_std_he_1_1_0.png
9	bitmap	sh_std_he_1_1_0	0	530	BITD	raw_chunks/00009_sh_std_he_1_1_0_530_BITD.bin
11	bitmap	sh_std_he_1_3_0	0			bitmaps/00011_sh_std_he_1_3_0.png
11	bitmap	sh_std_he_1_3_0	0	534	BITD	raw_chunks/00011_sh_std_he_1_3_0_534_BITD.bin
12	bitmap	sh_std_he_1_7_0	0			bitmaps/00012_sh_std_he_1_7_0.png
12	bitmap	sh_std_he_1_7_0	0	536	BITD	raw_chunks/00012_sh_std_he_1_7_0_536_BITD.bin
90	bitmap	sh_lay_he_3_2_0	0			bitmaps/00090_sh_lay_he_3_2_0.png
90	bitmap	sh_lay_he_3_2_0	0	562	BITD	raw_chunks/00090_sh_lay_he_3_2_0_562_BITD.bin
173	bitmap	sh_std_he_5_3_0	0			bitmaps/00173_sh_std_he_5_3_0.png
173	bitmap	sh_std_he_5_3_0	0	582	BITD	raw_chunks/00173_sh_std_he_5_3_0_582_BITD.bin
189	bitmap	sh_std_he_3_0_0	0			bitmaps/00189_sh_std_he_3_0_0.png
189	bitmap	sh_std_he_3_0_0	0	552	BITD	raw_chunks/00189_sh_std_he_3_0_0_552_BITD.bin
190	bitmap	sh_std_he_3_1_0	0			bitmaps/00190_sh_std_he_3_1_0.png
190	bitmap	sh_std_he_3_1_0	0	554	BITD	raw_chunks/00190_sh_std_he_3_1_0_554_BITD.bin
191	bitmap	sh_std_he_3_2_0	0			bitmaps/00191_sh_std_he_3_2_0.png
191	bitmap	sh_std_he_3_2_0	0	556	BITD	raw_chunks/00191_sh_std_he_3_2_0_556_BITD.bin
193	bitmap	sh_std_he_3_3_0	0			bitmaps/00193_sh_std_he_3_3_0.png
193	bitmap	sh_std_he_3_3_0	0	558	BITD	raw_chunks/00193_sh_std_he_3_3_0_558_BITD.bin
195	bitmap	sh_std_he_4_0_0	0			bitmaps/00195_sh_std_he_4_0_0.png
195	bitmap	sh_std_he_4_0_0	0	564	BITD	raw_chunks/00195_sh_std_he_4_0_0_564_BITD.bin
196	bitmap	sh_std_he_4_1_0	0			bitmaps/00196_sh_std_he_4_1_0.png
196	bitmap	sh_std_he_4_1_0	0	566	BITD	raw_chunks/00196_sh_std_he_4_1_0_566_BITD.bin
197	bitmap	sh_std_he_4_2_0	0			bitmaps/00197_sh_std_he_4_2_0.png
197	bitmap	sh_std_he_4_2_0	0	568	BITD	raw_chunks/00197_sh_std_he_4_2_0_568_BITD.bin
199	bitmap	sh_std_he_4_7_0	0			bitmaps/00199_sh_std_he_4_7_0.png
199	bitmap	sh_std_he_4_7_0	0	572	BITD	raw_chunks/00199_sh_std_he_4_7_0_572_BITD.bin
264	bitmap	sh_std_he_8_2_0	0			bitmaps/00264_sh_std_he_8_2_0.png
264	bitmap	sh_std_he_8_2_0	0	612	BITD	raw_chunks/00264_sh_std_he_8_2_0_612_BITD.bin
312	bitmap	sh_std_he_8_7_0	0			bitmaps/00312_sh_std_he_8_7_0.png
312	bitmap	sh_std_he_8_7_0	0	616	BITD	raw_chunks/00312_sh_std_he_8_7_0_616_BITD.bin
317	bitmap	sh_std_he_8_3_0	0			bitmaps/00317_sh_std_he_8_3_0.png
317	bitmap	sh_std_he_8_3_0	0	614	BITD	raw_chunks/00317_sh_std_he_8_3_0_614_BITD.bin
321	bitmap	sh_std_he_5_2_0	0			bitmaps/00321_sh_std_he_5_2_0.png
321	bitmap	sh_std_he_5_2_0	0	580	BITD	raw_chunks/00321_sh_std_he_5_2_0_580_BITD.bin
337	bitmap	sh_lay_he_10_2_0	0			bitmaps/00337_sh_lay_he_10_2_0.png
337	bitmap	sh_lay_he_10_2_0	0	642	BITD	raw_chunks/00337_sh_lay_he_10_2_0_642_BITD.bin
340	bitmap	sh_std_he_10_3_0	0			bitmaps/00340_sh_std_he_10_3_0.png
340	bitmap	sh_std_he_10_3_0	0	638	BITD	raw_chunks/00340_sh_std_he_10_3_0_638_BITD.bin
341	bitmap	sh_std_he_10_2_0	0			bitmaps/00341_sh_std_he_10_2_0.png
341	bitmap	sh_std_he_10_2_0	0	636	BITD	raw_chunks/00341_sh_std_he_10_2_0_636_BITD.bin
342	bitmap	sh_std_he_10_1_0	0			bitmaps/00342_sh_std_he_10_1_0.png
342	bitmap	sh_std_he_10_1_0	0	634	BITD	raw_chunks/00342_sh_std_he_10_1_0_634_BITD.bin
347	bitmap	sh_std_he_5_1_0	0			bitmaps/00347_sh_std_he_5_1_0.png
347	bitmap	sh_std_he_5_1_0	0	578	BITD	raw_chunks/00347_sh_std_he_5_1_0_578_BITD.bin
351	bitmap	sh_std_he_9_2_0	0			bitmaps/00351_sh_std_he_9_2_0.png
351	bitmap	sh_std_he_9_2_0	0	624	BITD	raw_chunks/00351_sh_std_he_9_2_0_624_BITD.bin
363	bitmap	sh_std_he_8_0_0	0			bitmaps/00363_sh_std_he_8_0_0.png
363	bitmap	sh_std_he_8_0_0	0	608	BITD	raw_chunks/00363_sh_std_he_8_0_0_608_BITD.bin
365	bitmap	sh_std_he_9_3_0	0			bitmaps/00365_sh_std_he_9_3_0.png
365	bitmap	sh_std_he_9_3_0	0	626	BITD	raw_chunks/00365_sh_std_he_9_3_0_626_BITD.bin
367	bitmap	sh_std_he_5_7_0	0			bitmaps/00367_sh_std_he_5_7_0.png
367	bitmap	sh_std_he_5_7_0	0	584	BITD	raw_chunks/00367_sh_std_he_5_7_0_584_BITD.bin
368	bitmap	sh_std_he_3_7_0	0			bitmaps/00368_sh_std_he_3_7_0.png
368	bitmap	sh_std_he_3_7_0	0	560	BITD	raw_chunks/00368_sh_std_he_3_7_0_560_BITD.bin
377	bitmap	sh_std_he_8_1_0	0			bitmaps/00377_sh_std_he_8_1_0.png
377	bitmap	sh_std_he_8_1_0	0	610	BITD	raw_chunks/00377_sh_std_he_8_1_0_610_BITD.bin
378	bitmap	sh_lay_he_5_2_0	0			bitmaps/00378_sh_lay_he_5_2_0.png
378	bitmap	sh_lay_he_5_2_0	0	586	BITD	raw_chunks/00378_sh_lay_he_5_2_0_586_BITD.bin
379	bitmap	sh_lay_he_8_2_0	0			bitmaps/00379_sh_lay_he_8_2_0.png
379	bitmap	sh_lay_he_8_2_0	0	618	BITD	raw_chunks/00379_sh_lay_he_8_2_0_618_BITD.bin
384	bitmap	sh_std_he_1_2_0	0			bitmaps/00384_sh_std_he_1_2_0.png
384	bitmap	sh_std_he_1_2_0	0	532	BITD	raw_chunks/00384_sh_std_he_1_2_0_532_BITD.bin
392	bitmap	sh_std_he_10_7_0	0			bitmaps/00392_sh_std_he_10_7_0.png
392	bitmap	sh_std_he_10_7_0	0	640	BITD	raw_chunks/00392_sh_std_he_10_7_0_640_BITD.bin
401	bitmap	sh_std_he_10_0_0	0			bitmaps/00401_sh_std_he_10_0_0.png
401	bitmap	sh_std_he_10_0_0	0	632	BITD	raw_chunks/00401_sh_std_he_10_0_0_632_BITD.bin
402	bitmap	sh_std_he_1_0_0	0			bitmaps/00402_sh_std_he_1_0_0.png
402	bitmap	sh_std_he_1_0_0	0	528	BITD	raw_chunks/00402_sh_std_he_1_0_0_528_BITD.bin
403	bitmap	sh_std_he_7_2_0	0			bitmaps/00403_sh_std_he_7_2_0.png
403	bitmap	sh_std_he_7_2_0	0	600	BITD	raw_chunks/00403_sh_std_he_7_2_0_600_BITD.bin
404	bitmap	sh_std_he_9_7_0	0			bitmaps/00404_sh_std_he_9_7_0.png
404	bitmap	sh_std_he_9_7_0	0	628	BITD	raw_chunks/00404_sh_std_he_9_7_0_628_BITD.bin
405	bitmap	sh_std_he_7_3_0	0			bitmaps/00405_sh_std_he_7_3_0.png
405	bitmap	sh_std_he_7_3_0	0	602	BITD	raw_chunks/00405_sh_std_he_7_3_0_602_BITD.bin
413	bitmap	sh_std_he_7_0_0	0			bitmaps/00413_sh_std_he_7_0_0.png
413	bitmap	sh_std_he_7_0_0	0	596	BITD	raw_chunks/00413_sh_std_he_7_0_0_596_BITD.bin
415	bitmap	sh_lay_he_6_2_0	0			bitmaps/00415_sh_lay_he_6_2_0.png
415	bitmap	sh_lay_he_6_2_0	0	594	BITD	raw_chunks/00415_sh_lay_he_6_2_0_594_BITD.bin
416	bitmap	sh_std_he_6_3_0	0			bitmaps/00416_sh_std_he_6_3_0.png
416	bitmap	sh_std_he_6_3_0	0	592	BITD	raw_chunks/00416_sh_std_he_6_3_0_592_BITD.bin
421	bitmap	sh_lay_he_9_2_0	0			bitmaps/00421_sh_lay_he_9_2_0.png
421	bitmap	sh_lay_he_9_2_0	0	630	BITD	raw_chunks/00421_sh_lay_he_9_2_0_630_BITD.bin
427	bitmap	sh_std_he_7_7_0	0			bitmaps/00427_sh_std_he_7_7_0.png
427	bitmap	sh_std_he_7_7_0	0	604	BITD	raw_chunks/00427_sh_std_he_7_7_0_604_BITD.bin
437	bitmap	sh_lay_he_7_2_0	0			bitmaps/00437_sh_lay_he_7_2_0.png
437	bitmap	sh_lay_he_7_2_0	0	606	BITD	raw_chunks/00437_sh_lay_he_7_2_0_606_BITD.bin
447	bitmap	sh_std_he_9_1_0	0			bitmaps/00447_sh_std_he_9_1_0.png
447	bitmap	sh_std_he_9_1_0	0	622	BITD	raw_chunks/00447_sh_std_he_9_1_0_622_BITD.bin
448	bitmap	sh_std_he_6_2_0	0			bitmaps/00448_sh_std_he_6_2_0.png
448	bitmap	sh_std_he_6_2_0	0	590	BITD	raw_chunks/00448_sh_std_he_6_2_0_590_BITD.bin
454	bitmap	sh_std_he_6_1_0	0			bitmaps/00454_sh_std_he_6_1_0.png
454	bitmap	sh_std_he_6_1_0	0	588	BITD	raw_chunks/00454_sh_std_he_6_1_0_588_BITD.bin
467	bitmap	sh_std_he_5_0_0	0			bitmaps/00467_sh_std_he_5_0_0.png
467	bitmap	sh_std_he_5_0_0	0	576	BITD	raw_chunks/00467_sh_std_he_5_0_0_576_BITD.bin
476	bitmap	sh_lay_he_4_2_0	0			bitmaps/00476_sh_lay_he_4_2_0.png
476	bitmap	sh_lay_he_4_2_0	0	574	BITD	raw_chunks/00476_sh_lay_he_4_2_0_574_BITD.bin
478	bitmap	sh_std_he_4_3_0	0			bitmaps/00478_sh_std_he_4_3_0.png
478	bitmap	sh_std_he_4_3_0	0	570	BITD	raw_chunks/00478_sh_std_he_4_3_0_570_BITD.bin
479	bitmap	sh_std_he_2_0_0	0			bitmaps/00479_sh_std_he_2_0_0.png
479	bitmap	sh_std_he_2_0_0	0	540	BITD	raw_chunks/00479_sh_std_he_2_0_0_540_BITD.bin
480	bitmap	sh_std_he_9_0_0	0			bitmaps/00480_sh_std_he_9_0_0.png
480	bitmap	sh_std_he_9_0_0	0	620	BITD	raw_chunks/00480_sh_std_he_9_0_0_620_BITD.bin
488	bitmap	sh_std_he_7_1_0	0			bitmaps/00488_sh_std_he_7_1_0.png
488	bitmap	sh_std_he_7_1_0	0	598	BITD	raw_chunks/00488_sh_std_he_7_1_0_598_BITD.bin
508	bitmap	sh_lay_he_2_2_0	0			bitmaps/00508_sh_lay_he_2_2_0.png
508	bitmap	sh_lay_he_2_2_0	0	550	BITD	raw_chunks/00508_sh_lay_he_2_2_0_550_BITD.bin
510	bitmap	sh_std_he_2_3_0	0			bitmaps/00510_sh_std_he_2_3_0.png
510	bitmap	sh_std_he_2_3_0	0	546	BITD	raw_chunks/00510_sh_std_he_2_3_0_546_BITD.bin
511	bitmap	sh_std_he_2_2_0	0			bitmaps/00511_sh_std_he_2_2_0.png
511	bitmap	sh_std_he_2_2_0	0	544	BITD	raw_chunks/00511_sh_std_he_2_2_0_544_BITD.bin
512	bitmap	sh_std_he_2_1_0	0			bitmaps/00512_sh_std_he_2_1_0.png
512	bitmap	sh_std_he_2_1_0	0	542	BITD	raw_chunks/00512_sh_std_he_2_1_0_542_BITD.bin
515	bitmap	sh_lay_he_1_2_0	0			bitmaps/00515_sh_lay_he_1_2_0.png
515	bitmap	sh_lay_he_1_2_0	0	538	BITD	raw_chunks/00515_sh_lay_he_1_2_0_538_BITD.bin
518	bitmap	sh_std_he_2_7_0	0			bitmaps/00518_sh_std_he_2_7_0.png
518	bitmap	sh_std_he_2_7_0	0	548	BITD	raw_chunks/00518_sh_std_he_2_7_0_548_BITD.bin
