member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
5	bitmap	sh_std_fc_1_1_0	0			bitmaps/00005_sh_std_fc_1_1_0.png
5	bitmap	sh_std_fc_1_1_0	0	61	BITD	raw_chunks/00005_sh_std_fc_1_1_0_61_BITD.bin
6	bitmap	sh_std_fc_1_2_0	0			bitmaps/00006_sh_std_fc_1_2_0.png
6	bitmap	sh_std_fc_1_2_0	0	63	BITD	raw_chunks/00006_sh_std_fc_1_2_0_63_BITD.bin
13	bitmap	sh_std_fc_1_3_0	0			bitmaps/00013_sh_std_fc_1_3_0.png
13	bitmap	sh_std_fc_1_3_0	0	65	BITD	raw_chunks/00013_sh_std_fc_1_3_0_65_BITD.bin
14	bitmap	sh_eyb_fc_1_1_0	0			bitmaps/00014_sh_eyb_fc_1_1_0.png
14	bitmap	sh_eyb_fc_1_1_0	0	67	BITD	raw_chunks/00014_sh_eyb_fc_1_1_0_67_BITD.bin
15	bitmap	sh_eyb_fc_1_2_0	0			bitmaps/00015_sh_eyb_fc_1_2_0.png
15	bitmap	sh_eyb_fc_1_2_0	0	69	BITD	raw_chunks/00015_sh_eyb_fc_1_2_0_69_BITD.bin
16	bitmap	sh_eyb_fc_1_3_0	0			bitmaps/00016_sh_eyb_fc_1_3_0.png
16	bitmap	sh_eyb_fc_1_3_0	0	71	BITD	raw_chunks/00016_sh_eyb_fc_1_3_0_71_BITD.bin
17	bitmap	sh_spk_fc_1_1_0	0			bitmaps/00017_sh_spk_fc_1_1_0.png
17	bitmap	sh_spk_fc_1_1_0	0	73	BITD	raw_chunks/00017_sh_spk_fc_1_1_0_73_BITD.bin
18	bitmap	sh_spk_fc_1_1_1	0			bitmaps/00018_sh_spk_fc_1_1_1.png
18	bitmap	sh_spk_fc_1_1_1	0	75	BITD	raw_chunks/00018_sh_spk_fc_1_1_1_75_BITD.bin
19	bitmap	sh_spk_fc_1_2_0	0			bitmaps/00019_sh_spk_fc_1_2_0.png
19	bitmap	sh_spk_fc_1_2_0	0	77	BITD	raw_chunks/00019_sh_spk_fc_1_2_0_77_BITD.bin
20	bitmap	sh_spk_fc_1_2_1	0			bitmaps/00020_sh_spk_fc_1_2_1.png
20	bitmap	sh_spk_fc_1_2_1	0	79	BITD	raw_chunks/00020_sh_spk_fc_1_2_1_79_BITD.bin
21	bitmap	sh_spk_fc_1_3_0	0			bitmaps/00021_sh_spk_fc_1_3_0.png
21	bitmap	sh_spk_fc_1_3_0	0	81	BITD	raw_chunks/00021_sh_spk_fc_1_3_0_81_BITD.bin
22	bitmap	sh_spk_fc_1_3_1	0			bitmaps/00022_sh_spk_fc_1_3_1.png
22	bitmap	sh_spk_fc_1_3_1	0	83	BITD	raw_chunks/00022_sh_spk_fc_1_3_1_83_BITD.bin
51	bitmap	sh_lay_fc_1_2_0	0			bitmaps/00051_sh_lay_fc_1_2_0.png
51	bitmap	sh_lay_fc_1_2_0	0	85	BITD	raw_chunks/00051_sh_lay_fc_1_2_0_85_BITD.bin
