index	r	g	b	hex
0	255	255	255	#FFFFFF
1	184	95	105	#B85F69
2	198	103	114	#C66772
3	65	29	34	#411D22
4	153	78	87	#994E57
5	168	86	97	#A85661
6	227	118	132	#E37684
7	1	0	1	#010001
8	2	1	2	#020102
9	4	3	4	#040304
10	5	4	5	#050405
11	7	6	7	#070607
12	61	60	61	#3D3C3D
13	97	82	109	#61526D
14	99	84	112	#635470
15	127	108	143	#7F6C8F
16	155	133	175	#9B85AF
17	117	100	133	#756485
18	160	138	182	#A08AB6
19	159	137	180	#9F89B4
20	107	92	121	#6B5C79
21	164	141	185	#A48DB9
22	0	0	1	#000001
23	1	1	2	#010102
24	5	5	6	#050506
25	6	6	7	#060607
26	7	7	8	#070708
27	10	10	11	#0A0A0B
28	70	70	71	#464647
29	99	99	100	#636364
30	1	2	2	#010202
31	3	4	4	#030404
32	11	12	12	#0B0C0C
33	53	54	54	#353636
34	76	77	77	#4C4D4D
35	88	89	89	#585959
36	0	1	0	#000100
37	1	2	1	#010201
38	2	3	2	#020302
39	3	4	3	#030403
40	4	5	4	#040504
41	8	9	8	#080908
42	26	27	26	#1A1B1A
43	74	75	74	#4A4B4A
44	1	1	0	#010100
45	5	5	4	#050504
46	7	7	6	#070706
47	22	22	21	#161615
48	31	31	30	#1F1F1E
49	36	36	35	#242423
50	34	34	33	#222221
51	47	47	46	#2F2F2E
52	53	53	52	#353534
53	82	82	81	#525251
54	222	177	129	#DEB181
55	230	196	158	#E6C49E
56	153	102	51	#996633
57	204	153	102	#CC9966
58	221	169	118	#DDA976
59	221	170	118	#DDAA76
60	208	159	111	#D09F6F
61	208	160	111	#D0A06F
62	221	170	119	#DDAA77
63	220	169	118	#DCA976
64	220	170	118	#DCAA76
65	208	160	112	#D0A070
66	220	169	119	#DCA977
67	220	170	119	#DCAA77
68	221	170	120	#DDAA78
69	221	171	120	#DDAB78
70	220	170	120	#DCAA78
71	220	171	120	#DCAB78
72	222	172	122	#DEAC7A
73	221	171	121	#DDAB79
74	220	170	121	#DCAA79
75	220	171	121	#DCAB79
76	222	172	123	#DEAC7B
77	222	173	123	#DEAD7B
78	221	171	122	#DDAB7A
79	221	172	122	#DDAC7A
80	220	171	122	#DCAB7A
81	222	173	124	#DEAD7C
82	222	174	124	#DEAE7C
83	221	172	123	#DDAC7B
84	221	172	124	#DDAC7C
85	221	173	124	#DDAD7C
86	223	174	126	#DFAE7E
87	222	173	125	#DEAD7D
88	222	174	125	#DEAE7D
89	221	173	125	#DDAD7D
90	221	174	125	#DDAE7D
91	223	175	127	#DFAF7F
92	222	174	126	#DEAE7E
93	223	175	128	#DFAF80
94	223	176	128	#DFB080
95	222	174	127	#DEAE7F
96	222	175	127	#DEAF7F
97	222	175	128	#DEAF80
98	222	176	128	#DEB080
99	223	176	129	#DFB081
100	222	175	129	#DEAF81
101	222	176	129	#DEB081
102	224	177	131	#E0B183
103	224	178	131	#E0B283
104	223	176	130	#DFB082
105	223	177	130	#DFB182
106	224	178	132	#E0B284
107	223	177	131	#DFB183
108	223	178	131	#DFB283
109	231	184	137	#E7B889
110	224	178	133	#E0B285
111	224	179	133	#E0B385
112	223	177	132	#DFB184
113	223	178	132	#DFB284
114	225	179	134	#E1B386
115	223	178	133	#DFB285
116	223	179	133	#DFB385
117	255	204	153	#FFCC99
118	224	179	134	#E0B386
119	224	180	134	#E0B486
120	223	179	134	#DFB386
121	255	204	154	#FFCC9A
122	255	205	154	#FFCD9A
123	225	180	136	#E1B488
124	225	181	136	#E1B588
125	224	179	135	#E0B387
126	224	180	135	#E0B487
127	255	205	155	#FFCD9B
128	225	181	137	#E1B589
129	224	180	136	#E0B488
130	255	206	156	#FFCE9C
131	226	183	139	#E2B78B
132	225	181	138	#E1B58A
133	225	182	138	#E1B68A
134	215	173	132	#D7AD84
135	255	207	158	#FFCF9E
136	226	183	140	#E2B78C
137	226	184	140	#E2B88C
138	225	182	139	#E1B68B
139	225	183	139	#E1B78B
140	255	207	159	#FFCF9F
141	226	183	141	#E2B78D
142	226	184	141	#E2B88D
143	216	175	135	#D8AF87
144	215	174	134	#D7AE86
145	227	184	142	#E3B88E
146	226	185	142	#E2B98E
147	225	183	141	#E1B78D
148	227	185	143	#E3B98F
149	227	185	144	#E3B990
150	227	186	144	#E3BA90
151	216	176	137	#D8B089
152	227	186	145	#E3BA91
153	227	187	145	#E3BB91
154	226	185	144	#E2B990
155	217	178	139	#D9B28B
156	227	186	146	#E3BA92
