member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
5	bitmap	sh_std_ch_1_0_0	0			bitmaps/00005_sh_std_ch_1_0_0.png
5	bitmap	sh_std_ch_1_0_0	0	4033	BITD	raw_chunks/00005_sh_std_ch_1_0_0_4033_BITD.bin
6	bitmap	sh_std_ch_1_1_0	0			bitmaps/00006_sh_std_ch_1_1_0.png
6	bitmap	sh_std_ch_1_1_0	0	4035	BITD	raw_chunks/00006_sh_std_ch_1_1_0_4035_BITD.bin
13	bitmap	sh_std_ch_1_2_0	0			bitmaps/00013_sh_std_ch_1_2_0.png
13	bitmap	sh_std_ch_1_2_0	0	4037	BITD	raw_chunks/00013_sh_std_ch_1_2_0_4037_BITD.bin
14	bitmap	sh_std_ch_1_3_0	0			bitmaps/00014_sh_std_ch_1_3_0.png
14	bitmap	sh_std_ch_1_3_0	0	4039	BITD	raw_chunks/00014_sh_std_ch_1_3_0_4039_BITD.bin
15	bitmap	sh_std_ch_1_7_0	0			bitmaps/00015_sh_std_ch_1_7_0.png
15	bitmap	sh_std_ch_1_7_0	0	4041	BITD	raw_chunks/00015_sh_std_ch_1_7_0_4041_BITD.bin
16	bitmap	sh_lay_ch_1_2_0	0			bitmaps/00016_sh_lay_ch_1_2_0.png
16	bitmap	sh_lay_ch_1_2_0	0	4043	BITD	raw_chunks/00016_sh_lay_ch_1_2_0_4043_BITD.bin
17	bitmap	sh_std_ch_1020_7_0	0			bitmaps/00017_sh_std_ch_1020_7_0.png
17	bitmap	sh_std_ch_1020_7_0	0	4125	BITD	raw_chunks/00017_sh_std_ch_1020_7_0_4125_BITD.bin
18	bitmap	sh_std_ch_5_7_0	0			bitmaps/00018_sh_std_ch_5_7_0.png
18	bitmap	sh_std_ch_5_7_0	0	4065	BITD	raw_chunks/00018_sh_std_ch_5_7_0_4065_BITD.bin
31	bitmap	sh_std_ch_3_1_0	0			bitmaps/00031_sh_std_ch_3_1_0.png
31	bitmap	sh_std_ch_3_1_0	0	4047	BITD	raw_chunks/00031_sh_std_ch_3_1_0_4047_BITD.bin
32	bitmap	sh_std_ch_3_2_0	0			bitmaps/00032_sh_std_ch_3_2_0.png
32	bitmap	sh_std_ch_3_2_0	0	4049	BITD	raw_chunks/00032_sh_std_ch_3_2_0_4049_BITD.bin
33	bitmap	sh_std_ch_3_0_0	0			bitmaps/00033_sh_std_ch_3_0_0.png
33	bitmap	sh_std_ch_3_0_0	0	4045	BITD	raw_chunks/00033_sh_std_ch_3_0_0_4045_BITD.bin
34	bitmap	sh_std_ch_3_3_0	0			bitmaps/00034_sh_std_ch_3_3_0.png
34	bitmap	sh_std_ch_3_3_0	0	4051	BITD	raw_chunks/00034_sh_std_ch_3_3_0_4051_BITD.bin
35	bitmap	sh_std_ch_3_7_0	0			bitmaps/00035_sh_std_ch_3_7_0.png
35	bitmap	sh_std_ch_3_7_0	0	4053	BITD	raw_chunks/00035_sh_std_ch_3_7_0_4053_BITD.bin
37	bitmap	sh_lay_ch_3_2_0	0			bitmaps/00037_sh_lay_ch_3_2_0.png
37	bitmap	sh_lay_ch_3_2_0	0	4055	BITD	raw_chunks/00037_sh_lay_ch_3_2_0_4055_BITD.bin
51	bitmap	sh_std_ch_5_1_0	0			bitmaps/00051_sh_std_ch_5_1_0.png
51	bitmap	sh_std_ch_5_1_0	0	4059	BITD	raw_chunks/00051_sh_std_ch_5_1_0_4059_BITD.bin
52	bitmap	sh_std_ch_5_2_0	0			bitmaps/00052_sh_std_ch_5_2_0.png
52	bitmap	sh_std_ch_5_2_0	0	4061	BITD	raw_chunks/00052_sh_std_ch_5_2_0_4061_BITD.bin
53	bitmap	sh_std_ch_5_3_0	0			bitmaps/00053_sh_std_ch_5_3_0.png
53	bitmap	sh_std_ch_5_3_0	0	4063	BITD	raw_chunks/00053_sh_std_ch_5_3_0_4063_BITD.bin
54	bitmap	sh_std_ch_8_3_0	0			bitmaps/00054_sh_std_ch_8_3_0.png
54	bitmap	sh_std_ch_8_3_0	0	4075	BITD	raw_chunks/00054_sh_std_ch_8_3_0_4075_BITD.bin
55	bitmap	sh_lay_ch_5_2_0	0			bitmaps/00055_sh_lay_ch_5_2_0.png
55	bitmap	sh_lay_ch_5_2_0	0	4067	BITD	raw_chunks/00055_sh_lay_ch_5_2_0_4067_BITD.bin
63	bitmap	sh_std_ch_5_0_0	0			bitmaps/00063_sh_std_ch_5_0_0.png
63	bitmap	sh_std_ch_5_0_0	0	4057	BITD	raw_chunks/00063_sh_std_ch_5_0_0_4057_BITD.bin
70	bitmap	sh_std_ch_8_0_0	0			bitmaps/00070_sh_std_ch_8_0_0.png
70	bitmap	sh_std_ch_8_0_0	0	4069	BITD	raw_chunks/00070_sh_std_ch_8_0_0_4069_BITD.bin
71	bitmap	sh_std_ch_8_1_0	0			bitmaps/00071_sh_std_ch_8_1_0.png
71	bitmap	sh_std_ch_8_1_0	0	4071	BITD	raw_chunks/00071_sh_std_ch_8_1_0_4071_BITD.bin
72	bitmap	sh_std_ch_8_2_0	0			bitmaps/00072_sh_std_ch_8_2_0.png
72	bitmap	sh_std_ch_8_2_0	0	4073	BITD	raw_chunks/00072_sh_std_ch_8_2_0_4073_BITD.bin
73	bitmap	sh_std_ch_9_7_0	0			bitmaps/00073_sh_std_ch_9_7_0.png
73	bitmap	sh_std_ch_9_7_0	0	4089	BITD	raw_chunks/00073_sh_std_ch_9_7_0_4089_BITD.bin
74	bitmap	sh_lay_ch_8_2_0	0			bitmaps/00074_sh_lay_ch_8_2_0.png
74	bitmap	sh_lay_ch_8_2_0	0	4079	BITD	raw_chunks/00074_sh_lay_ch_8_2_0_4079_BITD.bin
85	bitmap	sh_std_ch_8_7_0	0			bitmaps/00085_sh_std_ch_8_7_0.png
85	bitmap	sh_std_ch_8_7_0	0	4077	BITD	raw_chunks/00085_sh_std_ch_8_7_0_4077_BITD.bin
88	bitmap	sh_std_ch_1020_0_0	0			bitmaps/00088_sh_std_ch_1020_0_0.png
88	bitmap	sh_std_ch_1020_0_0	0	4117	BITD	raw_chunks/00088_sh_std_ch_1020_0_0_4117_BITD.bin
91	bitmap	sh_std_ch_9_1_0	0			bitmaps/00091_sh_std_ch_9_1_0.png
91	bitmap	sh_std_ch_9_1_0	0	4083	BITD	raw_chunks/00091_sh_std_ch_9_1_0_4083_BITD.bin
92	bitmap	sh_std_ch_9_2_0	0			bitmaps/00092_sh_std_ch_9_2_0.png
92	bitmap	sh_std_ch_9_2_0	0	4085	BITD	raw_chunks/00092_sh_std_ch_9_2_0_4085_BITD.bin
93	bitmap	sh_std_ch_9_3_0	0			bitmaps/00093_sh_std_ch_9_3_0.png
93	bitmap	sh_std_ch_9_3_0	0	4087	BITD	raw_chunks/00093_sh_std_ch_9_3_0_4087_BITD.bin
94	bitmap	sh_std_ch_10_2_0	0			bitmaps/00094_sh_std_ch_10_2_0.png
94	bitmap	sh_std_ch_10_2_0	0	4097	BITD	raw_chunks/00094_sh_std_ch_10_2_0_4097_BITD.bin
95	bitmap	sh_lay_ch_9_2_0	0			bitmaps/00095_sh_lay_ch_9_2_0.png
95	bitmap	sh_lay_ch_9_2_0	0	4091	BITD	raw_chunks/00095_sh_lay_ch_9_2_0_4091_BITD.bin
96	bitmap	sh_wlk_rs_1800_7_0	0			bitmaps/00096_sh_wlk_rs_1800_7_0.png
96	bitmap	sh_wlk_rs_1800_7_0	0	5541	BITD	raw_chunks/00096_sh_wlk_rs_1800_7_0_5541_BITD.bin
109	bitmap	sh_std_ch_10_0_0	0			bitmaps/00109_sh_std_ch_10_0_0.png
109	bitmap	sh_std_ch_10_0_0	0	4093	BITD	raw_chunks/00109_sh_std_ch_10_0_0_4093_BITD.bin
110	bitmap	sh_std_ch_15_2_0	0			bitmaps/00110_sh_std_ch_15_2_0.png
110	bitmap	sh_std_ch_15_2_0	0	4337	BITD	raw_chunks/00110_sh_std_ch_15_2_0_4337_BITD.bin
111	bitmap	sh_std_ch_10_1_0	0			bitmaps/00111_sh_std_ch_10_1_0.png
111	bitmap	sh_std_ch_10_1_0	0	4095	BITD	raw_chunks/00111_sh_std_ch_10_1_0_4095_BITD.bin
113	bitmap	sh_std_ch_10_3_0	0			bitmaps/00113_sh_std_ch_10_3_0.png
113	bitmap	sh_std_ch_10_3_0	0	4099	BITD	raw_chunks/00113_sh_std_ch_10_3_0_4099_BITD.bin
114	bitmap	sh_std_ch_10_7_0	0			bitmaps/00114_sh_std_ch_10_7_0.png
114	bitmap	sh_std_ch_10_7_0	0	4101	BITD	raw_chunks/00114_sh_std_ch_10_7_0_4101_BITD.bin
115	bitmap	sh_std_ch_9_0_0	0			bitmaps/00115_sh_std_ch_9_0_0.png
115	bitmap	sh_std_ch_9_0_0	0	4081	BITD	raw_chunks/00115_sh_std_ch_9_0_0_4081_BITD.bin
116	bitmap	sh_lay_ch_10_2_0	0			bitmaps/00116_sh_lay_ch_10_2_0.png
116	bitmap	sh_lay_ch_10_2_0	0	4103	BITD	raw_chunks/00116_sh_lay_ch_10_2_0_4103_BITD.bin
123	bitmap	sh_lay_ch_1200_2_0	0			bitmaps/00123_sh_lay_ch_1200_2_0.png
123	bitmap	sh_lay_ch_1200_2_0	0	4211	BITD	raw_chunks/00123_sh_lay_ch_1200_2_0_4211_BITD.bin
131	bitmap	sh_std_ch_1020_3_0	0			bitmaps/00131_sh_std_ch_1020_3_0.png
131	bitmap	sh_std_ch_1020_3_0	0	4123	BITD	raw_chunks/00131_sh_std_ch_1020_3_0_4123_BITD.bin
132	bitmap	sh_std_ch_1021_3_0	0			bitmaps/00132_sh_std_ch_1021_3_0.png
132	bitmap	sh_std_ch_1021_3_0	0	4147	BITD	raw_chunks/00132_sh_std_ch_1021_3_0_4147_BITD.bin
133	bitmap	sh_lay_ch_1020_2_0	0			bitmaps/00133_sh_lay_ch_1020_2_0.png
133	bitmap	sh_lay_ch_1020_2_0	0	4127	BITD	raw_chunks/00133_sh_lay_ch_1020_2_0_4127_BITD.bin
136	bitmap	sh_std_ch_1020_1_0	0			bitmaps/00136_sh_std_ch_1020_1_0.png
136	bitmap	sh_std_ch_1020_1_0	0	4119	BITD	raw_chunks/00136_sh_std_ch_1020_1_0_4119_BITD.bin
149	bitmap	sh_std_ch_1021_0_0	0			bitmaps/00149_sh_std_ch_1021_0_0.png
149	bitmap	sh_std_ch_1021_0_0	0	4141	BITD	raw_chunks/00149_sh_std_ch_1021_0_0_4141_BITD.bin
150	bitmap	sh_std_ch_1021_1_0	0			bitmaps/00150_sh_std_ch_1021_1_0.png
150	bitmap	sh_std_ch_1021_1_0	0	4143	BITD	raw_chunks/00150_sh_std_ch_1021_1_0_4143_BITD.bin
151	bitmap	sh_std_ch_1021_2_0	0			bitmaps/00151_sh_std_ch_1021_2_0.png
151	bitmap	sh_std_ch_1021_2_0	0	4145	BITD	raw_chunks/00151_sh_std_ch_1021_2_0_4145_BITD.bin
152	bitmap	sh_std_ch_208_0_0	0			bitmaps/00152_sh_std_ch_208_0_0.png
152	bitmap	sh_std_ch_208_0_0	0	4693	BITD	raw_chunks/00152_sh_std_ch_208_0_0_4693_BITD.bin
153	bitmap	sh_std_ch_1021_7_0	0			bitmaps/00153_sh_std_ch_1021_7_0.png
153	bitmap	sh_std_ch_1021_7_0	0	4149	BITD	raw_chunks/00153_sh_std_ch_1021_7_0_4149_BITD.bin
154	bitmap	sh_lay_ch_1021_2_0	0			bitmaps/00154_sh_lay_ch_1021_2_0.png
154	bitmap	sh_lay_ch_1021_2_0	0	4151	BITD	raw_chunks/00154_sh_lay_ch_1021_2_0_4151_BITD.bin
155	bitmap	sh_wlk_ls_800_2_0	0			bitmaps/00155_sh_wlk_ls_800_2_0.png
155	bitmap	sh_wlk_ls_800_2_0	0	5427	BITD	raw_chunks/00155_sh_wlk_ls_800_2_0_5427_BITD.bin
170	bitmap	sh_std_ch_105_3_0	0			bitmaps/00170_sh_std_ch_105_3_0.png
170	bitmap	sh_std_ch_105_3_0	0	4183	BITD	raw_chunks/00170_sh_std_ch_105_3_0_4183_BITD.bin
180	bitmap	sh_std_ch_1204_2_0	0			bitmaps/00180_sh_std_ch_1204_2_0.png
180	bitmap	sh_std_ch_1204_2_0	0	4493	BITD	raw_chunks/00180_sh_std_ch_1204_2_0_4493_BITD.bin
186	bitmap	sh_std_ch_105_0_0	0			bitmaps/00186_sh_std_ch_105_0_0.png
