index	r	g	b	hex
0	255	255	255	#FFFFFF
1	255	255	255	#FFFFFF
2	121	140	151	#798C97
3	217	226	231	#D9E2E7
4	165	187	198	#A5BBC6
5	175	201	152	#AFC998
6	174	199	152	#AEC798
7	173	198	152	#ADC698
8	173	197	152	#ADC598
9	179	207	151	#B3CF97
10	178	205	151	#B2CD97
11	177	204	151	#B1CC97
12	176	203	151	#B0CB97
13	176	202	152	#B0CA98
14	175	200	152	#AFC898
15	174	198	152	#AEC698
16	181	209	151	#B5D197
17	180	208	151	#B4D097
18	179	206	151	#B3CE97
19	178	204	151	#B2CC97
20	186	216	150	#BAD896
21	185	215	150	#B9D796
22	184	214	151	#B8D697
23	184	213	151	#B8D597
24	183	212	151	#B7D497
25	183	211	151	#B7D397
26	182	210	151	#B6D297
27	191	222	150	#BFDE96
28	188	219	150	#BCDB96
29	189	219	150	#BDDB96
30	188	218	150	#BCDA96
31	187	217	150	#BBD996
32	186	215	150	#BAD796
33	195	226	150	#C3E296
34	194	225	150	#C2E196
35	193	224	150	#C1E096
36	192	223	150	#C0DF96
37	193	223	150	#C1DF96
38	191	221	150	#BFDD96
39	190	220	150	#BEDC96
40	199	230	150	#C7E696
41	198	229	150	#C6E596
42	197	228	150	#C5E496
43	196	227	150	#C4E396
44	196	226	150	#C4E296
45	205	236	150	#CDEC96
46	204	235	150	#CCEB96
47	203	234	150	#CBEA96
48	202	233	150	#CAE996
49	203	233	150	#CBE996
50	201	232	150	#C9E896
51	200	231	150	#C8E796
52	209	239	150	#D1EF96
53	208	238	150	#D0EE96
54	207	237	150	#CFED96
55	206	236	150	#CEEC96
56	205	235	150	#CDEB96
57	213	242	150	#D5F296
58	214	243	151	#D6F397
59	211	241	150	#D3F196
60	212	241	150	#D4F196
61	210	240	150	#D2F096
62	211	240	150	#D3F096
63	217	245	151	#D9F597
64	216	244	151	#D8F497
65	214	243	150	#D6F396
66	215	243	151	#D7F397
67	211	167	109	#D3A76D
68	142	100	49	#8E6431
69	242	222	198	#F2DEC6
70	251	242	231	#FBF2E7
71	255	0	0	#FF0000
72	201	201	201	#C9C9C9
73	152	152	152	#989898
74	105	105	105	#696969
75	0	0	0	#000000
76	0	0	0	#000000
77	0	0	0	#000000
78	0	0	0	#000000
79	0	0	0	#000000
80	0	0	0	#000000
81	0	0	0	#000000
82	0	0	0	#000000
83	0	0	0	#000000
84	0	0	0	#000000
85	0	0	0	#000000
86	0	0	0	#000000
87	0	0	0	#000000
88	0	0	0	#000000
89	0	0	0	#000000
90	0	0	0	#000000
91	0	0	0	#000000
92	0	0	0	#000000
93	0	0	0	#000000
94	0	0	0	#000000
95	0	0	0	#000000
96	0	0	0	#000000
97	0	0	0	#000000
98	0	0	0	#000000
99	0	0	0	#000000
100	0	0	0	#000000
101	0	0	0	#000000
102	0	0	0	#000000
103	0	0	0	#000000
104	0	0	0	#000000
105	0	0	0	#000000
106	0	0	0	#000000
107	0	0	0	#000000
108	0	0	0	#000000
109	0	0	0	#000000
110	0	0	0	#000000
111	0	0	0	#000000
112	0	0	0	#000000
113	0	0	0	#000000
114	0	0	0	#000000
115	0	0	0	#000000
116	0	0	0	#000000
117	0	0	0	#000000
118	0	0	0	#000000
119	0	0	0	#000000
120	0	0	0	#000000
121	0	0	0	#000000
122	0	0	0	#000000
123	0	0	0	#000000
124	0	0	0	#000000
125	0	0	0	#000000
126	0	0	0	#000000
127	0	0	0	#000000
128	0	0	0	#000000
129	0	0	0	#000000
130	0	0	0	#000000
131	0	0	0	#000000
132	0	0	0	#000000
133	0	0	0	#000000
134	0	0	0	#000000
135	0	0	0	#000000
136	0	0	0	#000000
137	0	0	0	#000000
138	0	0	0	#000000
139	0	0	0	#000000
140	0	0	0	#000000
141	0	0	0	#000000
142	0	0	0	#000000
143	0	0	0	#000000
144	0	0	0	#000000
145	0	0	0	#000000
146	0	0	0	#000000
147	0	0	0	#000000
148	0	0	0	#000000
149	0	0	0	#000000
150	0	0	0	#000000
151	0	0	0	#000000
152	0	0	0	#000000
153	0	0	0	#000000
154	0	0	0	#000000
155	0	0	0	#000000
156	0	0	0	#000000
157	0	0	0	#000000
158	0	0	0	#000000
159	0	0	0	#000000
160	0	0	0	#000000
161	0	0	0	#000000
162	0	0	0	#000000
163	0	0	0	#000000
164	0	0	0	#000000
165	0	0	0	#000000
166	0	0	0	#000000
167	0	0	0	#000000
168	0	0	0	#000000
169	0	0	0	#000000
170	0	0	0	#000000
171	0	0	0	#000000
172	0	0	0	#000000
173	0	0	0	#000000
174	0	0	0	#000000
175	0	0	0	#000000
176	0	0	0	#000000
177	0	0	0	#000000
178	0	0	0	#000000
179	0	0	0	#000000
180	0	0	0	#000000
181	0	0	0	#000000
182	0	0	0	#000000
183	0	0	0	#000000
184	0	0	0	#000000
185	0	0	0	#000000
186	0	0	0	#000000
187	0	0	0	#000000
188	0	0	0	#000000
189	0	0	0	#000000
190	0	0	0	#000000
191	0	0	0	#000000
192	0	0	0	#000000
193	0	0	0	#000000
194	0	0	0	#000000
195	0	0	0	#000000
196	0	0	0	#000000
197	0	0	0	#000000
198	0	0	0	#000000
199	0	0	0	#000000
200	0	0	0	#000000
201	0	0	0	#000000
202	0	0	0	#000000
203	0	0	0	#000000
204	0	0	0	#000000
205	0	0	0	#000000
206	0	0	0	#000000
207	0	0	0	#000000
208	0	0	0	#000000
209	0	0	0	#000000
210	0	0	0	#000000
211	0	0	0	#000000
212	0	0	0	#000000
213	0	0	0	#000000
214	0	0	0	#000000
215	0	0	0	#000000
216	0	0	0	#000000
217	0	0	0	#000000
218	0	0	0	#000000
219	0	0	0	#000000
220	0	0	0	#000000
221	0	0	0	#000000
222	0	0	0	#000000
223	0	0	0	#000000
224	0	0	0	#000000
225	0	0	0	#000000
226	0	0	0	#000000
227	0	0	0	#000000
228	0	0	0	#000000
229	0	0	0	#000000
230	0	0	0	#000000
231	0	0	0	#000000
232	0	0	0	#000000
233	0	0	0	#000000
234	0	0	0	#000000
235	0	0	0	#000000
236	0	0	0	#000000
237	0	0	0	#000000
238	0	0	0	#000000
239	0	0	0	#000000
240	0	0	0	#000000
241	0	0	0	#000000
242	0	0	0	#000000
243	0	0	0	#000000
